Country	Obesityrate	ID	id_row
Grenada	21.3	Q769	89
Papua New Guinea	21.3	Q691	90
Estonia	21.2	Q191	91
Guatemala	21.2	Q774	92
Kazakhstan	21.0	Q232	93
Portugal	20.8	Q45	94
Mongolia	20.6	Q711	95
Sweden	20.6	Q34	96
Slovakia	20.5	Q214	97
Netherlands	20.4	Q55	98
Paraguay	20.3	Q733	99
Guyana	20.2	Q734	100
Slovenia	20.2	Q215	101
Armenia	20.2	Q399	102
Bolivia	20.2	Q750	103
Austria	20.1	Q40	104
Azerbaijan	19.9	Q227	105
Italy	19.9	Q38	106
Ecuador	19.9	Q736	107
Peru	19.7	Q419	108
Saint Lucia	19.7	Q760	109
Denmark	19.7	Q35	110
Switzerland	19.5	Q39	111
Antigua and Barbuda	18.9	Q781	112
Botswana	18.9	Q963	113
Moldova	18.9	Q217	114
Trinidad and Tobago	18.6	Q754	115
Turkmenistan	18.6	Q874	116
Bosnia and Herzegovina	17.9	Q225	117
Namibia	17.2	Q1030	118
Yemen	17.1	Q805	119
Kyrgyzstan	16.6	Q813	120
Lesotho	16.6	Q1013	121
Uzbekistan	16.6	Q265	122
Eswatini	16.5	Q1050	123
Malaysia	15.6	Q833	124
Zimbabwe	15.5	Q954	125
Gabon	15.0	Q1000	126
Tajikistan	14.2	Q863	127
Brunei	14.1	Q921	128
Seychelles	14.0	Q1042	129
Djibouti	13.5	Q977	130
Mauritania	12.7	Q1025	131
São Tomé and Príncipe	12.4	Q1039	132
Cape Verde	11.8	Q1011	133
Cameroon	11.4	Q1009	134
Ghana	10.9	Q117	135
Mauritius	10.8	Q1027	136
Gambia	10.3	Q1005	137
Ivory Coast	10.3	Q1008	138
Thailand	10.0	Q869	139
Liberia	9.9	Q1014	140
Benin	9.6	Q962	141
Republic of the Congo	9.6	Q971	142
Guinea-Bissau	9.5	Q1007	143
Nigeria	8.9	Q1033	144
Senegal	8.8	Q1041	145
Sierra Leone	8.7	Q1044	146
Maldives	8.6	Q826	147
Mali	8.6	Q912	148
Pakistan	8.6	Q843	149
Togo	8.4	Q945	150
Tanzania	8.4	Q924	151
Somalia	8.3	Q1045	152
Angola	8.2	Q916	153
Zambia	8.1	Q953	154
Equatorial Guinea	8.0	Q983	155
Comoros	7.8	Q970	156
Guinea	7.7	Q1006	157
Central African Republic	7.5	Q929	158
Mozambique	7.2	Q1029	159
Kenya	7.1	Q114	160
Indonesia	6.9	Q252	161
North Korea	6.8	Q423	162
Democratic Republic of the Congo	6.7	Q974	163
Sudan	6.6	Q1049	164
South Sudan	6.6	Q958	165
Bhutan	6.4	Q917	166
Philippines	6.4	Q928	167
China	6.2	Q148	168
Singapore	6.1	Q334	169
Chad	6.1	Q657	170
Malawi	5.8	Q1020	171
Rwanda	5.8	Q1037	172
Burkina Faso	5.6	Q965	173
Niger	5.5	Q1032	174
Afghanistan	5.5	Q889	175
Burundi	5.4	Q967	176
Madagascar	5.3	Q1019	177
Laos	5.3	Q819	178
Uganda	5.3	Q1036	179
Sri Lanka	5.2	Q854	180
Eritrea	5.0	Q986	181
South Korea	4.7	Q884	182
Ethiopia	4.5	Q115	183
Japan	4.3	Q17	184
Nepal	4.1	Q837	185
Cambodia	3.9	Q424	186
India	3.9	Q668	187
Timor-Leste	3.8	Q574	188
Bangladesh	3.6	Q902	189
Vietnam	2.1	Q881	190
