Country	2010	2019	2010	2019	ID	id_row
Algeria	105.0	371.0	0.1	0.2	Q262	0
Argentina	63910.0	39394.0	15.1	8.8	Q414	1
Australia	1454491.0	1487599.0	126.9	106.8	Q408	2
Austria	126032.0	133098.0	32.2	29.8	Q40	3
Bahrain	20060.0	26882.0	78.0	69.7	Q398	4
Bangladesh	41617.0	77391.0	36.1	28.2	Q902	5
Barbados	2187.0	3398.0	48.3	65.2	Q244	6
Belgium	268726.0	321094.0	55.9	59.2	Q31	7
Brazil	1545566.0	1187362.0	70.0	64.5	Q155	8
Canada	2171195.0	1937903.0	134.6	112.9	Q16	9
Chile	341799.0	203792.0	156.4	72.2	Q298	10
China	4027840.0	8515504.0	66.2	59.4	Q148	11
Hong Kong SAR, China	2711316.0	4899235.0	1185.9	1338.5	Q8646	12
Colombia	208502.0	132040.0	72.8	40.8	Q739	13
Costa Rica	1445.0	2217.0	3.9	3.6	Q800	14
Croatia	25596.0	22458.0	42.8	37.2	Q224	15
Cyprus	6834.0	4285.0	26.6	17.4	Q229	16
Egypt, Arab Rep.	84277.0	44200.0	38.5	14.6	Q79	17
France	1911515.0	2365950.0	72.3	84.9	Q142	18
Germany	1429719.0	2098174.0	42.1	54.6	Q183	19
Greece	67586.0	53654.0	22.6	25.6	Q41	20
Hungary	27708.0	32887.0	21.1	20.4	Q28	21
India	1631830.0	2179781.0	97.4	75.8	Q668	22
Indonesia	360388.0	523322.0	47.7	46.8	Q252	23
Iran, Islamic Rep.	86642.0	320671.0	17.8	24.4	Q794	24
Ireland	60368.0	110154.0	27.2	28.8	Q27	25
Israel	227614.0	237371.0	97.3	60.1	Q801	26
Jamaica	3884.0	15767.0	29.4	95.8	Q766	27
Japan	3827774.0	6191073.0	67.2	121.8	Q17	28
Jordan	30864.0	21036.0	115.2	48.1	Q810	29
Kazakhstan	26673.0	40640.0	18.0	22.6	Q232	30
Kenya	14461.0	25062.0	36.2	26.2	Q114	31
Korea, Rep.	1091911.0	1413717.0	95.4	82.2	Q884	32
Lebanon	12697.0	7736.0	33.0	14.5	Q822	33
Luxembourg	101129.0	44234.0	190.0	62.2	Q32	34
Malaysia	408689.0	403957.0	160.3	110.8	Q833	35
Malta	4194.0	5316.0	47.9	36.0	Q233	36
Mauritius	7753.0	8616.0	77.5	60.8	Q1027	37
Mexico	454345.0	413619.0	43.0	32.9	Q96	38
Morocco	69152.0	65415.0	74.2	55.1	Q1028	39
Namibia	1176.0	2609.0	10.4	21.1	Q1030	40
Netherlands	661099.0	1100105.0	78.1	131.9	Q55	41
New Zealand	43516.0	107880.0	29.7	52.1	Q664	42
Nigeria	50546.0	43922.0	13.9	9.8	Q1033	43
Norway	295288.0	295549.0	68.9	73.3	Q20	44
Oman	28316.0	17119.0	49.6	22.2	Q842	45
Panama	8348.0	16841.0	28.4	25.2	Q804	46
Peru	103347.0	98965.0	70.1	43.6	Q419	47
Philippines	157321.0	275302.0	75.5	73.1	Q928	48
Poland	190706.0	151619.0	39.8	25.6	Q36	49
Portugal	81997.0	61934.0	34.5	25.7	Q45	50
Qatar	76531.0	160051.0	66.4	87.2	Q846	51
Romania	14201.0	26110.0	8.5	10.4	Q218	52
Russian Federation	951296.0	576116.0	62.4	34.5	Q159	53
Saudi Arabia	353410.0	2406820.0	66.9	303.5	Q851	54
Singapore	647226.0	697271.0	269.9	187.4	Q334	55
Slovenia	9428.0	7923.0	19.6	14.7	Q215	56
South Africa	925007.0	1056341.0	246.4	300.6	Q258	57
Spain	1171625.0	797286.0	82.5	57.2	Q29	58
Sri Lanka	19924.0	15721.0	35.1	18.7	Q854	59
Switzerland	1229357.0	1834453.0	210.6	260.9	Q39	60
Thailand	277732.0	569228.0	81.4	104.7	Q869	61
Tunisia	10652.0	8503.0	24.2	21.9	Q948	62
Turkey	302443.0	184966.0	39.2	24.5	Q43	63
Ukraine	38897.0	4415.0	28.6	3.4	Q212	64
United Arab Emirates	131491.0	247209.0	45.4	58.7	Q878	65
United States	17283452.0	30436313.0	115.3	147.9	Q30	66
Vietnam	36855.0	149817.0	31.8	57.2	Q881	67
West Bank and Gaza	2450.0	3758.0	27.5	25.6	Q407199	68
