Country	Tax	ID	id_row
Afghanistan	71.4	Q889	0
Albania	36.6	Q222	1
Algeria	66.1	Q262	2
Angola	49.1	Q916	3
Antigua and Barbuda	43.0	Q781	4
Argentina	106.3	Q414	5
Armenia	22.6	Q399	6
Australia	47.4	Q408	7
Austria	51.4	Q40	8
Azerbaijan	40.7	Q227	9
Bahamas, The	33.8	Q778	10
Bahrain	13.8	Q398	11
Bangladesh	33.4	Q902	12
Barbados	35.6	Q244	13
Belarus	53.3	Q184	14
Belgium	55.4	Q31	15
Belize	31.1	Q242	16
Benin	48.9	Q962	17
Bhutan	35.3	Q917	18
Bolivia	83.7	Q750	19
Bosnia and Herzegovina	23.7	Q225	20
Botswana	25.1	Q963	21
Brazil	65.1	Q155	22
Brunei Darussalam	8.0	Q921	23
Bulgaria	28.3	Q219	24
Burkina Faso	41.3	Q965	25
Burundi	41.2	Q967	26
Cabo Verde	37.5	Q1011	27
Cambodia	23.1	Q424	28
Cameroon	57.7	Q1009	29
Canada	24.5	Q16	30
Central African Republic	73.3	Q929	31
Chad	63.5	Q657	32
Chile	34.0	Q298	33
China	59.2	Q148	34
Hong Kong SAR, China	21.9	Q8646	35
Colombia	71.2	Q739	36
Comoros	219.6	Q970	37
Congo, Dem. Rep.	50.7	Q974	38
Congo, Rep.	54.3	Q971	39
Costa Rica	58.3	Q800	40
Cote d'Ivoire	50.1	Q1008	41
Croatia	20.5	Q224	42
Cyprus	22.4	Q229	43
Czech Republic	46.1	Q213	44
Denmark	23.8	Q35	45
Djibouti	37.9	Q977	46
Dominica	32.6	Q784	47
Dominican Republic	48.8	Q786	48
Ecuador	34.4	Q736	49
Egypt, Arab Rep.	44.4	Q79	50
El Salvador	36.4	Q792	51
Equatorial Guinea	79.4	Q983	52
Eritrea	83.7	Q986	53
Estonia	47.8	Q191	54
Ethiopia	37.7	Q115	55
Fiji	32.1	Q712	56
Finland	36.6	Q33	57
France	60.7	Q142	58
Gabon	47.1	Q1000	59
Gambia, The	48.4	Q1005	60
Georgia	9.9	Q230	61
Germany	48.8	Q183	62
Ghana	55.4	Q117	63
Greece	51.9	Q41	64
Grenada	47.8	Q769	65
Guatemala	35.2	Q774	66
Guinea	69.3	Q1006	67
Guinea-Bissau	45.5	Q1007	68
Guyana	30.6	Q734	69
Haiti	42.7	Q790	70
Honduras	39.1	Q783	71
Hungary	37.9	Q28	72
Iceland	31.9	Q189	73
India	49.7	Q668	74
Indonesia	30.1	Q252	75
Iran, Islamic Rep.	44.7	Q794	76
Iraq	30.8	Q796	77
Ireland	26.1	Q27	78
Israel	25.3	Q801	79
Italy	59.1	Q38	80
Jamaica	35.1	Q766	81
Japan	46.7	Q17	82
Jordan	28.6	Q810	83
Kazakhstan	28.4	Q232	84
Kenya	37.2	Q114	85
Kiribati	32.7	Q710	86
Korea, Rep.	33.2	Q884	87
Kosovo	15.2	Q1246	88
Kuwait	13.0	Q817	89
Kyrgyz Republic	29.0	Q813	90
Lao PDR	24.1	Q819	91
Latvia	38.1	Q211	92
Lebanon	32.2	Q822	93
Lesotho	13.6	Q1013	94
Liberia	46.2	Q1014	95
Libya	32.6	Q1016	96
Liechtenstein	21.6	Q347	97
Lithuania	42.6	Q37	98
Luxembourg	20.4	Q32	99
North Macedonia	13.0	Q221	100
Madagascar	38.3	Q1019	101
Malawi	34.5	Q1020	102
Malaysia	38.7	Q833	103
Maldives	30.2	Q826	104
Mali	54.5	Q912	105
Malta	44.0	Q233	106
Marshall Islands	65.9	Q709	107
Mauritania	67.0	Q1025	108
Mauritius	22.2	Q1027	109
Mexico	55.1	Q96	110
Micronesia, Fed. Sts.	60.5	Q702	111
Moldova	38.7	Q217	112
Mongolia	25.7	Q711	113
Montenegro	22.2	Q236	114
Morocco	45.8	Q1028	115
Mozambique	36.1	Q1029	116
Myanmar	31.2	Q836	117
Namibia	20.7	Q1030	118
Nepal	41.8	Q837	119
Netherlands	41.2	Q55	120
New Zealand	34.6	Q664	121
Nicaragua	60.6	Q811	122
Niger	47.2	Q1032	123
Nigeria	34.8	Q1033	124
Norway	36.2	Q20	125
Oman	27.4	Q842	126
Pakistan	33.9	Q843	127
Palau	76.6	Q695	128
Panama	37.2	Q804	129
Papua New Guinea	37.1	Q691	130
Paraguay	35.0	Q733	131
Peru	36.8	Q419	132
Philippines	43.1	Q928	133
Poland	40.8	Q36	134
Portugal	39.8	Q45	135
Puerto Rico	64.4	Q1183	136
Qatar	11.3	Q846	137
Romania	20.0	Q218	138
Russian Federation	46.2	Q159	139
Rwanda	33.2	Q1037	140
Samoa	19.3	Q683	141
San Marino	36.2	Q238	142
Sao Tome and Principe	37.0	Q1039	143
Saudi Arabia	15.7	Q851	144
Senegal	44.8	Q1041	145
Serbia	36.6	Q403	146
Seychelles	30.1	Q1042	147
Sierra Leone	30.7	Q1044	148
Singapore	21.0	Q334	149
Slovak Republic	49.7	Q214	150
Slovenia	31.0	Q215	151
Solomon Islands	32.0	Q685	152
South Africa	29.2	Q258	153
South Sudan	31.4	Q958	154
Spain	47.0	Q29	155
Sri Lanka	55.2	Q854	156
St. Kitts and Nevis	49.7	Q763	157
St. Lucia	34.7	Q760	158
St. Vincent and the Grenadines	37.0	Q757	159
Sudan	45.4	Q1049	160
Suriname	27.9	Q730	161
Eswatini	35.8	Q1050	162
Sweden	49.1	Q34	163
Switzerland	28.8	Q39	164
Syrian Arab Republic	42.7	Q858	165
Tajikistan	67.3	Q863	166
Tanzania	43.8	Q924	167
Thailand	29.5	Q869	168
Timor-Leste	17.3	Q574	169
Togo	48.2	Q945	170
Tonga	27.5	Q678	171
Trinidad and Tobago	40.5	Q754	172
Tunisia	60.7	Q948	173
Turkey	42.3	Q43	174
Uganda	33.7	Q1036	175
Ukraine	45.2	Q212	176
United Arab Emirates	15.9	Q878	177
United Kingdom	30.6	Q145	178
United States	36.6	Q30	179
Uruguay	41.8	Q77	180
Uzbekistan	31.6	Q265	181
Vanuatu	8.5	Q686	182
Venezuela, RB	73.3	Q717	183
Vietnam	37.6	Q881	184
West Bank and Gaza	15.3	Q407199	185
Yemen, Rep.	26.6	Q805	186
Zambia	15.6	Q953	187
Zimbabwe	31.6	Q954	188
