Country	EthnicFractionalization	LinguisticFractionalization	ReligiousFractionalization	ID	id_row
Afghanistan	769.3	614.1	271.7	Q889	0
Albania	220.4	39.9	471.9	Q222	1
Algeria	339.4	442.7	9.1	Q262	2
American Samoa	0.0	173.3	639.5	Q16641	3
Andorra	713.9	684.8	232.6	Q228	4
Angola	786.7	787.0	627.6	Q916	5
Antigua and Barbuda	164.3	106.3	684.0	Q781	6
Argentina	255.0	61.8	223.6	Q414	7
Armenia	127.2	129.1	457.6	Q399	8
Aruba	0.0	388.9	410.7	Q21203	9
Australia	92.9	334.9	821.1	Q408	10
Austria	106.8	152.2	414.6	Q40	11
Azerbaijan	204.7	205.4	489.9	Q227	12
Bahamas	422.8	185.5	681.5	Q778	13
Bahrain	502.1	434.4	552.8	Q398	14
Bangladesh	45.4	92.5	209.0	Q902	15
Barbados	142.3	92.6	693.4	Q244	16
Belarus	322.2	466.6	611.6	Q184	17
Belgium	555.4	540.9	212.7	Q31	18
Belize	701.5	630.3	581.3	Q242	19
Benin	787.2	790.5	554.4	Q962	20
Bermuda	0.0	0.0	711.2	Q23635	21
Bhutan	605.0	605.6	378.7	Q917	22
Bolivia	739.6	224.0	208.5	Q750	23
Bosnia and Herzegovina	630.0	675.1	685.1	Q225	24
Botswana	410.2	411.0	598.6	Q963	25
Brazil	540.8	46.8	605.4	Q155	26
Brunei	541.6	343.8	440.4	Q921	27
Bulgaria	402.1	303.1	596.5	Q219	28
Burkina Faso	737.7	722.8	579.8	Q965	29
Burundi	295.1	297.7	515.8	Q967	30
Cambodia	210.5	210.4	96.5	Q424	31
Cameroon	863.5	889.8	733.8	Q1009	32
Canada	712.4	577.2	695.8	Q16	33
Cape Verde	417.4	0.0	76.6	Q1011	34
Central African Republic	829.5	833.4	791.6	Q929	35
Chad	862.0	863.5	641.1	Q657	36
Chile	186.1	187.1	384.1	Q298	37
China	153.8	132.7	664.3	Q148	38
Colombia	601.4	19.3	147.8	Q739	39
Comoros	0.0	10.3	13.7	Q970	40
DR Congo	874.7	870.5	702.1	Q974	41
Congo	874.7	687.1	664.2	Q971	42
Costa Rica	236.8	48.9	241.0	Q800	43
Ivory Coast	820.4	784.2	755.1	Q1008	44
Croatia	369.0	76.3	444.7	Q224	45
Cuba	590.8	0.0	505.9	Q241	46
Cyprus	93.9	396.2	396.2	Q229	47
Czech Republic	322.2	323.3	659.1	Q213	48
Denmark	81.9	104.9	233.3	Q35	49
Djibouti	796.2	655.8	43.5	Q977	50
Dominica	200.3	0.0	462.8	Q784	51
Dominican Republic	429.4	39.5	311.8	Q786	52
East Timor	0.0	526.1	425.4	Q574	53
Ecuador	655.0	130.8	141.7	Q736	54
Egypt	183.6	23.7	197.9	Q79	55
El Salvador	197.8	0.0	355.9	Q792	56
Equatorial Guinea	346.7	322.0	119.5	Q983	57
Eritrea	652.4	653.0	425.3	Q986	58
Estonia	506.2	494.4	498.5	Q191	59
Ethiopia	723.5	807.3	624.9	Q115	60
Faroe Islands	0.0	0.0	314.7	Q4628	61
Fiji	547.9	547.9	568.2	Q712	62
Finland	131.5	141.2	253.1	Q33	63
France	103.2	122.1	402.9	Q142	64
French Guiana	0.0	115.4	495.9	Q3769	65
