Country	Income2010	Income2019	ID	id_row
France	71312.0	61524.0	Q142	57
Gambia, The	-8.0	-19.0	Q1005	58
Georgia	-218.0	-704.0	Q230	59
Germany	68902.0	103238.0	Q183	60
Ghana	-582.0	-3922.0	Q117	61
Greece	-7625.0	-1572.0	Q41	62
Grenada	-40.0	-111.0	Q769	63
Guatemala	-1034.0	-1275.0	Q774	64
Guinea	-77.0	-182.0	Q1006	65
Guinea-Bissau	-2.0	-51.0	Q1007	66
Guyana	13.0	-99.0	Q734	67
Haiti	22.0	53.0	Q790	68
Honduras	-850.0	-1901.0	Q783	69
Hungary	-5971.0	-5813.0	Q28	70
Iceland	-2141.0	447.0	Q189	71
India	-15602.0	-29386.0	Q668	72
Indonesia	-20698.0	-33773.0	Q252	73
Iraq	1593.0	-1155.0	Q796	74
Ireland	-34295.0	-88949.0	Q27	75
Israel	-4566.0	-831.0	Q801	76
Italy	-5109.0	16597.0	Q38	77
Jamaica	-495.0	-596.0	Q766	78
Japan	155086.0	192610.0	Q17	79
Jordan	-214.0	-199.0	Q810	80
Kazakhstan	-19376.0	-22290.0	Q232	81
Kenya	-148.0	-820.0	Q114	82
Kiribati	73.0	169.0	Q710	83
Korea, Rep.	-693.0	12199.0	Q884	84
Kosovo	90.0	167.0	Q1246	85
Kuwait	8462.0	21910.0	Q817	86
Kyrgyz Republic	-332.0	-256.0	Q813	87
Lao PDR	-83.0	-571.0	Q819	88
Latvia	199.0	-457.0	Q211	89
Lebanon	-509.0	-314.0	Q822	90
Lesotho	660.0	527.0	Q1013	91
Liberia	-1106.0	-109.0	Q1014	92
Libya	-30.0	913.0	Q1016	93
Lithuania	-239.0	-1579.0	Q37	94
Luxembourg	-11398.0	-21726.0	Q32	95
Madagascar	-149.0	-399.0	Q1019	96
Malawi	-190.0	-165.0	Q1020	97
Malaysia	-8021.0	-12765.0	Q833	98
Maldives	-311.0	-492.0	Q826	99
Mali	-419.0	-510.0	Q912	100
Malta	-458.0	-1399.0	Q233	101
Marshall Islands	36.0	56.0	Q709	102
Mauritania	-178.0	44.0	Q1025	103
Mauritius	-10.0	1491.0	Q1027	104
Mexico	-12417.0	-37175.0	Q96	105
Moldova	506.0	576.0	Q217	106
Mongolia	-598.0	-1569.0	Q711	107
Montenegro	-27.0	19.0	Q236	108
Morocco	-1242.0	-1913.0	Q1028	109
Mozambique	-359.0	-296.0	Q1029	110
Myanmar	-1722.0	-1616.0	Q836	111
Namibia	-277.0	-346.0	Q1030	112
Nepal	93.0	213.0	Q837	113
Netherlands	3393.0	3059.0	Q55	114
New Zealand	-6790.0	-5880.0	Q664	115
Nicaragua	-250.0	-310.0	Q811	116
Niger	-47.0	-193.0	Q1032	117
Nigeria	-19440.0	-15070.0	Q1033	118
North Macedonia	-131.0	-502.0	Q221	119
Norway	4858.0	16793.0	Q20	120
Oman	-3832.0	-5278.0	Q842	121
Pakistan	-3187.0	-6202.0	Q843	122
Palau	5.0	-3.0	Q695	123
Panama	-2311.0	-4403.0	Q804	124
Papua New Guinea	-598.0	-616.0	Q691	125
Paraguay	-1305.0	-1360.0	Q733	126
Peru	-11225.0	-11814.0	Q419	127
Philippines	677.0	5336.0	Q928	128
Poland	-15591.0	-26044.0	Q36	129
Portugal	-7660.0	-5832.0	Q45	130
Qatar	-13271.0	-4410.0	Q846	131
Romania	-1905.0	-3412.0	Q218	132
Russian Federation	-47105.0	-53351.0	Q159	133
Rwanda	-51.0	-302.0	Q1037	134
Samoa	-24.0	-36.0	Q683	135
Sao Tome and Principe	0.0	-3.0	Q1039	136
Saudi Arabia	7044.0	7971.0	Q851	137
Senegal	-150.0	-601.0	Q1041	138
Serbia	-867.0	-2773.0	Q403	139
Seychelles	-12.0	-89.0	Q1042	140
Sierra Leone	-49.0	-112.0	Q1044	141
Singapore	-2591.0	-34338.0	Q334	142
Sint Maarten (Dutch part)	-18.0	-26.0	Q26273	143
Slovak Republic	-2498.0	-2203.0	Q214	144
Slovenia	-699.0	-784.0	Q215	145
Solomon Islands	-44.0	-13.0	Q685	146
South Africa	-7996.0	-9933.0	Q258	147
Spain	-20541.0	2790.0	Q29	148
Sri Lanka	-617.0	-2399.0	Q854	149
St. Kitts and Nevis	-29.0	-56.0	Q763	150
St. Lucia	-40.0	-124.0	Q760	151
St. Vincent and the Grenadines	-12.0	-8.0	Q757	152
Sudan	-4167.0	-1812.0	Q1049	153
Suriname	-104.0	-413.0	Q730	154
Sweden	13690.0	13362.0	Q34	155
Switzerland	34179.0	13887.0	Q39	156
Tajikistan	1328.0	1331.0	Q863	157
Tanzania	-578.0	-870.0	Q924	158
Thailand	-14314.0	-19247.0	Q869	159
Timor-Leste	2435.0	1126.0	Q574	160
Togo	-23.0	19.0	Q945	161
Tonga	2.0	40.0	Q678	162
Trinidad and Tobago	-1080.0	-669.0	Q754	163
Tunisia	-1925.0	-963.0	Q948	164
Turkey	-6515.0	-12522.0	Q43	165
Uganda	-262.0	-731.0	Q1036	166
Ukraine	-2009.0	4753.0	Q212	167
United Kingdom	1764.0	-38573.0	Q145	168
United States	168218.0	256997.0	Q30	169
Uruguay	-1501.0	-3073.0	Q77	170
Vanuatu	-22.0	7.0	Q686	171
Vietnam	-4564.0	-15818.0	Q881	172
West Bank and Gaza	599.0	2394.0	Q407199	173
Zambia	-1363.0	-298.0	Q953	174
Zimbabwe	-71.0	-161.0	Q954	175
