Togo	56.0	Q945	165
Tonga	540.0	Q678	166
Trinidad and Tobago	840.0	Q754	167
Tunisia	970.0	Q948	168
Turkey	2800.0	Q43	169
Turkmenistan	4400.0	Q874	170
Uganda	49.0	Q1036	171
Ukraine	3700.0	Q212	172
United Arab Emirates	17900.0	Q878	173
United Kingdom	8400.0	Q145	174
United States	3000.0	Q30	175
Uruguay	2900.0	Q77	176
Uzbekistan	1200.0	Q265	177
Vanuatu	330.0	Q686	178
Venezuela, RB	330.0	Q717	179
Vietnam	1100.0	Q881	180
West Bank and Gaza	880.0	Q407199	181
Yemen, Rep.	150.0	Q805	182
Zambia	93.0	Q953	183
Zimbabwe	55.0	Q954	184
