Country	Avg	ID	id_row
Afghanistan	327.0	Q889	0
Albania	1485.0	Q222	1
Algeria	89.0	Q262	2
Angola	1010.0	Q916	3
Antigua and Barbuda	1030.0	Q781	4
Argentina	591.0	Q414	5
Armenia	562.0	Q399	6
Australia	534.0	Q408	7
Austria	1110.0	Q40	8
Azerbaijan	447.0	Q227	9
Bahamas, The	1292.0	Q778	10
Bahrain	83.0	Q398	11
Bangladesh	2666.0	Q902	12
Barbados	1422.0	Q244	13
Belarus	618.0	Q184	14
Belgium	847.0	Q31	15
Belize	1705.0	Q242	16
Benin	1039.0	Q962	17
Bhutan	2200.0	Q917	18
Bolivia	1146.0	Q750	19
Bosnia and Herzegovina	1028.0	Q225	20
Botswana	416.0	Q963	21
Brazil	1761.0	Q155	22
Brunei Darussalam	2722.0	Q921	23
Bulgaria	608.0	Q219	24
Burkina Faso	748.0	Q965	25
Burundi	1274.0	Q967	26
Cabo Verde	228.0	Q1011	27
Cambodia	1904.0	Q424	28
Cameroon	1604.0	Q1009	29
Canada	537.0	Q16	30
Central African Republic	1343.0	Q929	31
Chad	322.0	Q657	32
Chile	1522.0	Q298	33
China	645.0	Q148	34
Colombia	3240.0	Q739	35
Comoros	900.0	Q970	36
Congo, Dem. Rep.	1543.0	Q974	37
Congo, Rep.	1646.0	Q971	38
Costa Rica	2926.0	Q800	39
Cote d'Ivoire	1348.0	Q1008	40
Croatia	1113.0	Q224	41
Cuba	1335.0	Q241	42
Cyprus	498.0	Q229	43
Czech Republic	677.0	Q213	44
Denmark	703.0	Q35	45
Djibouti	220.0	Q977	46
Dominica	2083.0	Q784	47
Dominican Republic	1410.0	Q786	48
Ecuador	2274.0	Q736	49
Egypt, Arab Rep.	51.0	Q79	50
El Salvador	1784.0	Q792	51
Equatorial Guinea	2156.0	Q983	52
Eritrea	384.0	Q986	53
Estonia	626.0	Q191	54
Eswatini	788.0	Q1050	55
Ethiopia	848.0	Q115	56
Fiji	2592.0	Q712	57
Finland	536.0	Q33	58
France	867.0	Q142	59
Gabon	1831.0	Q1000	60
Gambia, The	836.0	Q1005	61
Georgia	1026.0	Q230	62
Germany	700.0	Q183	63
Ghana	1187.0	Q117	64
Greece	652.0	Q41	65
Grenada	2350.0	Q769	66
Guatemala	1996.0	Q774	67
Guinea	1651.0	Q1006	68
Guinea-Bissau	1577.0	Q1007	69
Guyana	2387.0	Q734	70
Haiti	1440.0	Q790	71
Honduras	1976.0	Q783	72
Hungary	589.0	Q28	73
Iceland	1940.0	Q189	74
India	1083.0	Q668	75
Indonesia	2702.0	Q252	76
Iran, Islamic Rep.	228.0	Q794	77
Iraq	216.0	Q796	78
Ireland	1118.0	Q27	79
Israel	435.0	Q801	80
Italy	832.0	Q38	81
Jamaica	2051.0	Q766	82
Japan	1668.0	Q17	83
Jordan	111.0	Q810	84
Kazakhstan	250.0	Q232	85
Kenya	630.0	Q114	86
Kiribati	630.0	Q710	87
Korea, Dem. Peopleâ€™s Rep.	1054.0	Q423	88
Korea, Rep.	1274.0	Q884	89
Kuwait	121.0	Q817	90
Kyrgyz Republic	533.0	Q813	91
Lao PDR	1834.0	Q819	92
Latvia	641.0	Q211	93
Lebanon	661.0	Q822	94
Lesotho	788.0	Q1013	95
Liberia	2391.0	Q1014	96
Libya	56.0	Q1016	97
Liechtenstein	56.0	Q347	98
Lithuania	656.0	Q37	99
Luxembourg	934.0	Q32	100
North Macedonia	619.0	Q221	101
Madagascar	1513.0	Q1019	102
Malawi	1181.0	Q1020	103
Malaysia	2875.0	Q833	104
Maldives	1972.0	Q826	105
Mali	282.0	Q912	106
Malta	560.0	Q233	107
Marshall Islands	560.0	Q709	108
Mauritania	92.0	Q1025	109
Mauritius	2041.0	Q1027	110
Mexico	758.0	Q96	111
Micronesia, Fed. Sts.	758.0	Q702	112
Moldova	450.0	Q217	113
Mongolia	241.0	Q711	114
Montenegro	241.0	Q236	115
Morocco	346.0	Q1028	116
Mozambique	1032.0	Q1029	117
Myanmar	2091.0	Q836	118
Namibia	285.0	Q1030	119
Nepal	1500.0	Q837	120
Netherlands	778.0	Q55	121
New Zealand	1732.0	Q664	122
Nicaragua	2280.0	Q811	123
Niger	151.0	Q1032	124
Nigeria	1150.0	Q1033	125
Norway	1414.0	Q20	126
Oman	125.0	Q842	127
Pakistan	494.0	Q843	128
Palau	494.0	Q695	129
Panama	2928.0	Q804	130
Papua New Guinea	3142.0	Q691	131
Paraguay	1130.0	Q733	132
Peru	1738.0	Q419	133
Philippines	2348.0	Q928	134
Poland	600.0	Q36	135
Portugal	854.0	Q45	136
Puerto Rico	2054.0	Q1183	137
Qatar	74.0	Q846	138
Romania	637.0	Q218	139
Russian Federation	460.0	Q159	140
Rwanda	1212.0	Q1037	141
Samoa	1583.0	Q683	142
Sao Tome and Principe	3200.0	Q1039	143
Saudi Arabia	59.0	Q851	144
Senegal	686.0	Q1041	145
Serbia	686.0	Q403	146
Seychelles	2330.0	Q1042	147
Sierra Leone	2526.0	Q1044	148
Singapore	2497.0	Q334	149
Slovak Republic	824.0	Q214	150
Slovenia	1162.0	Q215	151
Solomon Islands	3028.0	Q685	152
Somalia	282.0	Q1045	153
South Africa	495.0	Q258	154
South Sudan	900.0	Q958	155
Spain	636.0	Q29	156
Sri Lanka	1712.0	Q854	157
St. Kitts and Nevis	1427.0	Q763	158
St. Lucia	2301.0	Q760	159
St. Vincent and the Grenadines	1583.0	Q757	160
Sudan	250.0	Q1049	161
Suriname	2331.0	Q730	162
Sweden	624.0	Q34	163
Switzerland	1537.0	Q39	164
Syrian Arab Republic	252.0	Q858	165
Tajikistan	691.0	Q863	166
Tanzania	1071.0	Q924	167
Thailand	1622.0	Q869	168
Timor-Leste	1500.0	Q574	169
Togo	1168.0	Q945	170
Trinidad and Tobago	2200.0	Q754	171
Tunisia	207.0	Q948	172
Turkey	593.0	Q43	173
Turkmenistan	161.0	Q874	174
Tuvalu	161.0	Q672	175
Uganda	1180.0	Q1036	176
Ukraine	565.0	Q212	177
United Arab Emirates	78.0	Q878	178
United Kingdom	1220.0	Q145	179
United States	715.0	Q30	180
Uruguay	1300.0	Q77	181
Uzbekistan	206.0	Q265	182
Vanuatu	206.0	Q686	183
Venezuela, RB	2044.0	Q717	184
Vietnam	1821.0	Q881	185
West Bank and Gaza	402.0	Q407199	186
Yemen, Rep.	167.0	Q805	187
Zambia	1020.0	Q953	188
Zimbabwe	657.0	Q954	189
