Country	GDP2010	GDP2019	ID	id_row
Afghanistan	48.9	52.1	Q889	0
Albania	44.0	48.6	Q222	1
Algeria	38.2	45.9	Q262	2
Angola	41.9	43.2	Q916	3
Antigua and Barbuda	70.7	66.8	Q781	4
Argentina	51.5	53.6	Q414	5
Armenia	45.7	54.2	Q399	6
Australia	65.7	66.1	Q408	7
Austria	62.3	62.5	Q40	8
Azerbaijan	28.2	37.4	Q227	9
Bahamas, The	81.1	74.2	Q778	10
Bahrain	53.7	54.9	Q398	11
Bangladesh	53.5	52.8	Q902	12
Belarus	43.5	48.8	Q184	13
Belgium	67.7	69.7	Q31	14
Belize	60.3	65.5	Q242	15
Benin	44.5	48.0	Q962	16
Bhutan	37.3	39.9	Q917	17
Bolivia	43.6	50.7	Q750	18
Bosnia and Herzegovina	55.6	55.5	Q225	19
Botswana	55.0	60.6	Q963	20
Brazil	57.6	63.3	Q155	21
Brunei Darussalam	32.5	38.2	Q921	22
Bulgaria	59.6	60.7	Q219	23
Burkina Faso	42.1	44.0	Q965	24
Burundi	37.0	47.9	Q967	25
Cabo Verde	61.2	61.4	Q1011	26
Cambodia	38.3	38.8	Q424	27
Cameroon	52.1	49.3	Q1009	28
Cayman Islands	87.6	87.0	Q5785	29
Central African Republic	29.3	43.6	Q929	30
Chad	33.4	40.5	Q657	31
Chile	52.8	58.7	Q298	32
China	44.2	53.9	Q148	33
Hong Kong SAR, China	90.9	88.6	Q8646	34
Macao SAR, China	94.4	94.2	Q14773	35
Colombia	53.4	57.5	Q739	36
Comoros	53.2	53.5	Q970	37
Congo, Dem. Rep.	35.4	35.4	Q974	38
Congo, Rep.	20.8	35.4	Q971	39
Costa Rica	61.8	69.6	Q800	40
Cote d'Ivoire	53.1	53.9	Q1008	41
Croatia	59.0	59.1	Q224	42
Cuba	72.5	70.0	Q241	43
Curacao	77.0	73.5	Q25279	44
Cyprus	71.6	71.9	Q229	45
Czech Republic	55.6	56.2	Q213	46
Denmark	65.4	64.9	Q35	47
Dominica	60.3	52.5	Q784	48
Dominican Republic	59.3	60.3	Q786	49
Ecuador	51.1	51.9	Q736	50
Egypt, Arab Rep.	46.2	50.5	Q79	51
El Salvador	59.5	59.9	Q792	52
Equatorial Guinea	24.7	46.7	Q983	53
Estonia	60.2	61.4	Q191	54
Eswatini	49.6	53.1	Q1050	55
Ethiopia	41.8	36.9	Q115	56
Faroe Islands	58.3	52.6	Q4628	57
Fiji	57.5	53.9	Q712	58
Finland	58.9	60.3	Q33	59
France	70.7	70.2	Q142	60
Gabon	32.4	40.1	Q1000	61
Gambia, The	49.2	58.5	Q1005	62
Georgia	63.1	60.4	Q230	63
Germany	62.3	62.4	Q183	64
Ghana	48.2	44.1	Q117	65
Greece	71.6	68.1	Q41	66
