Country	Goveernment2010	Goveernment2018	ID	id_row
Afghanistan	31.4	18.5	Q889	0
Albania	5.1	3.9	Q222	1
Angola	8.5	3.8	Q916	2
Armenia	5.5	3.3	Q399	3
Australia	0.0	0.0	Q408	4
Austria	1.9	1.7	Q40	5
Azerbaijan	10.5	12.1	Q227	6
Bahamas, The	1.5	1.9	Q778	7
Bangladesh	1.7	2.4	Q902	8
Barbados	0.6	0.9	Q244	9
Belarus	1.6	0.8	Q184	10
Belgium	0.3	0.2	Q31	11
Bhutan	13.5	11.2	Q917	12
Bosnia and Herzegovina	1.6	1.8	Q225	13
Botswana	11.1	7.5	Q963	14
Brazil	0.8	0.3	Q155	15
Bulgaria	3.2	1.5	Q219	16
Burkina Faso	11.0	6.9	Q965	17
Cambodia	9.4	7.2	Q424	18
Canada	0.6	0.5	Q16	19
Chile	2.1	2.1	Q298	20
China	0.1	0.0	Q148	21
Macao SAR, China	2.4	2.5	Q14773	22
Colombia	1.5	-0.5	Q739	23
Congo, Rep.	9.1	10.7	Q971	24
Cote d'Ivoire	2.8	2.6	Q1008	25
Cyprus	3.5	2.0	Q229	26
Czech Republic	2.5	1.8	Q213	27
Denmark	1.8	2.2	Q35	28
Dominican Republic	3.0	1.8	Q786	29
Egypt, Arab Rep.	4.0	2.5	Q79	30
El Salvador	1.5	1.3	Q792	31
Equatorial Guinea	25.6	21.1	Q983	32
Estonia	2.2	3.4	Q191	33
Fiji	3.2	3.1	Q712	34
Finland	1.6	1.5	Q33	35
France	1.9	1.5	Q142	36
Georgia	4.0	1.2	Q230	37
Germany	0.5	0.7	Q183	38
Ghana	6.3	6.8	Q117	39
Greece	2.8	2.9	Q41	40
Guatemala	1.8	0.3	Q774	41
Honduras	2.2	2.1	Q783	42
Hungary	1.5	2.0	Q28	43
Iceland	1.4	1.8	Q189	44
Indonesia	1.2	1.2	Q252	45
Ireland	1.5	1.5	Q27	46
Israel	0.4	0.5	Q801	47
Italy	1.3	1.0	Q38	48
Jamaica	4.8	2.4	Q766	49
Japan	1.2	1.1	Q17	50
Jordan	2.9	2.2	Q810	51
Kazakhstan	1.4	1.2	Q232	52
Kiribati	2.0	6.0	Q710	53
Korea, Rep.	1.0	1.5	Q884	54
Kuwait	6.2	7.6	Q817	55
Kyrgyz Republic	4.5	6.9	Q813	56
Latvia	2.2	3.6	Q211	57
Lebanon	1.8	1.7	Q822	58
Lesotho	12.1	10.2	Q1013	59
Lithuania	2.6	2.0	Q37	60
Luxembourg	3.3	2.5	Q32	61
Madagascar	4.4	4.4	Q1019	62
Malawi	6.0	5.9	Q1020	63
Malaysia	6.2	3.3	Q833	64
Mali	7.1	9.2	Q912	65
Malta	2.1	2.3	Q233	66
Marshall Islands	10.2	3.1	Q709	67
Mauritius	3.0	1.4	Q1027	68
Mexico	0.7	0.5	Q96	69
Micronesia, Fed. Sts.	18.6	11.5	Q702	70
Moldova	1.6	1.9	Q217	71
Mongolia	5.2	7.9	Q711	72
Morocco	3.8	5.7	Q1028	73
Myanmar	7.6	5.4	Q836	74
Namibia	4.5	4.0	Q1030	75
Nepal	3.9	7.8	Q837	76
Netherlands	1.8	1.5	Q55	77
New Zealand	2.0	2.0	Q664	78
Nicaragua	2.0	2.7	Q811	79
North Macedonia	1.7	1.9	Q221	80
Norway	2.2	3.0	Q20	81
Palau	11.0	5.6	Q695	82
Paraguay	1.7	2.8	Q733	83
Peru	2.1	1.0	Q419	84
Philippines	2.4	3.3	Q928	85
Poland	2.8	2.1	Q36	86
Portugal	3.6	0.7	Q45	87
Romania	3.6	1.8	Q218	88
Russian Federation	3.1	2.5	Q159	89
Saudi Arabia	8.6	5.5	Q851	90
Seychelles	4.0	4.8	Q1042	91
Singapore	-3.1	-1.0	Q334	92
Slovak Republic	2.2	2.8	Q214	93
Slovenia	2.5	1.8	Q215	94
Solomon Islands	1.9	11.1	Q685	95
South Africa	0.7	0.9	Q258	96
Spain	1.4	0.6	Q29	97
Sri Lanka	2.5	2.7	Q854	98
Sweden	2.6	2.1	Q34	99
Switzerland	0.9	0.9	Q39	100
Tanzania	2.5	0.2	Q924	101
Thailand	2.7	1.5	Q869	102
Timor-Leste	32.1	39.9	Q574	103
Togo	5.9	12.5	Q945	104
Tonga	8.2	9.4	Q678	105
Turkey	1.9	4.4	Q43	106
Ukraine	0.6	0.6	Q212	107
United Arab Emirates	0.4	0.6	Q878	108
United Kingdom	2.0	1.6	Q145	109
United States	1.9	1.3	Q30	110
Uruguay	1.4	1.4	Q77	111
Uzbekistan	1.6	2.0	Q265	112
Vanuatu	4.9	3.5	Q686	113
West Bank and Gaza	0.1	0.3	Q407199	114
Zambia	3.1	1.5	Q953	115
