Country	Total	Urban	Rural	ID	id_row
Albania	7.1	2.4	4.7	Q222	0
Algeria	0.8	0.6	0.2	Q262	1
American Samoa	3.3	2.0	1.3	Q16641	2
Angola	1.4	1.2	0.2	Q916	3
Antigua and Barbuda	11.8	8.6	3.2	Q781	4
Argentina	3.0	2.1	1.0	Q414	5
Aruba	7.1	4.7	2.4	Q21203	6
Australia	4.5	3.6	0.9	Q408	7
Bahamas, The	20.3	11.8	8.5	Q778	8
Bahrain	34.3	24.3	9.9	Q398	9
Bangladesh	8.9	1.8	7.1	Q902	10
Barbados	0.7	0.5	0.2	Q244	11
Belarus	0.0	0.0	0.0	Q184	12
Belgium	11.2	10.0	1.2	Q31	13
Belize	20.5	13.1	7.5	Q242	14
Benin	11.9	8.4	3.4	Q962	15
Bermuda	11.9	4.5	7.3	Q23635	16
Bosnia and Herzegovina	0.1	0.1	0.1	Q225	17
Brazil	2.6	2.0	0.5	Q155	18
Brunei Darussalam	1.6	1.1	0.5	Q921	19
Bulgaria	0.7	0.6	0.1	Q219	20
Cambodia	7.2	0.7	6.5	Q424	21
Cameroon	0.5	0.3	0.2	Q1009	22
Canada	2.2	1.9	0.4	Q16	23
Cabo Verde	5.6	3.7	2.0	Q1011	24
Cayman Islands	12.1	10.5	1.6	Q5785	25
Chile	0.4	0.2	0.1	Q298	26
China	6.6	4.2	2.4	Q148	27
Hong Kong SAR, China	10.3	5.9	4.4	Q8646	28
Macao SAR, China	39.6	23.3	16.3	Q14773	29
Colombia	1.2	0.8	0.4	Q739	30
Comoros	0.7	0.1	0.6	Q970	31
Congo, Dem. Rep.	0.0	0.0	0.0	Q974	32
Congo, Rep.	0.5	0.4	0.1	Q971	33
Costa Rica	0.4	0.1	0.2	Q800	34
Cote d'Ivoire	3.8	3.5	0.2	Q1008	35
Croatia	1.8	1.0	0.9	Q224	36
Cuba	2.9	1.4	1.5	Q241	37
Cyprus	5.6	5.1	0.6	Q229	38
Denmark	16.3	11.1	5.2	Q35	39
Djibouti	12.4	11.4	1.0	Q977	40
Dominica	1.0	0.5	0.5	Q784	41
Dominican Republic	1.2	0.5	0.7	Q786	42
Ecuador	5.2	3.8	1.4	Q736	43
Egypt, Arab Rep.	21.5	9.3	12.3	Q79	44
El Salvador	0.5	0.1	0.4	Q792	45
Equatorial Guinea	0.9	0.6	0.4	Q983	46
Eritrea	0.8	0.2	0.6	Q986	47
Estonia	2.9	2.1	0.8	Q191	48
Eswatini	0.0	0.0	0.0	Q1050	49
Ethiopia	0.0	0.0	0.0	Q115	50
Faroe Islands	6.8	2.3	4.5	Q4628	51
Fiji	4.9	3.0	1.9	Q712	52
Finland	1.9	1.5	0.3	Q33	53
France	2.9	2.2	0.7	Q142	54
French Polynesia	5.0	0.3	4.7	Q30971	55
Gabon	4.9	3.6	1.3	Q1000	56
Gambia, The	23.5	15.2	8.4	Q1005	57
Georgia	2.8	1.8	1.0	Q230	58
Germany	4.0	3.0	1.0	Q183	59
Ghana	2.6	1.8	0.8	Q117	60
Greece	4.5	2.9	1.6	Q41	61
Greenland	46.5	20.7	25.7	Q223	62
Grenada	1.9	0.5	1.4	Q769	63
Guam	1.2	0.6	0.6	Q16635	64
Guatemala	0.2	0.0	0.2	Q774	65
Guinea	6.0	5.0	1.0	Q1006	66
Guinea-Bissau	15.3	3.3	12.0	Q1007	67
Guyana	27.9	10.7	17.2	Q734	68
Haiti	1.9	0.8	1.0	Q790	69
Honduras	0.9	0.2	0.7	Q783	70
Iceland	7.6	3.0	4.6	Q189	71
India	2.7	1.1	1.5	Q668	72
Indonesia	7.4	3.8	3.6	Q252	73
Iran, Islamic Rep.	1.3	0.8	0.5	Q794	74
Iraq	5.8	2.7	3.1	Q796	75
Ireland	4.8	3.4	1.4	Q27	76
Isle of Man	3.5	1.4	2.2	Q9676	77
Israel	1.6	1.2	0.3	Q801	78
Italy	5.7	4.2	1.5	Q38	79
Jamaica	3.6	2.3	1.3	Q766	80
Japan	12.6	11.9	0.7	Q17	81
Jordan	0.0	0.0	0.0	Q810	82
Kenya	0.4	0.1	0.3	Q114	83
Kiribati	20.6	1.7	18.8	Q710	84
Korea, Dem. Peopleâ€™s Rep.	5.1	2.2	3.0	Q423	85
Korea, Rep.	3.0	2.0	1.0	Q884	86
Kuwait	17.4	3.4	14.0	Q817	87
Lao PDR	0.0	0.0	0.0	Q819	88
Latvia	17.3	16.6	0.7	Q211	89
Lebanon	4.1	2.2	1.9	Q822	90
Liberia	6.4	4.4	1.9	Q1014	91
Libya	6.2	5.6	0.6	Q1016	92
Lithuania	2.9	2.2	0.6	Q37	93
Luxembourg	0.0	0.0	0.0	Q32	94
North Macedonia	0.0	0.0	0.0	Q221	95
Madagascar	1.7	0.6	1.1	Q1019	96
Malawi	0.0	0.0	0.0	Q1020	97
Malaysia	5.1	3.1	2.0	Q833	98
Maldives	48.2	0.0	48.2	Q826	99
Mali	0.0	0.0	0.0	Q912	100
Malta	2.3	1.3	0.9	Q233	101
Marshall Islands	35.9	0.0	35.9	Q709	102
Mauritania	19.1	5.6	13.6	Q1025	103
Mauritius	1.4	0.7	0.7	Q1027	104
Mexico	1.6	0.8	0.8	Q96	105
Micronesia, Fed. Sts.	8.4	2.9	5.5	Q702	106
Moldova	0.6	0.3	0.3	Q217	107
Monaco	25.3	22.2	3.1	Q235	108
Morocco	1.4	1.1	0.3	Q1028	109
Mozambique	5.2	2.8	2.4	Q1029	110
Myanmar	11.0	2.9	8.1	Q836	111
Namibia	1.1	0.9	0.1	Q1030	112
Netherlands	58.5	48.9	9.6	Q55	113
New Caledonia	14.0	8.2	5.8	Q33788	114
New Zealand	4.2	3.3	1.0	Q664	115
Nicaragua	0.9	0.3	0.6	Q811	116
Nigeria	2.7	2.0	0.7	Q1033	117
Northern Mariana Islands	1.9	0.3	1.6	Q16644	118
Norway	3.9	2.3	1.6	Q20	119
Oman	5.7	4.8	0.8	Q842	120
Pakistan	1.1	0.6	0.4	Q843	121
Palau	3.5	1.1	2.4	Q695	122
Panama	3.0	1.6	1.4	Q804	123
Papua New Guinea	0.5	0.1	0.3	Q691	124
Peru	0.9	0.7	0.3	Q419	125
Philippines	5.7	2.4	3.3	Q928	126
Poland	1.7	1.1	0.6	Q36	127
Portugal	3.6	2.4	1.3	Q45	128
Puerto Rico	8.9	8.4	0.5	Q1183	129
Qatar	12.8	10.3	2.5	Q846	130
Romania	2.0	1.4	0.5	Q218	131
Russian Federation	1.2	0.9	0.3	Q159	132
Samoa	1.4	1.1	0.3	Q683	133
San Marino	0.0	0.0	0.0	Q238	134
Sao Tome and Principe	1.3	1.1	0.2	Q1039	135
Saudi Arabia	5.2	4.6	0.6	Q851	136
Senegal	10.1	5.8	4.2	Q1041	137
Seychelles	16.6	2.5	14.2	Q1042	138
Sierra Leone	3.8	0.9	2.9	Q1044	139
