Country	Total	Urban	Rural	ID	id_row
Singapore	10.3	5.7	4.7	Q334	140
Slovenia	0.8	0.7	0.1	Q215	141
Solomon Islands	2.9	1.0	1.8	Q685	142
Somalia	2.5	1.3	1.2	Q1045	143
South Africa	0.2	0.1	0.1	Q258	144
Spain	4.4	3.5	0.9	Q29	145
Sri Lanka	3.0	1.4	1.5	Q854	146
St. Kitts and Nevis	3.9	2.0	1.9	Q763	147
St. Lucia	1.6	0.9	0.7	Q760	148
St. Vincent and the Grenadines	3.7	0.7	3.1	Q757	149
Sudan	0.3	0.2	0.1	Q1049	150
Suriname	56.2	51.6	4.6	Q730	151
Sweden	3.7	2.6	1.1	Q34	152
Switzerland	0.0	0.0	0.0	Q39	153
Syrian Arab Republic	0.1	0.0	0.1	Q858	154
Tanzania	0.7	0.3	0.4	Q924	155
Thailand	10.3	6.3	4.1	Q869	156
Timor-Leste	0.9	0.1	0.8	Q574	157
Togo	3.6	3.4	0.2	Q945	158
Tonga	7.5	2.9	4.6	Q678	159
Trinidad and Tobago	2.9	2.0	0.9	Q754	160
Tunisia	8.5	7.0	1.5	Q948	161
Turkey	1.8	1.2	0.6	Q43	162
Turks and Caicos Islands	48.4	12.9	35.4	Q18221	163
Tuvalu	47.5	0.0	47.5	Q672	164
Ukraine	1.8	1.3	0.5	Q212	165
United Arab Emirates	14.8	13.2	1.6	Q878	166
United Kingdom	5.3	4.2	1.1	Q145	167
United States	2.5	2.3	0.2	Q30	168
Uruguay	4.1	3.3	0.8	Q77	169
Vanuatu	1.2	0.4	0.8	Q686	170
Venezuela, RB	2.5	1.8	0.7	Q717	171
Vietnam	37.0	7.3	29.6	Q881	172
Virgin Islands (U.S.)	5.4	2.9	2.5	Q11703	173
West Bank and Gaza	0.6	0.3	0.3	Q407199	174
Yemen, Rep.	1.6	0.9	0.7	Q805	175
