Country	Tons	Change	Fromenergyprocesses	Agricultural	ID	id_row
Afghanistan	3424.0	24.6	6.0	71.3	Q889	0
Albania	1146.0	-26.5	6.2	80.6	Q222	1
Algeria	6382.0	49.9	7.2	53.9	Q262	2
American Samoa	24.0	2509.8	0.0	99.2	Q16641	3
Andorra	0.0	0.0	0.0	0.0	Q228	4
Angola	3641.0	-79.5	6.0	81.3	Q916	5
Antigua and Barbuda	26.0	54.5	12.6	51.3	Q781	6
Argentina	53101.0	37.9	3.1	90.6	Q414	7
Armenia	1023.0	27.0	3.2	81.1	Q399	8
Aruba	6.0	-45.1	36.5	13.0	Q21203	9
Australia	54247.0	-13.7	6.6	81.0	Q408	10
Austria	3790.0	-28.7	17.6	56.0	Q40	11
Azerbaijan	2673.0	0.3	5.4	80.0	Q227	12
Bahamas, The	131.0	119.4	19.6	16.1	Q778	13
Bahrain	131.0	80.8	23.7	11.3	Q398	14
Bangladesh	26683.0	64.7	7.6	82.9	Q902	15
Barbados	59.0	-16.1	13.0	43.4	Q244	16
Belarus	13905.0	-31.0	5.4	71.2	Q184	17
Belgium	8503.0	-13.5	8.0	31.3	Q31	18
Belize	200.0	54.3	9.5	72.4	Q242	19
Benin	4867.0	30.4	2.5	62.6	Q962	20
Bermuda	21.0	46.9	16.6	13.5	Q23635	21
Bhutan	555.0	210.4	34.4	42.1	Q917	22
Bolivia	9733.0	-33.4	1.6	53.7	Q750	23
Bosnia and Herzegovina	1124.0	-10.8	10.2	70.7	Q225	24
Botswana	2229.0	-58.7	2.9	93.9	Q963	25
Brazil	214529.0	36.8	3.7	81.5	Q155	26
Brunei Darussalam	342.0	-40.1	4.9	27.9	Q921	27
Bulgaria	4646.0	-49.9	7.9	49.9	Q219	28
Burkina Faso	7366.0	75.3	5.5	89.5	Q965	29
Burundi	789.0	17.3	25.0	60.2	Q967	30
Cabo Verde	81.0	85.0	2.7	82.4	Q1011	31
Cambodia	16685.0	329.1	1.7	51.9	Q424	32
Cameroon	13900.0	32.9	1.5	77.0	Q1009	33
Canada	33414.0	-27.5	17.9	65.4	Q16	34
Cayman Islands	14.0	100.2	25.2	5.2	Q5785	35
Central African Republic	100652.0	97.4	0.1	77.6	Q929	36
Chad	14863.0	84.5	1.1	90.0	Q657	37
Chile	8949.0	69.1	5.9	66.4	Q298	38
China	587166.0	72.5	10.5	74.7	Q148	39
Hong Kong SAR, China	476.0	20.1	41.3	0.0	Q8646	40
Macao SAR, China	12.0	26.9	36.6	0.0	Q14773	41
Colombia	25642.0	26.2	2.8	84.9	Q739	42
Comoros	59.0	41.5	8.4	74.2	Q970	43
Congo, Dem. Rep.	67965.0	-22.0	2.1	31.8	Q974	44
Congo, Rep.	2957.0	-32.0	2.7	52.7	Q971	45
Costa Rica	1566.0	-15.8	5.9	80.4	Q800	46
Cote d'Ivoire	10034.0	31.7	2.8	27.9	Q1008	47
Croatia	2854.0	-39.7	7.0	52.4	Q224	48
Cuba	5912.0	-39.1	2.7	75.7	Q241	49
Cyprus	315.0	31.1	14.2	63.5	Q229	50
Czech Republic	7315.0	-26.9	23.5	50.3	Q213	51
Denmark	5340.0	-35.6	9.6	79.8	Q35	52
Djibouti	257.0	37.4	3.6	83.7	Q977	53
Dominica	21.0	-13.9	5.7	56.6	Q784	54
Dominican Republic	2190.0	2.8	9.0	73.4	Q786	55
Ecuador	5435.0	70.1	3.9	85.6	Q736	56
Egypt, Arab Rep.	25110.0	31.7	6.0	67.3	Q79	57
El Salvador	1414.0	5.7	8.1	75.4	Q792	58
Equatorial Guinea	37.0	104.1	57.0	27.2	Q983	59
Eritrea	1259.0	22.2	5.7	88.3	Q986	60
Estonia	951.0	-52.3	14.2	65.3	Q191	61
Ethiopia	39854.0	57.7	4.7	88.3	Q115	62
Faroe Islands	7.0	7.3	0.0	86.6	Q4628	63
Fiji	344.0	-3.0	2.4	91.4	Q712	64
Finland	5547.0	-29.0	28.7	41.2	Q33	65
France	36866.0	-50.1	7.7	70.9	Q142	66
French Polynesia	37.0	1.7	11.2	48.5	Q30971	67
Gabon	838.0	172.8	2.9	18.1	Q1000	68
Gambia, The	500.0	50.9	3.9	85.4	Q1005	69
Georgia	2352.0	-19.7	3.2	53.7	Q230	70
Germany	43411.0	-39.0	11.4	57.5	Q183	71
Ghana	17593.0	244.9	2.3	78.3	Q117	72
Greece	4639.0	-42.1	14.4	60.9	Q41	73
Greenland	231.0	31.7	0.0	0.6	Q223	74
Grenada	26.0	168.8	10.7	21.0	Q769	75
Guam	2.0	30.3	0.4	84.7	Q16635	76
Guatemala	4606.0	84.6	7.3	60.5	Q774	77
Guinea	21254.0	269.6	0.9	59.0	Q1006	78
Guinea-Bissau	990.0	87.8	1.7	90.1	Q1007	79
Guyana	2123.0	3.1	1.3	82.9	Q734	80
Haiti	1495.0	64.3	7.9	81.8	Q790	81
Honduras	3206.0	32.1	3.9	75.7	Q783	82
Hungary	4356.0	-59.7	6.7	80.2	Q28	83
Iceland	369.0	-9.7	3.9	85.8	Q189	84
India	239755.0	41.4	12.3	73.8	Q668	85
Indonesia	93139.0	-7.4	4.0	65.5	Q252	86
Iran, Islamic Rep.	25191.0	30.5	7.4	80.7	Q794	87
Iraq	5007.0	5.5	10.3	52.7	Q796	88
Ireland	7302.0	-15.1	4.4	90.1	Q27	89
Israel	1751.0	8.4	15.4	54.3	Q801	90
Italy	20084.0	-36.5	14.9	54.7	Q38	91
Jamaica	656.0	36.9	14.4	53.3	Q766	92
Japan	24911.0	-32.6	27.0	30.1	Q17	93
Jordan	605.0	-4.0	8.5	61.5	Q810	94
Kazakhstan	17822.0	-43.5	7.8	73.4	Q232	95
Kenya	11590.0	24.8	5.5	88.3	Q114	96
Kiribati	4.0	43.4	8.0	47.2	Q710	97
Korea, Dem. Peopleâ€™s Rep.	3306.0	-66.0	13.3	66.8	Q423	98
Korea, Rep.	14979.0	42.2	25.7	42.2	Q884	99
Kuwait	704.0	18.9	27.7	18.2	Q817	100
Kyrgyz Republic	1567.0	-46.2	1.6	82.3	Q813	101
Lao PDR	8987.0	101.7	3.6	66.7	Q819	102
Latvia	1437.0	-53.4	12.2	75.4	Q211	103
Lebanon	462.0	24.5	10.6	65.2	Q822	104
Lesotho	428.0	-24.1	9.7	81.5	Q1013	105
Liberia	337.0	60.6	22.5	63.5	Q1014	106
Libya	1466.0	8.7	12.0	50.6	Q1016	107
Lithuania	4739.0	-18.0	2.5	44.1	Q37	108
Luxembourg	473.0	19.1	17.4	62.7	Q32	109
North Macedonia	526.0	-36.1	8.8	69.8	Q221	110
Madagascar	8198.0	-9.8	4.0	87.3	Q1019	111
Malawi	3127.0	12.0	4.9	85.4	Q1020	112
Malaysia	15310.0	9.5	6.4	68.8	Q833	113
Maldives	27.0	366.1	12.5	8.3	Q826	114
Mali	10892.0	88.6	1.3	82.4	Q912	115
Malta	61.0	-17.6	8.4	47.8	Q233	116
Marshall Islands	0.0	22.8	0.0	0.0	Q709	117
Mauritania	2348.0	57.5	2.8	92.3	Q1025	118
Mauritius	170.0	5.6	8.9	60.4	Q1027	119
Mexico	43436.0	-2.9	8.5	74.1	Q96	120
Micronesia, Fed. Sts.	11.0	71.7	0.2	98.2	Q702	121
Moldova	686.0	-60.9	8.2	71.6	Q217	122
Mongolia	3548.0	-31.1	3.1	93.5	Q711	123
Morocco	6007.0	5.4	8.6	78.5	Q1028	124
Mozambique	2261.0	-78.7	15.2	52.1	Q1029	125
Myanmar	26783.0	-39.6	3.4	53.4	Q836	126
Namibia	3042.0	19.4	4.2	93.7	Q1030	127
Nepal	4598.0	28.0	13.3	76.4	Q837	128
Netherlands	8924.0	-50.2	8.1	60.5	Q55	129
New Caledonia	98.0	-5.9	5.7	75.9	Q33788	130
New Zealand	11880.0	13.0	2.3	95.1	Q664	131
Nicaragua	3491.0	12.8	3.2	87.4	Q811	132
Niger	2195.0	20.0	10.4	78.6	Q1032	133
Nigeria	36185.0	85.7	5.2	80.4	Q1033	134
Northern Mariana Islands	0.0	-62.1	0.0	0.0	Q16644	135
Norway	3305.0	-40.1	8.0	47.0	Q20	136
Oman	1146.0	195.3	13.3	58.5	Q842	137
Pakistan	30651.0	66.2	12.6	75.3	Q843	138
Palau	0.0	9.9	0.0	0.0	Q695	139
Panama	1408.0	37.6	5.4	78.9	Q804	140
Papua New Guinea	1234.0	-36.0	9.4	19.6	Q691	141
Paraguay	9363.0	4.4	2.5	87.5	Q733	142
Peru	8478.0	51.1	3.0	84.6	Q419	143
Philippines	12762.0	29.1	6.1	76.4	Q928	144
Poland	26722.0	-8.6	13.7	59.4	Q36	145
Portugal	4011.0	-18.9	11.0	55.0	Q45	146
Puerto Rico	220.0	-33.2	0.1	96.0	Q1183	147
Qatar	339.0	-74.7	28.1	19.6	Q846	148
Romania	8218.0	-62.9	5.4	59.7	Q218	149
Russian Federation	65194.0	-59.4	11.5	49.6	Q159	150
Rwanda	1704.0	137.5	10.1	79.7	Q1037	151
Samoa	40.0	17.1	6.4	82.7	Q683	152
Sao Tome and Principe	10.0	56.3	14.3	50.8	Q1039	153
Saudi Arabia	6517.0	1.8	14.9	45.4	Q851	154
Senegal	6562.0	121.1	2.5	87.9	Q1041	155
Serbia	7445.0	-100.0	0.0	0.0	Q403	156
Seychelles	23.0	72.5	21.6	22.4	Q1042	157
Sierra Leone	1605.0	34.7	3.3	79.9	Q1044	158
Singapore	1909.0	111.2	4.7	1.8	Q334	159
Slovak Republic	2778.0	-46.9	12.2	37.4	Q214	160
Slovenia	1166.0	-8.1	12.1	72.3	Q215	161
Solomon Islands	2656.0	-27.6	0.2	99.3	Q685	162
Somalia	4923.0	22.9	5.1	90.8	Q1045	163
South Africa	21149.0	-7.6	11.9	63.8	Q258	164
Spain	20873.0	-20.3	11.1	65.5	Q29	165
Sri Lanka	2174.0	23.6	13.1	64.5	Q854	166
St. Kitts and Nevis	15.0	90.2	8.8	63.6	Q763	167
St. Lucia	35.0	13.5	10.5	48.7	Q760	168
St. Vincent and the Grenadines	18.0	3.1	12.6	47.9	Q757	169
Sudan	84959.0	136.1	0.7	90.7	Q1049	170
Suriname	273.0	-39.5	3.5	52.2	Q730	171
Eswatini	569.0	4.7	4.3	91.0	Q1050	172
Sweden	5222.0	-25.4	19.0	59.8	Q34	173
Switzerland	2385.0	-17.1	15.8	58.0	Q39	174
Syrian Arab Republic	6001.0	41.9	4.0	80.5	Q858	175
Tajikistan	1848.0	22.9	1.3	87.7	Q863	176
Tanzania	13206.0	-37.5	5.1	82.6	Q924	177
Thailand	30833.0	67.5	13.5	69.8	Q869	178
Timor-Leste	226.0	102.2	1.1	88.0	Q574	179
Togo	3049.0	39.9	3.8	66.7	Q945	180
Tonga	22.0	14.8	3.3	95.8	Q678	181
Trinidad and Tobago	281.0	-51.5	12.1	50.4	Q754	182
Tunisia	2963.0	27.4	8.6	68.0	Q948	183
Turkey	35612.0	24.6	10.5	69.9	Q43	184
Turkmenistan	4924.0	115.4	1.8	75.8	Q874	185
Turks and Caicos Islands	1.0	648.2	60.7	0.0	Q18221	186
Tuvalu	1.0	44.9	0.0	98.5	Q672	187
Uganda	14932.0	86.7	4.6	86.1	Q1036	188
Ukraine	22549.0	-57.8	5.7	41.7	Q212	189
United Arab Emirates	2413.0	129.2	14.9	35.9	Q878	190
United Kingdom	25335.0	-55.4	8.9	60.9	Q145	191
United States	288878.0	-12.9	21.7	57.6	Q30	192
Uruguay	8105.0	33.9	1.8	96.0	Q77	193
Uzbekistan	13192.0	17.9	3.7	85.5	Q265	194
Vanuatu	109.0	13.9	1.0	95.7	Q686	195
Venezuela, RB	16136.0	28.7	4.3	72.4	Q717	196
Vietnam	34494.0	197.0	6.7	83.8	Q881	197
Virgin Islands (U.S.)	13.0	37.2	0.0	93.1	Q11703	198
Yemen, Rep.	3672.0	77.4	13.7	71.0	Q805	199
Zambia	8395.0	-76.0	2.7	65.6	Q953	200
Zimbabwe	4271.0	-38.1	5.3	89.7	Q954	201
