Country	Measles	DTP3	ID	id_row
Afghanistan	64.0	66.0	Q889	0
Albania	95.0	99.0	Q222	1
Algeria	80.0	91.0	Q262	2
Andorra	99.0	99.0	Q228	3
Angola	51.0	57.0	Q916	4
Antigua and Barbuda	93.0	95.0	Q781	5
Argentina	94.0	86.0	Q414	6
Armenia	95.0	92.0	Q399	7
Australia	95.0	95.0	Q408	8
Austria	94.0	85.0	Q40	9
Azerbaijan	98.0	94.0	Q227	10
Bahamas, The	85.0	86.0	Q778	11
Bahrain	99.0	99.0	Q398	12
Bangladesh	97.0	98.0	Q902	13
Barbados	92.0	90.0	Q244	14
Belarus	98.0	98.0	Q184	15
Belgium	96.0	98.0	Q31	16
Belize	96.0	98.0	Q242	17
Benin	71.0	76.0	Q962	18
Bhutan	97.0	97.0	Q917	19
Bolivia	79.0	75.0	Q750	20
Bosnia and Herzegovina	68.0	73.0	Q225	21
Botswana	97.0	95.0	Q963	22
Brazil	91.0	73.0	Q155	23
Brunei Darussalam	97.0	99.0	Q921	24
Bulgaria	93.0	92.0	Q219	25
Burkina Faso	88.0	91.0	Q965	26
Burundi	92.0	93.0	Q967	27
Cabo Verde	98.0	96.0	Q1011	28
Cambodia	84.0	92.0	Q424	29
Cameroon	60.0	67.0	Q1009	30
Canada	90.0	91.0	Q16	31
Central African Republic	49.0	47.0	Q929	32
Chad	41.0	50.0	Q657	33
Chile	95.0	96.0	Q298	34
China	99.0	99.0	Q148	35
Colombia	95.0	92.0	Q739	36
Comoros	90.0	91.0	Q970	37
Congo, Dem. Rep.	57.0	57.0	Q974	38
Congo, Rep.	73.0	79.0	Q971	39
Costa Rica	95.0	95.0	Q800	40
Cote d'Ivoire	76.0	84.0	Q1008	41
Croatia	93.0	94.0	Q224	42
Cuba	99.0	99.0	Q241	43
Cyprus	86.0	96.0	Q229	44
Czech Republic	92.0	97.0	Q213	45
Denmark	96.0	97.0	Q35	46
Djibouti	83.0	85.0	Q977	47
Dominica	92.0	99.0	Q784	48
Dominican Republic	96.0	89.0	Q786	49
Ecuador	83.0	85.0	Q736	50
Egypt, Arab Rep.	95.0	95.0	Q79	51
El Salvador	82.0	81.0	Q792	52
Equatorial Guinea	53.0	53.0	Q983	53
Eritrea	99.0	95.0	Q986	54
Estonia	88.0	91.0	Q191	55
Eswatini	81.0	90.0	Q1050	56
Ethiopia	58.0	69.0	Q115	57
Fiji	96.0	99.0	Q712	58
Finland	96.0	91.0	Q33	59
France	90.0	96.0	Q142	60
Gabon	62.0	70.0	Q1000	61
Gambia, The	85.0	88.0	Q1005	62
Georgia	99.0	94.0	Q230	63
Germany	97.0	93.0	Q183	64
Ghana	92.0	97.0	Q117	65
Greece	97.0	99.0	Q41	66
Grenada	94.0	92.0	Q769	67
Guatemala	90.0	85.0	Q774	68
Guinea	47.0	47.0	Q1006	69
Guinea-Bissau	86.0	84.0	Q1007	70
Guyana	98.0	99.0	Q734	71
Haiti	65.0	51.0	Q790	72
Honduras	87.0	87.0	Q783	73
Hungary	99.0	99.0	Q28	74
