Country	percapita	ID	id_row
Afghanistan	0.3	Q889	0
Albania	1.9	Q222	1
Algeria	3.7	Q262	2
Andorra	5.8	Q228	3
Angola	1.7	Q916	4
Antigua and Barbuda	5.7	Q781	5
Argentina	4.6	Q414	6
Armenia	1.9	Q399	7
Aruba	8.4	Q21203	8
Australia	15.4	Q408	9
Austria	6.9	Q40	10
Azerbaijan	3.9	Q227	11
Bahamas, The	6.3	Q778	12
Bahrain	23.5	Q398	13
Bangladesh	0.5	Q902	14
Barbados	4.4	Q244	15
Belarus	6.6	Q184	16
Belgium	8.3	Q31	17
Belize	1.4	Q242	18
Benin	0.5	Q962	19
Bermuda	10.0	Q23635	20
Bhutan	1.4	Q917	21
Bolivia	1.9	Q750	22
Bosnia and Herzegovina	5.6	Q225	23
Botswana	3.3	Q963	24
Brazil	2.6	Q155	25
Brunei Darussalam	22.1	Q921	26
Bulgaria	5.9	Q219	27
Burkina Faso	0.2	Q965	28
Burundi	0.0	Q967	29
Cabo Verde	0.9	Q1011	30
Cambodia	0.4	Q424	31
Cameroon	0.3	Q1009	32
Canada	15.3	Q16	33
Cayman Islands	9.0	Q5785	34
Central African Republic	0.1	Q929	35
Chad	0.1	Q657	36
Chile	4.5	Q298	37
China	7.5	Q148	38
Hong Kong SAR, China	6.3	Q8646	39
Macao SAR, China	2.7	Q14773	40
Colombia	1.8	Q739	41
Comoros	0.2	Q970	42
Congo, Dem. Rep.	0.1	Q974	43
Congo, Rep.	0.7	Q971	44
Costa Rica	1.6	Q800	45
Cote d'Ivoire	0.5	Q1008	46
Croatia	4.0	Q224	47
Cuba	2.4	Q241	48
Curacao	37.7	Q25279	49
Cyprus	5.3	Q229	50
Czech Republic	9.2	Q213	51
Denmark	5.9	Q35	52
Djibouti	0.7	Q977	53
Dominica	2.5	Q784	54
Dominican Republic	2.2	Q786	55
Ecuador	2.9	Q736	56
Egypt, Arab Rep.	2.5	Q79	57
El Salvador	1.0	Q792	58
Equatorial Guinea	6.5	Q983	59
Eritrea	0.2	Q986	60
Estonia	13.8	Q191	61
Eswatini	0.8	Q1050	62
Ethiopia	0.1	Q115	63
Faroe Islands	12.5	Q4628	64
Fiji	1.9	Q712	65
Finland	8.6	Q33	66
France	4.6	Q142	67
French Polynesia	2.7	Q30971	68
Gabon	2.8	Q1000	69
Gambia, The	0.3	Q1005	70
Georgia	2.4	Q230	71
Germany	8.9	Q183	72
Ghana	0.6	Q117	73
Greece	6.2	Q41	74
Greenland	9.0	Q223	75
Grenada	2.2	Q769	76
Guatemala	0.9	Q774	77
Guinea	0.2	Q1006	78
Guinea-Bissau	0.2	Q1007	79
Guyana	2.6	Q734	80
Haiti	0.3	Q790	81
Honduras	1.1	Q783	82
Hungary	4.2	Q28	83
Iceland	6.1	Q189	84
India	1.7	Q668	85
Indonesia	1.5	Q252	86
Iran, Islamic Rep.	8.4	Q794	87
Iraq	4.8	Q796	88
Ireland	7.3	Q27	89
Israel	7.7	Q801	90
Italy	5.3	Q38	91
Jamaica	2.5	Q766	92
Japan	9.5	Q17	93
Jordan	3.0	Q810	94
Kazakhstan	14.4	Q232	95
Kenya	0.3	Q114	96
Kiribati	0.5	Q710	97
Korea, Dem. People’s Rep.	1.3	Q423	98
Korea, Rep.	11.6	Q884	99
Kosovo	4.0	Q1246	100
Kuwait	23.9	Q817	101
Kyrgyz Republic	1.8	Q813	102
Lao PDR	0.7	Q819	103
Latvia	3.5	Q211	104
Lebanon	3.8	Q822	105
