Country	SummerGames	WinterGames	CombinedTotal	ID	id_row
Afghanistan	2.0	0.0	2.0	Q889	0
Algeria	17.0	0.0	17.0	Q262	1
Argentina	74.0	0.0	74.0	Q414	2
Armenia	14.0	0.0	14.0	Q399	3
Australia	497.0	15.0	512.0	Q408	4
Austria	87.0	232.0	319.0	Q40	5
Azerbaijan	42.0	0.0	42.0	Q227	6
Bahamas	14.0	0.0	14.0	Q778	7
Bahrain	3.0	0.0	3.0	Q398	8
Barbados	1.0	0.0	1.0	Q244	9
Belarus	78.0	18.0	96.0	Q184	10
Belgium	148.0	6.0	154.0	Q31	11
Bermuda	1.0	0.0	1.0	Q23635	12
Botswana	1.0	0.0	1.0	Q963	13
Brazil	129.0	0.0	129.0	Q155	14
Bulgaria	218.0	6.0	224.0	Q219	15
Burundi	2.0	0.0	2.0	Q967	16
Cameroon	6.0	0.0	6.0	Q1009	17
Canada	302.0	199.0	501.0	Q16	18
Chile	13.0	0.0	13.0	Q298	19
China	546.0	62.0	608.0	Q148	20
Colombia	28.0	0.0	28.0	Q739	21
Costa Rica	4.0	0.0	4.0	Q800	22
Ivory Coast	3.0	0.0	3.0	Q1008	23
Croatia	33.0	11.0	44.0	Q224	24
Cuba	226.0	0.0	226.0	Q241	25
Cyprus	1.0	0.0	1.0	Q229	26
Czech Republic	56.0	31.0	87.0	Q213	27
Denmark	194.0	1.0	195.0	Q35	28
Djibouti	1.0	0.0	1.0	Q977	29
Dominican Republic	7.0	0.0	7.0	Q786	30
Ecuador	2.0	0.0	2.0	Q736	31
Eritrea	1.0	0.0	1.0	Q986	32
Estonia	34.0	7.0	41.0	Q191	33
Ethiopia	54.0	0.0	54.0	Q115	34
Fiji	1.0	0.0	1.0	Q712	35
Finland	303.0	167.0	470.0	Q33	36
France	716.0	124.0	840.0	Q142	37
Gabon	1.0	0.0	1.0	Q1000	38
Georgia	32.0	0.0	32.0	Q230	39
Germany	615.0	240.0	855.0	Q183	40
Ghana	4.0	0.0	4.0	Q117	41
Great Britain	851.0	32.0	883.0	Q145	42
Greece	116.0	0.0	116.0	Q41	43
Grenada	2.0	0.0	2.0	Q769	44
Guatemala	1.0	0.0	1.0	Q774	45
Guyana	1.0	0.0	1.0	Q734	46
Guyana	2.0	0.0	2.0	Q734	47
Hong Kong	3.0	0.0	3.0	Q8646	48
Hungary	491.0	7.0	498.0	Q28	49
Iceland	4.0	0.0	4.0	Q189	50
India	28.0	0.0	28.0	Q668	51
Indonesia	32.0	0.0	32.0	Q252	52
Iran	69.0	0.0	69.0	Q794	53
Iraq	1.0	0.0	1.0	Q796	54
Ireland	31.0	0.0	31.0	Q27	55
Israel	9.0	0.0	9.0	Q801	56
Italy	577.0	124.0	701.0	Q38	57
Jamaica	78.0	0.0	78.0	Q766	58
Japan	439.0	58.0	497.0	Q17	59
Jordan	1.0	0.0	1.0	Q810	60
