Country	Receipts	Payments	ID	id_row
Malaysia	267.0	2006.0	Q833	79
Malta	618.0	847.0	Q233	80
Mauritania	0.0	1.0	Q1025	81
Mauritius	1.0	14.0	Q1027	82
Mexico	7.0	302.0	Q96	83
Moldova	3.0	26.0	Q217	84
Mongolia	1.0	16.0	Q711	85
Montenegro	0.0	6.0	Q236	86
Morocco	5.0	167.0	Q1028	87
Myanmar	3.0	47.0	Q836	88
Namibia	1.0	1.0	Q1030	89
Netherlands	35023.0	41937.0	Q55	90
New Caledonia	0.0	2.0	Q33788	91
New Zealand	540.0	913.0	Q664	92
Niger	0.0	0.0	Q1032	93
Norway	515.0	769.0	Q20	94
Pakistan	7.0	189.0	Q843	95
Panama	22.0	39.0	Q804	96
Peru	26.0	349.0	Q419	97
Philippines	44.0	917.0	Q928	98
Poland	614.0	3639.0	Q36	99
Portugal	121.0	884.0	Q45	100
Romania	101.0	962.0	Q218	101
Russian Federation	876.0	6288.0	Q159	102
Samoa	1.0	1.0	Q683	103
Senegal	5.0	9.0	Q1041	104
Serbia	58.0	290.0	Q403	105
Seychelles	1.0	3.0	Q1042	106
Sierra Leone	6.0	1.0	Q1044	107
Singapore	8366.0	16812.0	Q334	108
Sint Maarten (Dutch part)	0.0	1.0	Q26273	109
Slovak Republic	56.0	749.0	Q214	110
Slovenia	73.0	268.0	Q215	111
Solomon Islands	1.0	7.0	Q685	112
South Africa	121.0	1817.0	Q258	113
South Sudan	24.0	1.0	Q958	114
Spain	2527.0	6645.0	Q29	115
Suriname	0.0	9.0	Q730	116
Eswatini	1.0	5.0	Q1050	117
Sweden	7665.0	4889.0	Q34	118
Switzerland	25850.0	13645.0	Q39	119
Tajikistan	0.0	0.0	Q863	120
Tanzania	0.0	6.0	Q924	121
Thailand	163.0	5274.0	Q869	122
Tonga	0.0	0.0	Q678	123
Trinidad and Tobago	1.0	69.0	Q754	124
Tunisia	24.0	18.0	Q948	125
Turkey	98.0	1879.0	Q43	126
Uganda	10.0	11.0	Q1036	127
Ukraine	92.0	592.0	Q212	128
United Kingdom	26253.0	14480.0	Q145	129
United States	128748.0	56117.0	Q30	130
Uruguay	45.0	124.0	Q77	131
Uzbekistan	0.0	50.0	Q265	132
Vanuatu	1.0	1.0	Q686	133
West Bank and Gaza	0.0	1.0	Q407199	134
Yemen, Rep.	3.0	205.0	Q805	135
Zimbabwe	2.0	4.0	Q954	136
