Country	Male	Female	ID	id_row
Seychelles	68.5	77.4	Q1042	156
Sierra Leone	53.5	55.1	Q1044	157
Singapore	81.0	85.4	Q334	158
Sint Maarten (Dutch part)	74.0	82.8	Q26273	159
Slovak Republic	73.9	80.8	Q214	160
Slovenia	78.5	84.4	Q215	161
Solomon Islands	71.2	74.7	Q685	162
Somalia	55.4	58.8	Q1045	163
South Africa	60.5	67.4	Q258	164
South Sudan	56.1	59.1	Q958	165
Spain	80.7	86.3	Q29	166
Sri Lanka	73.4	80.1	Q854	167
St. Lucia	74.7	77.4	Q760	168
St. Martin (French part)	76.7	83.2	Q126125	169
St. Vincent and the Grenadines	70.2	75.0	Q757	170
Sudan	63.3	66.9	Q1049	171
Suriname	68.4	74.9	Q730	172
Sweden	80.9	84.3	Q34	173
Switzerland	81.9	85.7	Q39	174
Syrian Arab Republic	66.6	77.8	Q858	175
Tajikistan	68.7	73.2	Q863	176
Tanzania	63.2	66.8	Q924	177
Thailand	73.2	80.7	Q869	178
Timor-Leste	67.3	71.4	Q574	179
Togo	59.9	61.6	Q945	180
Tonga	68.9	72.8	Q678	181
Trinidad and Tobago	70.8	76.1	Q754	182
Tunisia	74.5	78.5	Q948	183
Turkey	74.4	80.3	Q43	184
Turkmenistan	64.6	71.6	Q874	185
Uganda	60.7	65.2	Q1036	186
Ukraine	66.7	76.7	Q212	187
United Arab Emirates	77.1	79.2	Q878	188
United Kingdom	79.5	83.1	Q145	189
United States	76.1	81.1	Q30	190
Uruguay	74.0	81.4	Q77	191
Uzbekistan	69.4	73.7	Q265	192
Vanuatu	68.8	72.0	Q686	193
Venezuela, RB	68.4	76.1	Q717	194
Vietnam	71.2	79.4	Q881	195
Virgin Islands (U.S.)	76.3	83.0	Q11703	196
West Bank and Gaza	72.3	75.6	Q407199	197
Yemen, Rep.	64.4	67.8	Q805	198
Zambia	60.5	66.4	Q953	199
Zimbabwe	59.5	62.6	Q954	200
