Country	Medianwealth	Meanwealth	Adultpopulation	ID	id_row
Switzerland	227891.0	564653.0	6866.0	Q39	0
Australia	181361.0	386058.0	18655.0	Q408	1
Iceland	165961.0	380868.0	250.0	Q189	2
Hong Kong	146887.0	489258.0	6267.0	Q8646	3
Luxembourg	139789.0	358003.0	461.0	Q32	4
Belgium	117093.0	246135.0	8913.0	Q31	5
New Zealand	116433.0	304124.0	3525.0	Q664	6
Japan	110408.0	238104.0	104963.0	Q17	7
Canada	107004.0	294255.0	29136.0	Q16	8
Ireland	104842.0	27231.0	3491.0	Q27	9
France	101942.0	276121.0	49722.0	Q142	10
United Kingdom	97452.0	280049.0	51209.0	Q145	11
Singapore	96967.0	297873.0	4637.0	Q334	12
Spain	9536.0	207531.0	3745.0	Q29	13
Austria	9407.0	274919.0	7092.0	Q40	14
Italy	91889.0	234139.0	48509.0	Q38	15
Malta	76016.0	143566.0	349.0	Q233	16
South Korea	72198.0	175015.0	41721.0	Q884	17
Norway	70627.0	267348.0	41.0	Q20	18
Taiwan	70191.0	210525.0	19296.0	Q865	19
Qatar	69671.0	147745.0	2223.0	Q846	20
United States	65904.0	432365.0	24514.0	Q30	21
Denmark	58784.0	284022.0	4475.0	Q35	22
Israel	58066.0	196568.0	5499.0	Q801	23
Finland	55532.0	183124.0	4341.0	Q33	24
Slovenia	5038.0	122508.0	1675.0	Q215	25
Kuwait	46218.0	131269.0	3086.0	Q817	26
Portugal	44025.0	131088.0	8373.0	Q45	27
Sweden	41582.0	26526.0	7723.0	Q34	28
Slovakia	40432.0	66171.0	434.0	Q214	29
Greece	40.0	9611.0	9021.0	Q41	30
United Arab Emirates	35315.0	11706.0	7874.0	Q878	31
Germany	35313.0	216654.0	67668.0	Q183	32
Netherlands	31057.0	279077.0	13326.0	Q55	33
Bahrain	30946.0	87108.0	1219.0	Q398	34
Croatia	29183.0	62804.0	3329.0	Q224	35
Cyprus	28803.0	116207.0	918.0	Q229	36
Estonia	24915.0	78458.0	1028.0	Q191	37
Montenegro	24242.0	53484.0	477.0	Q236	38
Poland	226.0	57873.0	30598.0	Q36	39
Seychelles	22572.0	57835.0	68.0	Q1042	40
Lithuania	22261.0	50254.0	2296.0	Q37	41
Aruba	2175.0	58033.0	80.0	Q21203	42
