Country	Exports2010	Exports2019	ID	id_row
Afghanistan	81.0	65.0	Q889	0
Albania	26.0	30.0	Q222	1
Algeria	63.0	60.0	Q262	2
Angola	11.0	9.0	Q916	3
Antigua and Barbuda	7.0	6.0	Q781	4
Argentina	43.0	48.0	Q414	5
Armenia	18.0	21.0	Q399	6
Aruba	15.0	6.0	Q21203	7
Australia	22.0	21.0	Q408	8
Austria	31.0	42.0	Q40	9
Azerbaijan	45.0	21.0	Q227	10
Bahamas, The	8.0	7.0	Q778	11
Bahrain	28.0	19.0	Q398	12
Bangladesh	75.0	63.0	Q902	13
Barbados	15.0	19.0	Q244	14
Belarus	28.0	48.0	Q184	15
Belgium	52.0	62.0	Q31	16
Belize	10.0	12.0	Q242	17
Benin	26.0	2.0	Q962	18
Bermuda	45.0	39.0	Q23635	19
Bhutan	1.0	1.0	Q917	20
Bolivia	35.0	12.0	Q750	21
Bosnia and Herzegovina	48.0	28.0	Q225	22
Botswana	21.0	30.0	Q963	23
Brazil	58.0	60.0	Q155	24
Brunei Darussalam	21.0	17.0	Q921	25
Bulgaria	27.0	37.0	Q219	26
Burkina Faso	51.0	41.0	Q965	27
Burundi	44.0	68.0	Q967	28
Cabo Verde	6.0	7.0	Q1011	29
Cambodia	9.0	4.0	Q424	30
Cameroon	45.0	28.0	Q1009	31
Canada	53.0	48.0	Q16	32
Chile	21.0	32.0	Q298	33
China	29.0	63.0	Q148	34
Hong Kong SAR, China	18.0	19.0	Q8646	35
Macao SAR, China	2.0	2.0	Q14773	36
Colombia	20.0	22.0	Q739	37
Comoros	28.0	20.0	Q970	38
Congo, Dem. Rep.	50.0	9.0	Q974	39
Congo, Rep.	64.0	22.0	Q971	40
Costa Rica	47.0	52.0	Q800	41
Cote d'Ivoire	48.0	28.0	Q1008	42
Croatia	20.0	21.0	Q224	43
Curacao	53.0	52.0	Q25279	44
Cyprus	10.0	25.0	Q229	45
Czech Republic	40.0	50.0	Q213	46
Denmark	26.0	34.0	Q35	47
Djibouti	11.0	14.0	Q977	48
Dominica	23.0	16.0	Q784	49
Dominican Republic	9.0	8.0	Q786	50
Ecuador	17.0	6.0	Q736	51
Egypt, Arab Rep.	12.0	9.0	Q79	52
El Salvador	50.0	39.0	Q792	53
Estonia	34.0	48.0	Q191	54
Eswatini	55.0	70.0	Q1050	55
Ethiopia	11.0	5.0	Q115	56
Fiji	4.0	4.0	Q712	57
Finland	67.0	74.0	Q33	58
France	50.0	53.0	Q142	59
French Polynesia	14.0	6.0	Q30971	60
Gambia, The	14.0	6.0	Q1005	61
Georgia	9.0	4.0	Q230	62
Germany	46.0	56.0	Q183	63
Ghana	26.0	81.0	Q117	64
Greece	11.0	10.0	Q41	65
Grenada	16.0	5.0	Q769	66
Guatemala	39.0	48.0	Q774	67
Guinea	74.0	76.0	Q1006	68
