Country	HDI2018data2019report	AverageannualHDIgrowth20102018	ID	id_row
Mauritania	527.0	0.91	Q1025	159
Madagascar	521.0	0.42	Q1019	160
Benin	520.0	1.19	Q962	161
Lesotho	518.0	1.46	Q1013	162
Ivory Coast	516.0	1.61	Q1008	163
Senegal	514.0	1.17	Q1041	164
Togo	513.0	1.16	Q945	165
Sudan	507.0	0.93	Q1049	166
Haiti	503.0	0.92	Q790	167
Afghanistan	496.0	0.83	Q889	168
Djibouti	495.0	1.32	Q977	169
Malawi	485.0	1.32	Q1020	170
Ethiopia	470.0	1.66	Q115	171
The Gambia	466.0	0.79	Q1005	172
Guinea	466.0	1.67	Q1006	173
Liberia	465.0	0.67	Q1014	174
Yemen	463.0	0.94	Q805	175
Guinea-Bissau	461.0	1.01	Q1007	176
Congo, Democratic Republic of the	459.0	1.24	Q974	177
Mozambique	446.0	1.51	Q1029	178
Sierra Leone	438.0	1.45	Q1044	179
Burkina Faso	434.0	1.84	Q965	180
Eritrea	434.0	0.02	Q986	181
Mali	427.0	0.72	Q912	182
Burundi	423.0	0.65	Q967	183
South Sudan	413.0	0.35	Q958	184
Chad	401.0	0.89	Q657	185
Central African Republic	381.0	0.89	Q929	186
Niger	377.0	2.09	Q1032	187
