Country	Visitors2012	Visitors2018	ID	id_row
Albania	3156.0	5340.0	Q222	0
Algeria	2634.0	2657.0	Q262	1
American Samoa	23.0	20.0	Q16641	2
Andorra	2238.0	3042.0	Q228	3
Angola	528.0	218.0	Q916	4
Antigua and Barbuda	247.0	269.0	Q781	5
Argentina	6497.0	6942.0	Q414	6
Armenia	963.0	1652.0	Q399	7
Aruba	904.0	1082.0	Q21203	8
Australia	6032.0	9246.0	Q408	9
Austria	24151.0	30816.0	Q40	10
Azerbaijan	1986.0	2633.0	Q227	11
Bahamas, The	1422.0	1633.0	Q778	12
Bahrain	8062.0	12045.0	Q398	13
Barbados	536.0	680.0	Q244	14
Belarus	6130.0	11502.0	Q184	15
Belgium	7560.0	9119.0	Q31	16
Belize	277.0	489.0	Q242	17
Benin	220.0	295.0	Q962	18
Bermuda	232.0	282.0	Q23635	19
Bhutan	105.0	274.0	Q917	20
Bolivia	798.0	1142.0	Q750	21
Bosnia and Herzegovina	439.0	1053.0	Q225	22
Brazil	5677.0	6621.0	Q155	23
Brunei Darussalam	209.0	278.0	Q921	24
Bulgaria	6541.0	9273.0	Q219	25
Burkina Faso	237.0	144.0	Q965	26
Cabo Verde	482.0	710.0	Q1011	27
Cambodia	3584.0	6201.0	Q424	28
Canada	16344.0	21134.0	Q16	29
Cayman Islands	322.0	463.0	Q5785	30
Chile	3554.0	5723.0	Q298	31
China	57725.0	62900.0	Q148	32
Hong Kong SAR, China	23770.0	29263.0	Q8646	33
Macao SAR, China	13577.0	18493.0	Q14773	34
Colombia	2179.0	3904.0	Q739	35
Comoros	23.0	36.0	Q970	36
Congo, Rep	256.0	156.0	Q971	37
Costa Rica	2343.0	3017.0	Q800	38
Cote d'Ivoire	289.0	1965.0	Q1008	39
Croatia	10369.0	16645.0	Q224	40
Cuba	2823.0	4684.0	Q241	41
Curacao	421.0	432.0	Q25279	42
Cyprus	2465.0	3939.0	Q229	43
Czech Republic	7647.0	10611.0	Q213	44
Denmark	8443.0	12749.0	Q35	45
Dominica	79.0	63.0	Q784	46
Dominican Republic	4563.0	6569.0	Q786	47
Ecuador	1272.0	2535.0	Q736	48
Egypt, Arab Rep	11196.0	11196.0	Q79	49
El Salvador	1255.0	1677.0	Q792	50
Estonia	2957.0	3234.0	Q191	51
Ethiopia	597.0	849.0	Q115	52
Fiji	661.0	870.0	Q712	53
Finland	2778.0	3224.0	Q33	54
France	81980.0	89322.0	Q142	55
French Polynesia	169.0	216.0	Q30971	56
Gambia, The	157.0	552.0	Q1005	57
Georgia	2460.0	4757.0	Q230	58
Germany	30411.0	38881.0	Q183	59
Greece	15518.0	30123.0	Q41	60
Grenada	125.0	185.0	Q769	61
Guam	1308.0	1549.0	Q16635	62
Guatemala	1200.0	1781.0	Q774	63
Guyana	177.0	287.0	Q734	64
Haiti	349.0	447.0	Q790	65
Hungary	10353.0	17552.0	Q28	66
Iceland	673.0	2344.0	Q189	67
India	6578.0	17423.0	Q668	68
Indonesia	8044.0	15810.0	Q252	69
Iran, Islamic Rep	3834.0	7295.0	Q794	70
Ireland	7550.0	10926.0	Q27	71
Israel	2886.0	4121.0	Q801	72
Italy	46360.0	61567.0	Q38	73
Jamaica	1986.0	2473.0	Q766	74
Japan	8358.0	31192.0	Q17	75
Jordan	4162.0	4150.0	Q810	76
Kazakhstan	6163.0	8789.0	Q232	77
Kiribati	5.0	7.0	Q710	78
Korea, Rep	11140.0	15347.0	Q884	79
Kuwait	5729.0	8508.0	Q817	80
Kyrgyz Republic	348.0	423.0	Q813	81
Lao PDR	2291.0	3770.0	Q819	82
Latvia	1435.0	1946.0	Q211	83
Lebanon	1366.0	1964.0	Q822	84
Lesotho	423.0	1173.0	Q1013	85
Liechtenstein	62.0	85.0	Q347	86
Lithuania	1900.0	2825.0	Q37	87
Luxembourg	950.0	1018.0	Q32	88
North Macedonia	351.0	707.0	Q221	89
Madagascar	256.0	291.0	Q1019	90
Malawi	770.0	871.0	Q1020	91
Malaysia	25033.0	25832.0	Q833	92
Maldives	958.0	1484.0	Q826	93
Mali	32.0	14.0	Q912	94
Malta	1443.0	2599.0	Q233	95
Marshall Islands	5.0	7.0	Q709	96
Mauritius	965.0	1399.0	Q1027	97
Mexico	23403.0	41313.0	Q96	98
Micronesia, Fed Sts	38.0	19.0	Q702	99
Moldova	89.0	160.0	Q217	100
Monaco	292.0	347.0	Q235	101
Mongolia	476.0	529.0	Q711	102
Montenegro	1264.0	2077.0	Q236	103
Morocco	9375.0	12289.0	Q1028	104
Mozambique	2113.0	2743.0	Q1029	105
Myanmar	1059.0	3551.0	Q836	106
Nepal	803.0	1173.0	Q837	107
Netherlands	11680.0	18780.0	Q55	108
New Caledonia	112.0	120.0	Q33788	109
New Zealand	2473.0	3686.0	Q664	110
Nicaragua	1180.0	1256.0	Q811	111
Niger	94.0	157.0	Q1032	112
Northern Mariana Islands	399.0	517.0	Q16644	113
Norway	4538.0	5688.0	Q20	114
Oman	1241.0	2301.0	Q842	115
Palau	120.0	106.0	Q695	116
Panama	1606.0	1785.0	Q804	117
Papua New Guinea	168.0	140.0	Q691	118
Paraguay	579.0	1181.0	Q733	119
Peru	2846.0	4419.0	Q419	120
Philippines	4273.0	7168.0	Q928	121
Poland	14840.0	19622.0	Q36	122
Portugal	7503.0	16186.0	Q45	123
Puerto Rico	3069.0	3068.0	Q1183	124
Qatar	2324.0	1819.0	Q846	125
Romania	7937.0	11720.0	Q218	126
Russian Federation	28177.0	24551.0	Q159	127
Samoa	126.0	164.0	Q683	128
San Marino	139.0	84.0	Q238	129
Saudi Arabia	16332.0	15334.0	Q851	130
Serbia	810.0	1711.0	Q403	131
Seychelles	208.0	362.0	Q1042	132
Sierra Leone	60.0	57.0	Q1044	133
Singapore	11098.0	14673.0	Q334	134
Sint Maarten (Dutch part)	457.0	178.0	Q26273	135
Slovak Republic	1528.0	2256.0	Q214	136
Slovenia	2377.0	4425.0	Q215	137
Solomon Islands	24.0	28.0	Q685	138
South Africa	9188.0	10472.0	Q258	139
Spain	57464.0	82773.0	Q29	140
Sri Lanka	1006.0	2334.0	Q854	141
St Kitts and Nevis	104.0	125.0	Q763	142
St Lucia	307.0	395.0	Q760	143
St Vincent and the Grenadines	74.0	80.0	Q757	144
Sudan	575.0	836.0	Q1049	145
Eswatini	888.0	782.0	Q1050	146
Sweden	5146.0	7440.0	Q34	147
Switzerland	8566.0	10362.0	Q39	148
Tajikistan	244.0	1035.0	Q863	149
Tanzania	1043.0	1378.0	Q924	150
Thailand	22354.0	38178.0	Q869	151
Timor-Leste	58.0	75.0	Q574	152
Togo	235.0	573.0	Q945	153
Tonga	47.0	54.0	Q678	154
Trinidad and Tobago	455.0	375.0	Q754	155
Tunisia	6999.0	8299.0	Q948	156
Turkey	35698.0	45768.0	Q43	157
Turks and Caicos Islands	292.0	441.0	Q18221	158
Tuvalu	1.0	3.0	Q672	159
Ukraine	23013.0	14104.0	Q212	160
United Kingdom	29282.0	36316.0	Q145	161
United States	66967.0	79746.0	Q30	162
Uruguay	2695.0	3469.0	Q77	163
Uzbekistan	1895.0	5346.0	Q265	164
Vanuatu	108.0	116.0	Q686	165
Vietnam	6848.0	15498.0	Q881	166
Virgin Islands (US)	619.0	381.0	Q11703	167
West Bank and Gaza	490.0	606.0	Q407199	168
Zambia	859.0	1072.0	Q953	169
Zimbabwe	1794.0	2580.0	Q954	170
