Country	billions	percapita	ID	id_row
Afghanistan	88.6	2.33	Q889	0
Albania	40.9	14.35	Q222	1
Algeria	496.3	11.53	Q262	2
Angola	203.2	6.39	Q916	3
Antigua and Barbuda	2.1	21.5	Q781	4
Argentina	991.4	22.06	Q414	5
Armenia	42.8	14.46	Q399	6
Aruba	3.8	36.3	Q21203	7
Australia	1307.7	51.56	Q408	8
Austria	524.3	59.06	Q40	9
Azerbaijan	143.9	14.36	Q227	10
Bahamas, The	13.9	35.76	Q778	11
Bahrain	72.4	44.14	Q398	12
Bangladesh	845.4	5.19	Q902	13
Barbados	4.5	15.73	Q244	14
Belarus	183.1	19.34	Q184	15
Belgium	628.5	54.73	Q31	16
Belize	2.6	6.63	Q242	17
Benin	40.0	3.39	Q962	18
Bhutan	8.0	10.57	Q917	19
Bolivia	102.6	8.91	Q750	20
Bosnia and Herzegovina	52.0	15.77	Q225	21
Botswana	39.4	17.11	Q963	22
Brazil	3135.0	14.85	Q155	23
Brunei Darussalam	28.8	66.41	Q921	24
Bulgaria	166.6	23.88	Q219	25
Burkina Faso	45.1	2.22	Q965	26
Burundi	9.0	780.0	Q967	27
Cambodia	68.9	4.18	Q424	28
Cameroon	96.5	3.73	Q1009	29
Canada	1910.0	50.81	Q16	30
Cabo Verde	4.0	7.31	Q1011	31
Cayman Islands	2.6	41.64	Q5785	32
Central African Republic	5.0	1.06	Q929	33
Chad	25.8	1.62	Q657	34
Chile	457.6	24.14	Q298	35
China	23403.2	16.74	Q148	36
Hong Kong SAR, China	492.5	65.6	Q8646	37
Macao SAR, China	77.9	123.29	Q14773	38
Colombia	762.4	15.15	Q739	39
Comoros	2.7	3.22	Q970	40
Congo, Dem. Rep.	96.2	1.11	Q974	41
Congo, Rep.	16.5	3.06	Q971	42
Costa Rica	97.2	19.25	Q800	43
Cote d'Ivoire	136.0	5.29	Q1008	44
Croatia	120.1	29.52	Q224	45
Curacao	4.1	25.86	Q25279	46
Cyprus	35.1	39.83	Q229	47
Czech Republic	433.9	40.66	Q213	48
Denmark	357.3	61.41	Q35	49
Djibouti	5.8	5.98	Q977	50
Dominica	0.9	12.46	Q784	51
Dominican Republic	196.3	18.28	Q786	52
Ecuador	199.9	11.5	Q736	53
Egypt, Arab Rep.	1185.1	11.81	Q79	54
El Salvador	56.1	8.7	Q792	55
Equatorial Guinea	19.8	14.6	Q983	56
Estonia	50.4	38.01	Q191	57
Eswatini	9.1	7.94	Q1050	58
Ethiopia	257.8	2.3	Q115	59
Fiji	11.8	13.26	Q712	60
Finland	282.7	51.21	Q33	61
France	3379.2	50.39	Q142	62
Gabon	31.3	14.42	Q1000	63
Gambia, The	5.3	2.26	Q1005	64
Georgia	55.9	15.02	Q230	65
Germany	4795.7	57.69	Q183	66
Ghana	167.7	5.51	Q117	67
Greece	336.0	31.35	Q41	68
Grenada	1.8	16.25	Q769	69
Guatemala	146.9	8.85	Q774	70
Guinea	32.2	2.52	Q1006	71
Guinea-Bissau	4.3	2.22	Q1007	72
Guyana	7.7	9.9	Q734	73
Haiti	20.2	1.79	Q790	74
Honduras	53.7	5.51	Q783	75
Hungary	320.0	32.75	Q28	76
Iceland	22.1	61.17	Q189	77
India	9507.2	6.96	Q668	78
Indonesia	3229.6	11.93	Q252	79
Iran, Islamic Rep.	1174.8	14.56	Q794	80
Iraq	443.3	11.28	Q796	81
Ireland	336.3	68.05	Q27	82
Israel	381.5	42.14	Q801	83
Italy	2687.8	44.58	Q38	84
Jamaica	28.8	9.77	Q766	85
Japan	5654.4	44.78	Q17	86
Jordan	103.5	10.24	Q810	87
Kazakhstan	445.2	24.05	Q232	88
Kenya	232.3	4.42	Q114	89
Kiribati	0.5	4.65	Q710	90
Korea, Rep.	2245.5	43.43	Q884	91
Kosovo	21.7	12.09	Q1246	92
Kuwait	247.1	59.72	Q817	93
Kyrgyz Republic	32.7	5.07	Q813	94
Lao PDR	57.1	7.96	Q819	95
Latvia	60.8	31.77	Q211	96
Lebanon	104.6	15.26	Q822	97
Lesotho	7.0	3.29	Q1013	98
Liberia	6.5	1.32	Q1014	99
Libya	109.0	16.09	Q1016	100
Lithuania	103.2	37.01	Q37	101
Luxembourg	48.1	77.57	Q32	102
Madagascar	44.7	1.66	Q1019	103
Malawi	20.1	1.08	Q1020	104
Malaysia	916.2	28.68	Q833	105
Maldives	9.5	17.88	Q826	106
Mali	46.4	2.36	Q912	107
Malta	21.0	41.69	Q233	108
Marshall Islands	0.3	5.09	Q709	109
Mauritania	24.2	5.35	Q1025	110
Mauritius	33.4	26.41	Q1027	111
Mexico	2527.0	19.81	Q96	112
Micronesia, Fed. Sts.	0.4	3.64	Q702	113
Moldova	35.9	13.28	Q217	114
Mongolia	36.7	11.37	Q711	115
Montenegro	14.4	23.07	Q236	116
Morocco	284.4	7.68	Q1028	117
Mozambique	39.5	1.3	Q1029	118
Myanmar	278.8	5.16	Q836	119
Namibia	24.3	9.75	Q1030	120
Nauru	0.2	17.79	Q697	121
Nepal	103.0	3.6	Q837	122
Netherlands	1038.1	59.89	Q55	123
New Zealand	210.0	42.71	Q664	124
Nicaragua	35.9	5.49	Q811	125
Niger	29.2	1.25	Q1032	126
Nigeria	1039.6	5.17	Q1033	127
North Macedonia	35.6	17.11	Q221	128
Norway	372.3	69.61	Q20	129
Oman	142.2	28.59	Q842	130
Pakistan	1129.1	5.21	Q843	131
Palau	0.3	19.5	Q695	132
Panama	130.0	30.6	Q804	133
Papua New Guinea	39.2	4.47	Q691	134
Paraguay	89.7	12.73	Q733	135
Peru	414.7	12.76	Q419	136
Philippines	1102.8	10.2	Q928	137
Poland	1242.1	32.71	Q36	138
Portugal	365.6	35.6	Q45	139
Puerto Rico	77.4	24.24	Q1183	140
Qatar	266.7	94.17	Q846	141
Romania	616.6	31.86	Q218	142
Russian Federation	4147.4	28.27	Q159	143
Rwanda	28.3	2.24	Q1037	144
Samoa	1.3	6.49	Q683	145
Sao Tome and Principe	0.9	4.09	Q1039	146
Saudi Arabia	1692.9	49.4	Q851	147
Senegal	56.1	3.44	Q1041	148
Serbia	124.8	17.96	Q403	149
Seychelles	2.9	29.3	Q1042	150
Sierra Leone	13.0	1.67	Q1044	151
Singapore	524.8	92.02	Q334	152
Sint Maarten (Dutch part)	1.3	31.34	Q26273	153
Slovak Republic	183.7	33.68	Q214	154
Slovenia	83.7	40.07	Q215	155
Solomon Islands	1.6	2.35	Q685	156
South Africa	739.7	12.63	Q258	157
Spain	1991.3	42.3	Q29	158
Sri Lanka	288.4	13.23	Q854	159
St. Kitts and Nevis	1.4	25.92	Q763	160
St. Lucia	2.8	15.14	Q760	161
St. Vincent and the Grenadines	1.4	12.88	Q757	162
Sudan	170.7	3.99	Q1049	163
Suriname	8.8	15.2	Q730	164
Sweden	589.3	57.3	Q34	165
Switzerland	620.7	72.39	Q39	166
Tajikistan	38.2	4.1	Q863	167
Tanzania	152.0	2.7	Q924	168
Thailand	1289.4	18.52	Q869	169
Timor-Leste	6.1	4.73	Q574	170
Togo	13.5	1.67	Q945	171
Tonga	0.7	6.51	Q678	172
Trinidad and Tobago	37.6	26.95	Q754	173
Tunisia	126.2	10.8	Q948	174
Turkey	2287.0	27.41	Q43	175
Turkmenistan	85.2	14.56	Q874	176
Turks and Caicos Islands	1.0	26.21	Q18221	177
Tuvalu	0.1	6.17	Q672	178
Uganda	97.9	2.21	Q1036	179
Ukraine	578.0	13.75	Q212	180
