Country	lendingrateminusdepositrate	ID	id_row
Albania	5.8	Q222	0
Algeria	6.3	Q262	1
Angola	12.9	Q916	2
Antigua and Barbuda	7.0	Q781	3
Argentina	20.0	Q414	4
Armenia	3.7	Q399	5
Aruba	3.5	Q21203	6
Australia	3.5	Q408	7
Azerbaijan	7.6	Q227	8
Bahamas, The	3.7	Q778	9
Bangladesh	2.8	Q902	10
Barbados	7.9	Q244	11
Belarus	2.5	Q184	12
Belize	7.1	Q242	13
Benin	-1.4	Q962	14
Bhutan	11.8	Q917	15
Bolivia	5.2	Q750	16
Bosnia and Herzegovina	2.4	Q225	17
Botswana	4.8	Q963	18
Brazil	32.0	Q155	19
Brunei Darussalam	5.1	Q921	20
Bulgaria	4.5	Q219	21
Burkina Faso	-1.4	Q965	22
Canada	2.6	Q16	23
Cabo Verde	7.7	Q1011	24
Chile	1.5	Q298	25
China	2.9	Q148	26
Hong Kong SAR, China	5.0	Q8646	27
Macao SAR, China	5.1	Q14773	28
Colombia	7.3	Q739	29
Comoros	8.8	Q970	30
Congo, Dem. Rep.	21.2	Q974	31
Costa Rica	4.1	Q800	32
Cote d'Ivoire	-1.4	Q1008	33
Czech Republic	3.3	Q213	34
Dominica	5.8	Q784	35
Dominican Republic	7.8	Q786	36
Egypt, Arab Rep.	5.2	Q79	37
Fiji	2.4	Q712	38
Gambia, The	19.0	Q1005	39
Georgia	2.1	Q230	40
Grenada	6.2	Q769	41
Guatemala	7.7	Q774	42
Guinea-Bissau	-1.4	Q1007	43
Guyana	9.6	Q734	44
Haiti	6.0	Q790	45
Honduras	8.9	Q783	46
Hungary	1.7	Q28	47
Indonesia	3.7	Q252	48
Israel	2.9	Q801	49
Jamaica	10.9	Q766	50
Japan	0.7	Q17	51
Jordan	3.7	Q810	52
Kenya	4.8	Q114	53
Korea, Rep.	1.6	Q884	54
Kosovo	5.3	Q1246	55
Kuwait	2.9	Q817	56
Kyrgyz Republic	17.5	Q813	57
Lebanon	0.8	Q822	58
Lesotho	9.7	Q1013	59
Liberia	8.2	Q1014	60
North Macedonia	3.7	Q221	61
Madagascar	36.0	Q1019	62
Malaysia	1.9	Q833	63
Maldives	8.0	Q826	64
Mali	-1.4	Q912	65
Mauritania	11.3	Q1025	66
Mauritius	4.7	Q1027	67
Mexico	4.9	Q96	68
Micronesia, Fed. Sts.	15.3	Q702	69
Moldova	3.6	Q217	70
Mongolia	6.0	Q711	71
Mozambique	9.9	Q1029	72
Myanmar	7.8	Q836	73
Namibia	4.2	Q1030	74
New Zealand	1.5	Q664	75
Nicaragua	9.4	Q811	76
Niger	-1.4	Q1032	77
Nigeria	6.5	Q1033	78
Oman	1.7	Q842	79
Pakistan	3.1	Q843	80
Panama	5.4	Q804	81
Papua New Guinea	7.8	Q691	82
Paraguay	14.1	Q733	83
Peru	12.3	Q419	84
Philippines	3.0	Q928	85
Qatar	1.4	Q846	86
Romania	5.4	Q218	87
Russian Federation	3.3	Q159	88
Rwanda	8.9	Q1037	89
Samoa	6.2	Q683	90
San Marino	0.6	Q238	91
Sao Tome and Principe	16.1	Q1039	92
Senegal	-1.4	Q1041	93
Seychelles	9.0	Q1042	94
Sierra Leone	13.9	Q1044	95
Singapore	5.1	Q334	96
Solomon Islands	10.4	Q685	97
South Africa	3.1	Q258	98
South Sudan	15.6	Q958	99
Sri Lanka	2.5	Q854	100
St. Kitts and Nevis	6.5	Q763	101
St. Lucia	6.2	Q760	102
St. Vincent and the Grenadines	6.5	Q757	103
Suriname	6.0	Q730	104
Eswatini	6.4	Q1050	105
Switzerland	3.0	Q39	106
Tajikistan	23.4	Q863	107
Tanzania	9.7	Q924	108
Thailand	2.7	Q869	109
Timor-Leste	14.7	Q574	110
Togo	-1.4	Q945	111
Tonga	5.5	Q678	112
Trinidad and Tobago	7.8	Q754	113
Uganda	10.5	Q1036	114
Ukraine	6.9	Q212	115
Uruguay	6.5	Q77	116
Uzbekistan	7.5	Q265	117
Vanuatu	1.8	Q686	118
Venezuela, RB	6.3	Q717	119
Vietnam	2.7	Q881	120
West Bank and Gaza	4.4	Q407199	121
Zambia	2.0	Q953	122
Zimbabwe	13.2	Q954	123
