Country	Treatmentsuccessrate2017	Casesdetectionrate2018	ID	id_row
Afghanistan	91.0	69.0	Q889	0
Albania	87.0	87.0	Q222	1
Algeria	91.0	80.0	Q262	2
American Samoa	80.0	87.0	Q16641	3
Andorra	100.0	87.0	Q228	4
Angola	25.0	61.0	Q916	5
Antigua and Barbuda	100.0	87.0	Q781	6
Argentina	57.0	87.0	Q414	7
Armenia	79.0	80.0	Q399	8
Australia	82.0	87.0	Q408	9
Austria	69.0	74.0	Q40	10
Azerbaijan	84.0	80.0	Q227	11
Bahamas, The	71.0	87.0	Q778	12
Bahrain	68.0	87.0	Q398	13
Bangladesh	94.0	75.0	Q902	14
Barbados	100.0	87.0	Q244	15
Belarus	89.0	80.0	Q184	16
Belgium	79.0	88.0	Q31	17
Belize	71.0	87.0	Q242	18
Benin	87.0	62.0	Q962	19
Bermuda	100.0	87.0	Q23635	20
Bhutan	93.0	80.0	Q917	21
Bolivia	83.0	62.0	Q750	22
Bosnia and Herzegovina	45.0	80.0	Q225	23
Botswana	78.0	59.0	Q963	24
Brazil	71.0	87.0	Q155	25
Brunei Darussalam	75.0	87.0	Q921	26
Bulgaria	84.0	82.0	Q219	27
Burkina Faso	80.0	63.0	Q965	28
Burundi	93.0	58.0	Q967	29
Cabo Verde	91.0	80.0	Q1011	30
Cambodia	94.0	58.0	Q424	31
Cameroon	84.0	50.0	Q1009	32
Canada	80.0	87.0	Q16	33
Cayman Islands	100.0	87.0	Q5785	34
Central African Republic	78.0	43.0	Q929	35
Chad	79.0	59.0	Q657	36
Chile	78.0	87.0	Q298	37
China	93.0	92.0	Q148	38
Hong Kong SAR, China	65.0	87.0	Q8646	39
Macao SAR, China	82.0	87.0	Q14773	40
Colombia	73.0	80.0	Q739	41
Comoros	89.0	45.0	Q970	42
Congo, Dem. Rep.	90.0	63.0	Q974	43
Congo, Rep.	66.0	54.0	Q971	44
Costa Rica	92.0	80.0	Q800	45
Cote d'Ivoire	83.0	59.0	Q1008	46
Croatia	66.0	100.0	Q224	47
Cuba	82.0	87.0	Q241	48
Curacao	50.0	87.0	Q25279	49
Cyprus	67.0	79.0	Q229	50
Czech Republic	69.0	75.0	Q213	51
Denmark	39.0	87.0	Q35	52
Djibouti	85.0	80.0	Q977	53
Dominica	100.0	87.0	Q784	54
Dominican Republic	74.0	80.0	Q786	55
Ecuador	74.0	80.0	Q736	56
Egypt, Arab Rep.	86.0	68.0	Q79	57
El Salvador	90.0	80.0	Q792	58
Equatorial Guinea	75.0	50.0	Q983	59
Eritrea	92.0	61.0	Q986	60
Estonia	80.0	87.0	Q191	61
Eswatini	86.0	80.0	Q1050	62
Ethiopia	96.0	69.0	Q115	63
Fiji	81.0	80.0	Q712	64
Finland	36.0	88.0	Q33	65
France	24.0	83.0	Q142	66
