Country	Imports2010	Imports2019	ID	id_row
Afghanistan	36.0	38.0	Q889	0
Albania	49.0	45.0	Q222	1
Algeria	31.0	29.0	Q262	2
American Samoa	93.0	99.0	Q16641	3
Angola	43.0	26.0	Q916	4
Argentina	16.0	15.0	Q414	5
Armenia	45.0	53.0	Q399	6
Aruba	78.0	72.0	Q21203	7
Australia	21.0	22.0	Q408	8
Austria	48.0	52.0	Q40	9
Azerbaijan	21.0	37.0	Q227	10
Bahamas, The	44.0	41.0	Q778	11
Bahrain	51.0	72.0	Q398	12
Bangladesh	22.0	21.0	Q902	13
Barbados	49.0	42.0	Q244	14
Belarus	65.0	67.0	Q184	15
Belgium	74.0	82.0	Q31	16
Belize	59.0	58.0	Q242	17
Benin	28.0	34.0	Q962	18
Bhutan	72.0	56.0	Q917	19
Bolivia	34.0	31.0	Q750	20
Bosnia and Herzegovina	51.0	56.0	Q225	21
Botswana	51.0	41.0	Q963	22
Brazil	12.0	15.0	Q155	23
Brunei Darussalam	28.0	51.0	Q921	24
Bulgaria	53.0	60.0	Q219	25
Burkina Faso	29.0	32.0	Q965	26
Burundi	30.0	33.0	Q967	27
Cabo Verde	62.0	65.0	Q1011	28
Cambodia	60.0	62.0	Q424	29
Cameroon	27.0	24.0	Q1009	30
Canada	31.0	33.0	Q16	31
Central African Republic	23.0	47.0	Q929	32
Chad	44.0	38.0	Q657	33
Chile	31.0	29.0	Q298	34
China	24.0	17.0	Q148	35
Hong Kong SAR, China	199.0	176.0	Q8646	36
Macao SAR, China	33.0	33.0	Q14773	37
Colombia	18.0	22.0	Q739	38
Comoros	30.0	30.0	Q970	39
Congo, Dem. Rep.	50.0	35.0	Q974	40
Congo, Rep.	55.0	35.0	Q971	41
Costa Rica	35.0	32.0	Q800	42
Cote d'Ivoire	43.0	22.0	Q1008	43
Croatia	38.0	52.0	Q224	44
Cuba	18.0	13.0	Q241	45
Cyprus	59.0	72.0	Q229	46
Czech Republic	63.0	69.0	Q213	47
Denmark	44.0	49.0	Q35	48
Dominica	56.0	88.0	Q784	49
Dominican Republic	33.0	29.0	Q786	50
Ecuador	32.0	23.0	Q736	51
Egypt, Arab Rep.	27.0	29.0	Q79	52
El Salvador	47.0	48.0	Q792	53
Equatorial Guinea	59.0	52.0	Q983	54
Estonia	68.0	69.0	Q191	55
Eswatini	60.0	44.0	Q1050	56
Ethiopia	32.0	21.0	Q115	57
Finland	37.0	39.0	Q33	58
France	28.0	33.0	Q142	59
Gabon	31.0	22.0	Q1000	60
