Country	Prevalence	ID	id_row
Afghanistan	9.2	Q889	0
Albania	9.0	Q222	1
Algeria	6.7	Q262	2
Andorra	7.7	Q228	3
Angola	4.5	Q916	4
Antigua and Barbuda	13.1	Q781	5
Argentina	5.9	Q414	6
Armenia	6.1	Q399	7
Aruba	11.6	Q21203	8
Australia	5.6	Q408	9
Austria	6.6	Q40	10
Azerbaijan	6.1	Q227	11
Bahamas, The	8.8	Q778	12
Bahrain	15.6	Q398	13
Bangladesh	9.2	Q902	14
Barbados	13.4	Q244	15
Belarus	5.0	Q184	16
Belgium	4.6	Q31	17
Belize	17.1	Q242	18
Benin	1.0	Q962	19
Bermuda	6.7	Q23635	20
Bhutan	10.3	Q917	21
Bolivia	6.8	Q750	22
Bosnia and Herzegovina	9.0	Q225	23
Botswana	5.8	Q963	24
Brazil	10.4	Q155	25
Brunei Darussalam	13.3	Q921	26
Bulgaria	6.0	Q219	27
Burkina Faso	7.3	Q965	28
Burundi	5.1	Q967	29
Cabo Verde	2.4	Q1011	30
Cambodia	6.4	Q424	31
Cameroon	6.0	Q1009	32
Canada	7.6	Q16	33
Cayman Islands	6.8	Q5785	34
Central African Republic	6.0	Q929	35
Chad	6.0	Q657	36
Channel Islands	3.9	Q42314	37
Chile	8.6	Q298	38
China	9.2	Q148	39
Hong Kong SAR, China	4.5	Q8646	40
Macao SAR, China	4.3	Q14773	41
Colombia	7.4	Q739	42
Comoros	12.3	Q970	43
Congo, Dem. Rep.	6.0	Q974	44
Congo, Rep.	6.0	Q971	45
Costa Rica	9.1	Q800	46
Cote d'Ivoire	2.4	Q1008	47
Croatia	5.4	Q224	48
Cuba	9.6	Q241	49
Curacao	11.6	Q25279	50
Cyprus	9.0	Q229	51
Czech Republic	7.0	Q213	52
Denmark	8.3	Q35	53
Djibouti	5.1	Q977	54
Dominica	11.6	Q784	55
Dominican Republic	8.6	Q786	56
Ecuador	5.5	Q736	57
Egypt, Arab Rep.	17.2	Q79	58
El Salvador	8.8	Q792	59
Equatorial Guinea	6.0	Q983	60
Eritrea	5.1	Q986	61
Estonia	4.2	Q191	62
Eswatini	4.5	Q1050	63
Ethiopia	4.3	Q115	64
Faroe Islands	4.7	Q4628	65
Fiji	14.7	Q712	66
Finland	5.6	Q33	67
France	4.8	Q142	68
French Polynesia	19.5	Q30971	69
Gabon	6.0	Q1000	70
Gambia, The	1.9	Q1005	71
Georgia	5.8	Q230	72
Germany	10.4	Q183	73
Ghana	2.5	Q117	74
Greece	4.7	Q41	75
Greenland	2.1	Q223	76
Grenada	10.7	Q769	77
Guam	18.7	Q16635	78
Guatemala	10.0	Q774	79
Guinea	2.4	Q1006	80
Guinea-Bissau	2.4	Q1007	81
Guyana	11.6	Q734	82
Haiti	6.7	Q790	83
Honduras	7.3	Q783	84
Hungary	6.9	Q28	85
Iceland	5.8	Q189	86
India	10.4	Q668	87
Indonesia	6.3	Q252	88
Iran, Islamic Rep.	9.6	Q794	89
Iraq	8.8	Q796	90
Ireland	3.2	Q27	91
Israel	9.7	Q801	92
Italy	5.0	Q38	93
Jamaica	11.3	Q766	94
Japan	5.6	Q17	95
Jordan	12.7	Q810	96
Kazakhstan	6.1	Q232	97
Kenya	3.1	Q114	98
Kiribati	22.5	Q710	99
Korea, Dem. Peopleâ€™s Rep.	6.4	Q423	100
Korea, Rep.	6.9	Q884	101
Kuwait	12.2	Q817	102
Kyrgyz Republic	6.1	Q813	103
Lao PDR	6.4	Q819	104
Latvia	5.0	Q211	105
Lebanon	11.2	Q822	106
Lesotho	4.5	Q1013	107
Liberia	2.4	Q1014	108
Libya	10.2	Q1016	109
Liechtenstein	9.4	Q347	110
Lithuania	3.8	Q37	111
Luxembourg	5.0	Q32	112
Madagascar	4.5	Q1019	113
Malawi	4.5	Q1020	114
Malaysia	16.7	Q833	115
Maldives	9.2	Q826	116
Mali	2.4	Q912	117
Malta	8.3	Q233	118
Marshall Islands	30.5	Q709	119
Mauritania	7.1	Q1025	120
Mauritius	22.0	Q1027	121
Mexico	13.5	Q96	122
Micronesia, Fed. Sts.	11.9	Q702	123
Moldova	5.7	Q217	124
Monaco	2.9	Q235	125
Mongolia	4.7	Q711	126
Montenegro	9.0	Q236	127
Morocco	7.0	Q1028	128
Mozambique	3.3	Q1029	129
Myanmar	3.9	Q836	130
Namibia	4.5	Q1030	131
Nepal	7.2	Q837	132
Netherlands	5.4	Q55	133
New Caledonia	21.8	Q33788	134
New Zealand	6.2	Q664	135
Nicaragua	11.4	Q811	136
Niger	2.4	Q1032	137
Nigeria	3.1	Q1033	138
North Macedonia	9.3	Q221	139
Norway	5.3	Q20	140
Oman	10.1	Q842	141
Pakistan	19.9	Q843	142
Palau	17.9	Q695	143
Panama	7.7	Q804	144
Papua New Guinea	17.9	Q691	145
Paraguay	9.6	Q733	146
Peru	6.6	Q419	147
Philippines	7.1	Q928	148
Poland	6.1	Q36	149
Portugal	9.8	Q45	150
Puerto Rico	13.7	Q1183	151
Qatar	15.6	Q846	152
Romania	6.9	Q218	153
Russian Federation	6.1	Q159	154
Rwanda	5.1	Q1037	155
Samoa	9.2	Q683	156
San Marino	5.9	Q238	157
Sao Tome and Principe	2.4	Q1039	158
Saudi Arabia	15.8	Q851	159
Senegal	2.4	Q1041	160
Serbia	9.0	Q403	161
Seychelles	12.3	Q1042	162
Sierra Leone	2.4	Q1044	163
Singapore	5.5	Q334	164
Sint Maarten (Dutch part)	6.8	Q26273	165
Slovak Republic	6.5	Q214	166
Slovenia	5.9	Q215	167
Solomon Islands	19.0	Q685	168
Somalia	5.1	Q1045	169
South Africa	12.7	Q258	170
South Sudan	10.2	Q958	171
Spain	6.9	Q29	172
Sri Lanka	10.7	Q854	173
St. Kitts and Nevis	13.3	Q763	174
St. Lucia	11.6	Q760	175
St. Vincent and the Grenadines	11.6	Q757	176
Sudan	22.1	Q1049	177
Suriname	12.5	Q730	178
Sweden	4.8	Q34	179
Switzerland	5.7	Q39	180
Syrian Arab Republic	13.5	Q858	181
Tajikistan	6.1	Q863	182
Tanzania	5.7	Q924	183
Thailand	7.0	Q869	184
Timor-Leste	6.7	Q574	185
Togo	2.4	Q945	186
Tonga	15.7	Q678	187
Trinidad and Tobago	11.0	Q754	188
Tunisia	8.5	Q948	189
Turkey	11.1	Q43	190
Turkmenistan	6.1	Q874	191
Tuvalu	22.1	Q672	192
Uganda	2.5	Q1036	193
Ukraine	6.1	Q212	194
United Arab Emirates	16.3	Q878	195
United Kingdom	3.9	Q145	196
United States	10.8	Q30	197
Uruguay	7.3	Q77	198
Uzbekistan	6.5	Q265	199
Vanuatu	11.9	Q686	200
Venezuela, RB	7.0	Q717	201
Vietnam	6.0	Q881	202
Virgin Islands (U.S.)	12.3	Q11703	203
West Bank and Gaza	9.5	Q407199	204
Yemen, Rep.	5.4	Q805	205
Zambia	4.5	Q953	206
Zimbabwe	1.8	Q954	207
