Country	TotalPoints	ID	id_row
Albania	1325.0	Q222	0
Algeria	1271.0	Q262	1
American Samoa	1030.0	Q16641	2
Andorra	749.0	Q228	3
Angola	1117.0	Q916	4
Antigua and Barbuda	787.0	Q781	5
Argentina	1659.0	Q414	6
Armenia	1103.0	Q399	7
Aruba	724.0	Q21203	8
Australia	1963.0	Q408	9
Austria	1792.0	Q40	10
Azerbaijan	1321.0	Q227	11
Bahrain	1274.0	Q398	12
Bangladesh	1008.0	Q902	13
Barbados	1002.0	Q244	14
Belarus	1434.0	Q184	15
Belgium	1819.0	Q31	16
Belize	824.0	Q242	17
Bermuda	987.0	Q23635	18
Bhutan	769.0	Q917	19
Bolivia	1236.0	Q750	20
Bosnia and Herzegovina	1411.0	Q225	21
Botswana	848.0	Q963	22
Brazil	1958.0	Q155	23
Bulgaria	1303.0	Q219	24
Cameroon	1455.0	Q1009	25
Canada	1958.0	Q16	26
Chile	1640.0	Q298	27
China PR	1867.0	Q148	28
Chinese Taipei	1589.0	Q1867	29
Colombia	1700.0	Q739	30
Comoros	731.0	Q970	31
Congo	1178.0	Q971	32
Congo DR	1159.0	Q974	33
Cook Islands	1194.0	Q26988	34
Costa Rica	1644.0	Q800	35
Croatia	1453.0	Q224	36
Cuba	1240.0	Q241	37
Cyprus	1114.0	Q229	38
Czech Republic	1678.0	Q213	39
Côte d'Ivoire	1392.0	Q1008	40
Denmark	1851.0	Q35	41
Dominican Republic	1173.0	Q786	42
El Salvador	1164.0	Q792	43
England	1999.0	Q21	44
Equatorial Guinea	1356.0	Q983	45
Estonia	1210.0	Q191	46
Eswatini	822.0	Q1050	47
Ethiopia	1151.0	Q115	48
Faroe Islands	1259.0	Q4628	49
Fiji	1373.0	Q712	50
Finland	1671.0	Q33	51
France	2036.0	Q142	52
Gabon	1066.0	Q1000	53
Gambia	1143.0	Q1005	54
Georgia	1138.0	Q230	55
Germany	2090.0	Q183	56
Ghana	1401.0	Q117	57
Greece	1396.0	Q41	58
Guam	1282.0	Q16635	59
Guatemala	1290.0	Q774	60
Haiti	1391.0	Q790	61
Honduras	1136.0	Q783	62
Hong Kong	1329.0	Q8646	63
Hungary	1537.0	Q28	64
Iceland	1817.0	Q189	65
India	1432.0	Q668	66
Indonesia	1222.0	Q252	67
IR Iran	1358.0	Q794	68
Israel	1369.0	Q801	69
Italy	1889.0	Q38	70
Jamaica	1460.0	Q766	71
Japan	1937.0	Q17	72
Jordan	1419.0	Q810	73
Kazakhstan	1318.0	Q232	74
Kenya	986.0	Q114	75
Korea DPR	1940.0	Q423	76
Korea Republic	1818.0	Q884	77
Kosovo	1104.0	Q1246	78
Kyrgyz Republic	1118.0	Q813	79
Latvia	1223.0	Q211	80
Lebanon	967.0	Q822	81
Lesotho	850.0	Q1013	82
Lithuania	1169.0	Q37	83
Luxembourg	1124.0	Q32	84
Madagascar	691.0	Q1019	85
Malawi	887.0	Q1020	86
Malaysia	1238.0	Q833	87
Maldives	966.0	Q826	88
Mali	1276.0	Q912	89
Malta	1197.0	Q233	90
Mauritius	357.0	Q1027	91
Mexico	1686.0	Q96	92
Moldova	1228.0	Q217	93
Mongolia	1114.0	Q711	94
Montenegro	1201.0	Q236	95
Morocco	1289.0	Q1028	96
Mozambique	814.0	Q1029	97
Myanmar	1511.0	Q836	98
Namibia	956.0	Q1030	99
Nepal	1200.0	Q837	100
Netherlands	2032.0	Q55	101
New Caledonia	1208.0	Q33788	102
New Zealand	1757.0	Q664	103
Nicaragua	1116.0	Q811	104
Nigeria	1614.0	Q1033	105
North Macedonia	1072.0	Q221	106
Northern Ireland	1432.0	Q26	107
Norway	1930.0	Q20	108
Palestine	1131.0	Q219060	109
Panama	1401.0	Q804	110
Papua New Guinea	1504.0	Q691	111
Paraguay	1490.0	Q733	112
Peru	1376.0	Q419	113
Philippines	1369.0	Q928	114
Poland	1683.0	Q36	115
Portugal	1659.0	Q45	116
Puerto Rico	1172.0	Q1183	117
Republic of Ireland	1666.0	Q27	118
Romania	1535.0	Q218	119
Russia	1708.0	Q159	120
Rwanda	899.0	Q1037	121
Samoa	1169.0	Q683	122
Scotland	1804.0	Q22	123
Senegal	1247.0	Q1041	124
Serbia	1558.0	Q403	125
Singapore	1089.0	Q334	126
Slovakia	1501.0	Q214	127
Slovenia	1471.0	Q215	128
Solomon Islands	1140.0	Q685	129
South Africa	1434.0	Q258	130
Spain	1915.0	Q29	131
Sri Lanka	968.0	Q854	132
St. Kitts and Nevis	1050.0	Q763	133
St. Lucia	982.0	Q760	134
Suriname	1093.0	Q730	135
Sweden	2007.0	Q34	136
Switzerland	1815.0	Q39	137
Tahiti	1196.0	Q42000	138
Tajikistan	1035.0	Q863	139
Tanzania	978.0	Q924	140
Thailand	1596.0	Q869	141
Tonga	1240.0	Q678	142
Trinidad and Tobago	1354.0	Q754	143
Tunisia	1304.0	Q948	144
Turkey	1365.0	Q43	145
Uganda	868.0	Q1036	146
Ukraine	1692.0	Q212	147
United Arab Emirates	1201.0	Q878	148
Uruguay	1346.0	Q77	149
US Virgin Islands	843.0	Q11703	150
USA	2181.0	Q30	151
Uzbekistan	1543.0	Q265	152
Vanuatu	1131.0	Q686	153
Venezuela	1425.0	Q717	154
Vietnam	1657.0	Q881	155
Wales	1658.0	Q25	156
Zambia	1198.0	Q953	157
Zimbabwe	1151.0	Q954	158
