Country	Imports2010	Imports2019	ID	id_row
Afghanistan	19.0	8.0	Q889	0
Albania	11.0	10.0	Q222	1
Algeria	67.0	60.0	Q262	2
Angola	73.0	49.0	Q916	3
Antigua and Barbuda	22.0	52.0	Q781	4
Argentina	35.0	36.0	Q414	5
Armenia	13.0	8.0	Q399	6
Aruba	43.0	45.0	Q21203	7
Australia	27.0	27.0	Q408	8
Austria	35.0	48.0	Q40	9
Azerbaijan	56.0	47.0	Q227	10
Bahamas, The	33.0	41.0	Q778	11
Bahrain	11.0	10.0	Q398	12
Bangladesh	8.0	17.0	Q902	13
Barbados	62.0	65.0	Q244	14
Belarus	28.0	43.0	Q184	15
Belgium	46.0	54.0	Q31	16
Belize	21.0	25.0	Q242	17
Benin	22.0	25.0	Q962	18
Bermuda	29.0	42.0	Q23635	19
Bhutan	28.0	42.0	Q917	20
Bolivia	18.0	34.0	Q750	21
Bosnia and Herzegovina	27.0	18.0	Q225	22
Botswana	49.0	55.0	Q963	23
Brazil	48.0	53.0	Q155	24
Brunei Darussalam	22.0	52.0	Q921	25
Bulgaria	44.0	27.0	Q219	26
Burkina Faso	35.0	28.0	Q965	27
Burundi	14.0	14.0	Q967	28
Cabo Verde	16.0	40.0	Q1011	29
Cambodia	24.0	13.0	Q424	30
Cameroon	46.0	29.0	Q1009	31
Canada	37.0	38.0	Q16	32
Chile	26.0	39.0	Q298	33
China	3.0	26.0	Q148	34
Hong Kong SAR, China	46.0	34.0	Q8646	35
Macao SAR, China	43.0	44.0	Q14773	36
Colombia	28.0	22.0	Q739	37
Comoros	6.0	16.0	Q970	38
Congo, Dem. Rep.	19.0	26.0	Q974	39
Congo, Rep.	66.0	16.0	Q971	40
Costa Rica	25.0	32.0	Q800	41
Cote d'Ivoire	20.0	30.0	Q1008	42
Croatia	49.0	44.0	Q224	43
Curacao	49.0	43.0	Q25279	44
Cyprus	21.0	37.0	Q229	45
Czech Republic	45.0	49.0	Q213	46
Denmark	31.0	39.0	Q35	47
Djibouti	14.0	3.0	Q977	48
Dominica	21.0	50.0	Q784	49
Dominican Republic	12.0	25.0	Q786	50
Ecuador	14.0	15.0	Q736	51
Egypt, Arab Rep.	21.0	30.0	Q79	52
El Salvador	22.0	20.0	Q792	53
Estonia	42.0	39.0	Q191	54
Eswatini	74.0	63.0	Q1050	55
Ethiopia	25.0	20.0	Q115	56
Fiji	13.0	21.0	Q712	57
Finland	59.0	62.0	Q33	58
France	50.0	55.0	Q142	59
French Polynesia	27.0	24.0	Q30971	60
Gambia, The	27.0	2.0	Q1005	61
Georgia	11.0	12.0	Q230	62
Germany	39.0	50.0	Q183	63
Ghana	25.0	70.0	Q117	64
Greece	22.0	18.0	Q41	65
Grenada	22.0	46.0	Q769	66
Guatemala	18.0	19.0	Q774	67
Guinea	32.0	38.0	Q1006	68
Guinea-Bissau	38.0	22.0	Q1007	69
Guyana	39.0	54.0	Q734	70
Haiti	10.0	18.0	Q790	71
Honduras	10.0	22.0	Q783	72
Hungary	60.0	59.0	Q28	73
Iceland	45.0	36.0	Q189	74
India	58.0	61.0	Q668	75
Indonesia	35.0	37.0	Q252	76
Iraq	3.0	5.0	Q796	77
Ireland	78.0	88.0	Q27	78
Israel	46.0	46.0	Q801	79
Italy	43.0	43.0	Q38	80
Jamaica	37.0	44.0	Q766	81
Japan	48.0	65.0	Q17	82
Jordan	7.0	5.0	Q810	83
Kazakhstan	67.0	52.0	Q232	84
Kenya	30.0	43.0	Q114	85
Kiribati	12.0	19.0	Q710	86
Korea, Rep.	46.0	51.0	Q884	87
Kosovo	47.0	26.0	Q1246	88
Kuwait	18.0	33.0	Q817	89
Kyrgyz Republic	25.0	13.0	Q813	90
Lao PDR	8.0	5.0	Q819	91
Latvia	34.0	43.0	Q211	92
Lebanon	41.0	26.0	Q822	93
Lesotho	14.0	11.0	Q1013	94
Liberia	82.0	19.0	Q1014	95
Libya	4.0	1.0	Q1016	96
Lithuania	16.0	27.0	Q37	97
Luxembourg	28.0	40.0	Q32	98
Madagascar	52.0	33.0	Q1019	99
Malawi	24.0	30.0	Q1020	100
Malaysia	35.0	39.0	Q833	101
Maldives	16.0	39.0	Q826	102
Mali	23.0	25.0	Q912	103
Malta	56.0	66.0	Q233	104
Marshall Islands	26.0	0.0	Q709	105
Mauritania	57.0	57.0	Q1025	106
Mauritius	44.0	37.0	Q1027	107
Mexico	17.0	10.0	Q96	108
Moldova	22.0	28.0	Q217	109
Mongolia	25.0	33.0	Q711	110
Montenegro	53.0	47.0	Q236	111
Morocco	28.0	28.0	Q1028	112
Mozambique	45.0	78.0	Q1029	113
Myanmar	33.0	50.0	Q836	114
Namibia	65.0	55.0	Q1030	115
Nepal	16.0	14.0	Q837	116
Netherlands	64.0	68.0	Q55	117
New Caledonia	56.0	56.0	Q33788	118
New Zealand	37.0	35.0	Q664	119
Nicaragua	24.0	16.0	Q811	120
Niger	20.0	30.0	Q1032	121
Nigeria	26.0	44.0	Q1033	122
North Macedonia	46.0	49.0	Q221	123
Norway	41.0	41.0	Q20	124
Oman	31.0	30.0	Q842	125
Pakistan	25.0	39.0	Q843	126
Palau	30.0	18.0	Q695	127
Panama	9.0	21.0	Q804	128
Papua New Guinea	61.0	68.0	Q691	129
Paraguay	2.0	2.0	Q733	130
Peru	28.0	29.0	Q419	131
Philippines	15.0	30.0	Q928	132
Poland	45.0	50.0	Q36	133
Portugal	38.0	40.0	Q45	134
Qatar	18.0	20.0	Q846	135
Romania	54.0	49.0	Q218	136
Russian Federation	42.0	44.0	Q159	137
Rwanda	3.0	11.0	Q1037	138
Samoa	34.0	49.0	Q683	139
Sao Tome and Principe	1.0	34.0	Q1039	140
Saudi Arabia	28.0	32.0	Q851	141
Senegal	24.0	23.0	Q1041	142
Serbia	41.0	44.0	Q403	143
Seychelles	30.0	55.0	Q1042	144
Sierra Leone	43.0	38.0	Q1044	145
Singapore	47.0	49.0	Q334	146
Sint Maarten (Dutch part)	41.0	58.0	Q26273	147
Slovak Republic	37.0	44.0	Q214	148
Slovenia	44.0	51.0	Q215	149
Solomon Islands	43.0	44.0	Q685	150
South Africa	30.0	33.0	Q258	151
Spain	74.0	47.0	Q29	152
Sri Lanka	13.0	13.0	Q854	153
St. Kitts and Nevis	33.0	51.0	Q763	154
St. Lucia	26.0	54.0	Q760	155
St. Vincent and the Grenadines	18.0	30.0	Q757	156
Sudan	2.0	18.0	Q1049	157
Suriname	50.0	77.0	Q730	158
Sweden	50.0	58.0	Q34	159
Switzerland	60.0	66.0	Q39	160
Tajikistan	12.0	17.0	Q863	161
Tanzania	12.0	21.0	Q924	162
Thailand	35.0	37.0	Q869	163
Timor-Leste	77.0	42.0	Q574	164
Togo	15.0	15.0	Q945	165
Tonga	18.0	26.0	Q678	166
Trinidad and Tobago	27.0	57.0	Q754	167
Tunisia	20.0	14.0	Q948	168
Turkey	18.0	40.0	Q43	169
Uganda	19.0	31.0	Q1036	170
