Country	NetInflows	NetInflows	ID	id_row
Sri Lanka	1611.0	1.8	Q854	152
St. Kitts and Nevis	94.0	9.3	Q763	153
St. Lucia	40.0	1.9	Q760	154
St. Vincent and the Grenadines	110.0	13.6	Q757	155
Sudan	1136.0	4.4	Q1049	156
Suriname	131.0	3.8	Q730	157
Eswatini	31.0	0.7	Q1050	158
Sweden	-1820.0	-0.3	Q34	159
Switzerland	-76221.0	-10.8	Q39	160
Tajikistan	221.0	2.9	Q863	161
Tanzania	1056.0	1.8	Q924	162
Thailand	13205.0	2.6	Q869	163
Timor-Leste	48.0	3.1	Q574	164
Togo	-181.0	-3.4	Q945	165
Tonga	15.0	3.3	Q678	166
Trinidad and Tobago	-702.0	-2.9	Q754	167
Tunisia	989.0	2.5	Q948	168
Turkey	13023.0	1.7	Q43	169
Turkmenistan	1985.0	4.9	Q874	170
Turks and Caicos Islands	42.0	4.1	Q18221	171
Tuvalu	0.0	0.7	Q672	172
Uganda	1055.0	3.2	Q1036	173
Ukraine	2476.0	1.9	Q212	174
United Arab Emirates	10385.0	2.5	Q878	175
United Kingdom	81159.0	2.8	Q145	176
United States	258390.0	1.3	Q30	177
Uruguay	1172.0	2.0	Q77	178
Uzbekistan	625.0	1.2	Q265	179
Vanuatu	38.0	4.1	Q686	180
Vietnam	15500.0	6.3	Q881	181
West Bank and Gaza	263.0	1.8	Q407199	182
Yemen, Rep.	-282.0	-1.0	Q805	183
Zambia	408.0	1.5	Q953	184
Zimbabwe	745.0	3.1	Q954	185
