Country	GoodsExports	GoodsImports	ServicesExports	ID	id_row
Afghanistan	0.0	0.2	16.2	Q889	0
Albania	0.0	1.9	3.0	Q222	1
Algeria	0.0	4.9	5.2	Q262	2
Angola	0.0	2.5	2.5	Q916	3
Antigua and Barbuda	1.2	3.7	0.9	Q781	4
Argentina	0.1	2020.6	2020.6	Q414	5
Armenia	0.3	5.4	11.0	Q399	6
Aruba	2020.3	2020.2	2020.1	Q21203	7
Australia	1.0	10.4	4.3	Q408	8
Austria	3.4	5.3	9.8	Q40	9
Azerbaijan	0.0	4.6	1.4	Q227	10
Bahrain	0.4	4.2	6.7	Q398	11
Belarus	0.7	2020.6	2020.4	Q184	12
Belgium	1.7	2.7	10.7	Q31	13
Belize	0.1	3.6	3.7	Q242	14
Benin	0.1	1.9	8.0	Q962	15
Bermuda	2020.4	3.0	2020.8	Q23635	16
Bolivia	0.1	4.3	4.6	Q750	17
Bosnia and Herzegovina	0.2	2020.6	8.0	Q225	18
Botswana	0.2	3.0	2.2	Q963	19
Brazil	0.4	2020.8	2020.3	Q155	20
Brunei Darussalam	0.2	3.0	0.0	Q921	21
Bulgaria	3.3	5.0	12.3	Q219	22
Burkina Faso	0.0	3.4	10.8	Q965	23
Burundi	0.1	4.8	3.2	Q967	24
Cabo Verde	0.0	3.5	5.0	Q1011	25
Cambodia	1.9	2.2	1.4	Q424	26
Cameroon	0.0	3.4	6.8	Q1009	27
Canada	1.8	7.2	8.3	Q16	28
Chile	0.3	2020.1	2020.4	Q298	29
China	27.3	22.7	12.7	Q148	30
Colombia	0.2	9.9	4.1	Q739	31
Costa Rica	0.9	2020.6	2020.8	Q800	32
Cote d'Ivoire	0.0	3.2	10.7	Q1008	33
Croatia	2.3	4.8	5.2	Q224	34
Cyprus	4.5	3.5	15.8	Q229	35
Czech Republic	15.1	16.3	14.0	Q213	36
Denmark	3.7	7.0	6.5	Q35	37
Dominican Republic	2.2	4.8	1.6	Q786	38
Ecuador	0.1	5.9	1.4	Q736	39
Egypt, Arab Rep.	2.4	5.0	3.5	Q79	40
El Salvador	0.2	5.1	8.0	Q792	41
Estonia	8.5	8.5	10.5	Q191	42
Eswatini	0.1	3.0	5.3	Q1050	43
Ethiopia	1.7	6.2	2.2	Q115	44
Fiji	3.9	4.9	1.7	Q712	45
Finland	2.6	7.3	26.2	Q33	46
France	4.0	6.1	6.7	Q142	47
Gambia, The	0.1	0.4	3.0	Q1005	48
Georgia	0.4	2020.2	2020.3	Q230	49
Germany	5.0	8.6	11.7	Q183	50
Greece	2020.1	2020.4	3.0	Q41	51
Guatemala	0.2	6.4	7.0	Q774	52
Guyana	0.0	1.3	3.4	Q734	53
Honduras	0.5	5.2	9.6	Q783	54
Hong Kong SAR, China	55.5	53.5	2.9	Q8646	55
Hungary	11.3	12.5	8.2	Q28	56
Iceland	0.2	5.8	4.8	Q189	57
India	1.2	9.2	42.4	Q668	58
Indonesia	2.9	7.7	4.0	Q252	59
Ireland	6.8	8.1	43.2	Q27	60
Israel	2020.6	2020.9	45.4	Q801	61
Italy	2.0	4.9	8.1	Q38	62
Jamaica	1.0	3.6	3.6	Q766	63
Japan	8.1	11.9	2.7	Q17	64
Jordan	2.0	4.7	0.4	Q810	65
Kazakhstan	0.1	6.0	2020.8	Q232	66
Kenya	0.3	3.8	10.2	Q114	67
Korea, Rep.	2020.8	14.0	2020.8	Q884	68
Kuwait	0.2	7.2	43.3	Q817	69
Kyrgyz Republic	0.1	3.9	4.8	Q813	70
Lao PDR	10.0	7.4	3.2	Q819	71
Latvia	8.4	8.2	12.5	Q211	72
Lebanon	0.7	3.1	4.2	Q822	73
Lesotho	2.8	2.7	5.5	Q1013	74
Lithuania	3.5	4.9	5.8	Q37	75
Luxembourg	2.4	4.4	3.8	Q32	76
Macao SAR, China	2020.8	2020.8	0.1	Q14773	77
North Macedonia	0.6	3.6	10.7	Q221	78
Madagascar	0.0	2.7	7.5	Q1019	79
Malawi	0.1	4.0	27.0	Q1020	80
Malaysia	33.1	25.1	7.2	Q833	81
Maldives	0.0	4.5	3.3	Q826	82
Malta	15.7	6.5	0.6	Q233	83
Mauritius	2020.4	2020.1	2020.2	Q1027	84
Mexico	15.0	15.2	0.3	Q96	85
Moldova	0.2	4.0	2020.9	Q217	86
Mongolia	0.0	2020.3	2020.6	Q711	87
Montenegro	0.5	3.9	3.9	Q236	88
Morocco	2.1	3.9	8.6	Q1028	89
Mozambique	0.5	2.7	3.2	Q1029	90
Myanmar	0.5	2.9	2.9	Q836	91
Namibia	0.2	2.8	5.1	Q1030	92
Nepal	0.6	5.3	18.0	Q837	93
Netherlands	10.8	13.7	9.4	Q55	94
New Zealand	1.0	7.3	3.5	Q664	95
Nicaragua	0.1	2.7	11.2	Q811	96
Niger	0.1	4.2	42.1	Q1032	97
Nigeria	0.0	3.1	5.8	Q1033	98
Norway	0.9	6.7	5.7	Q20	99
Oman	0.4	4.9	3.0	Q842	100
Pakistan	0.2	3.9	15.9	Q843	101
Palau	0.0	3.1	2.2	Q695	102
Panama	2020.7	2020.3	2020.2	Q804	103
Paraguay	0.1	15.6	1.4	Q733	104
Peru	0.1	8.3	2.1	Q419	105
Philippines	38.3	22.1	16.5	Q928	106
Poland	6.9	8.5	10.9	Q36	107
Portugal	3.0	5.6	4.6	Q45	108
Qatar	0.0	5.1	3.5	Q846	109
Romania	2.9	7.1	18.1	Q218	110
Russian Federation	0.5	2020.9	2020.1	Q159	111
Rwanda	1.0	9.8	2.0	Q1037	112
Samoa	0.3	3.6	8.0	Q683	113
Sao Tome and Principe	0.4	4.0	0.3	Q1039	114
Saudi Arabia	0.1	7.5	1.9	Q851	115
Serbia	1.0	2020.6	2020.1	Q403	116
Seychelles	0.1	2.8	1.3	Q1042	117
Sierra Leone	0.3	1.8	68.2	Q1044	118
Singapore	29.6	26.6	6.7	Q334	119
Slovak Republic	14.3	13.7	14.6	Q214	120
Slovenia	1.6	3.7	7.4	Q215	121
Solomon Islands	0.0	2.6	1.8	Q685	122
South Africa	1.0	7.9	4.2	Q258	123
Spain	1.5	5.2	8.7	Q29	124
Sri Lanka	0.6	4.7	12.0	Q854	125
St. Kitts and Nevis	2020.5	2020.5	0.9	Q763	126
St. Lucia	8.7	4.8	1.3	Q760	127
St. Vincent and the Grenadines	0.3	4.4	3.3	Q757	128
Suriname	0.0	1.3	7.9	Q730	129
Sweden	5.8	9.2	19.1	Q34	130
Switzerland	1.1	3.9	11.0	Q39	131
Tanzania	4.2	3.1	0.4	Q924	132
Thailand	15.6	13.4	0.6	Q869	133
Timor-Leste	0.3	3.9	2.0	Q574	134
Togo	0.1	2.7	6.6	Q945	135
Tunisia	6.0	5.3	9.2	Q948	136
Turkey	2020.2	2020.2	0.6	Q43	137
Uganda	0.4	4.0	2.4	Q1036	138
Ukraine	1.0	2020.8	2020.5	Q212	139
United Kingdom	3.9	8.1	7.0	Q145	140
United States	8.9	13.6	5.3	Q30	141
Uruguay	0.1	2020.8	2020.5	Q77	142
West Bank and Gaza	0.4	3.9	15.1	Q407199	143
Zambia	0.1	4.4	4.3	Q953	144
Zimbabwe	0.0	2.8	3.3	Q954	145
