Country	Areas	ID	id_row
Turkmenistan	3.2	Q874	192
Turks and Caicos Islands	44.4	Q18221	193
Tuvalu	2.0	Q672	194
Uganda	16.1	Q1036	195
Ukraine	4.0	Q212	196
United Arab Emirates	18.0	Q878	197
United Kingdom	28.7	Q145	198
United States	13.0	Q30	199
Uruguay	3.4	Q77	200
Uzbekistan	3.4	Q265	201
Vanuatu	4.2	Q686	202
Venezuela, RB	54.1	Q717	203
Vietnam	7.6	Q881	204
Virgin Islands (U.S.)	13.8	Q11703	205
West Bank and Gaza	8.4	Q407199	206
Yemen, Rep.	0.8	Q805	207
Zambia	37.9	Q953	208
Zimbabwe	27.2	Q954	209
