Country	Christian	Muslim	Irreligion	Hindu	Buddhist	Folkreligion	Otherreligion	Jewish	ID	id_row
Panama	93.0	0.8	4.8	0.0	0.2	0.4	0.4	0.4	Q804	69
Bermuda	75.0	1.1	19.4	0.0	0.5	3.0	0.8	0.3	Q23635	70
Canada	72.0	2.8	23.7	1.4	0.8	1.2	0.9	1.0	Q16	71
Greenland	96.0	0.12	0.0	0.0	0.0	1.0	1.1	0.0	Q223	72
Saint Pierre and Miquelon	94.7	0.2	3.8	0.0	0.0	0.0	1.3	0.0	Q34617	73
United States	78.3	1.1	16.4	0.6	1.2	0.2	0.6	1.8	Q30	74
Mexico	95.1	0.1	4.7	0.0	0.07	0.06	0.02	0.06	Q96	75
Argentina	85.2	1.0	12.2	0.0	0.05	0.8	0.3	0.5	Q414	76
Bolivia	93.9	0.1	4.1	0.0	0.0	0.9	1.0	0.0	Q750	77
Brazil	95.9	0.8	7.9	0.0	0.1	2.8	0.2	0.06	Q155	78
Chile	89.4	0.1	8.6	0.0	0.06	1.5	0.2	0.1	Q298	79
Colombia	86.0	0.2	11.0	0.01	0.01	1.0	2.0	0.01	Q739	80
Ecuador	94.1	0.01	5.5	0.0	0.0	0.3	0.0	0.0	Q736	81
Falkland Islands	67.2	0.3	31.5	0.0	0.2	0.0	0.8	0.0	Q9648	82
French Guiana	84.4	1.0	3.4	1.6	0.0	9.1	0.5	0.0	Q3769	83
Guyana	66.0	7.2	2.0	27.9	0.0	0.2	0.6	0.0	Q734	84
Paraguay	96.9	0.1	1.1	0.0	0.0	1.7	0.2	0.0	Q733	85
Peru	93.0	0.01	6.5	0.01	0.2	1.0	0.3	0.0	Q419	86
Suriname	51.6	15.2	5.4	19.8	0.6	5.3	1.8	0.2	Q730	87
Uruguay	57.9	0.1	40.7	0.0	0.0	0.8	0.3	0.3	Q77	88
Venezuela	89.3	0.3	10.0	0.0	0.0	0.2	0.07	0.0	Q717	89
Mainland China	5.1	1.8	52.2	0.0	18.2	21.9	0.7	0.0	Q148	90
Hong Kong	14.3	1.8	56.1	0.4	13.2	12.8	1.5	0.0	Q8646	91
Macau	7.2	0.2	15.4	0.0	17.3	58.9	1.0	0.0	Q14773	92
Taiwan	5.5	0.04	12.7	0.0	21.3	44.2	16.2	0.0	Q865	93
Japan	1.6	0.2	57.0	0.02	36.2	0.4	4.7	0.0	Q17	94
North Korea	2.0	0.0	71.3	0.0	1.5	12.3	12.9	0.0	Q423	95
South Korea	29.4	0.2	46.4	0.0	22.9	0.8	0.2	0.0	Q884	96
Mongolia	2.3	3.2	35.9	0.0	55.1	3.5	0.0	0.0	Q711	97
Brunei	9.4	75.1	0.4	0.3	8.6	6.2	0.1	0.0	Q921	98
Cambodia	0.4	2.0	0.2	0.0	96.9	0.6	0.0	0.0	Q424	99
Indonesia	9.9	87.2	0.1	1.7	0.7	0.3	0.1	0.0	Q252	100
Laos	1.5	0.0	0.9	0.0	66.0	30.7	0.7	0.0	Q819	101
Malaysia	9.4	63.7	0.7	6.0	17.7	2.3	0.2	0.0	Q833	102
Myanmar	7.8	4.0	0.5	1.7	80.1	5.8	0.2	0.0	Q836	103
Philippines	85.0	5.5	7.0	0.0	1.5	1.5	0.1	0.03	Q928	104
Singapore	18.2	14.3	16.4	5.2	33.9	2.3	9.7	0.0	Q334	105
Thailand	0.9	5.5	0.3	0.1	93.2	0.09	0.0	0.0	Q869	106
Timor-Leste	99.6	0.1	0.0	0.0	0.0	0.1	0.0	0.0	Q574	107
Vietnam	8.2	0.2	29.6	0.16	16.4	45.3	0.4	0.0	Q881	108
Afghanistan	0.1	99.7	0.0	0.03	0.0	0.0	0.06	0.0	Q889	109
Bangladesh	0.2	90.0	0.05	9.1	0.5	0.4	0.02	0.0	Q902	110
Bhutan	0.5	0.2	0.0	22.6	74.7	1.9	0.0	0.0	Q917	111
India	2.5	14.4	0.07	79.5	0.8	0.5	2.3	0.0	Q668	112
Maldives	0.4	98.4	0.0	0.3	0.6	0.0	0.0	0.0	Q826	113
Nepal	0.5	4.6	0.3	80.7	10.3	3.7	0.07	0.0	Q837	114
Pakistan	1.6	96.4	0.01	1.9	0.01	0.02	0.01	0.0	Q843	115
Sri Lanka	7.3	9.8	0.0	13.6	70.3	0.0	0.0	0.0	Q854	116
Kazakhstan	24.8	70.4	4.2		0.2	0.3	0.1		Q232	117
Kyrgyzstan	11.4	88.0	0.4			0.1			Q813	118
Tajikistan	1.6	96.7	1.5						Q863	119
Turkmenistan	6.4	93.0	0.5						Q874	120
Uzbekistan	2.3	96.7	0.8						Q265	121
Bahrain	14.5	70.3	1.9	9.8	2.5	0.0	0.2	0.6	Q398	122
Iraq	0.8	99.0	0.1	0.0	0.0	0.0	0.06	0.0	Q796	123
Israel	2.0	18.6	3.1	0.0	0.3	0.2	0.1	75.6	Q801	124
Jordan	2.2	97.2	0.0	0.1	0.4	0.0	0.0	0.0	Q810	125
Kuwait	14.3	74.1	0.0	8.5	2.8	0.0	0.3	0.0	Q817	126
Lebanon	47.3	55.3	0.3	0.0	0.2	0.0	0.0	0.0	Q822	127
Oman	6.5	85.9	0.2	5.5	0.8	0.0	1.0	0.0	Q842	128
Palestine	2.4	97.6	0.0	0.0	0.0	0.0	0.0	0.0	Q219060	129
Qatar	13.8	67.7	0.9	13.8	3.1	0.0	0.7	0.0	Q846	130
Saudi Arabia	4.4	93.0	0.7	1.1	0.3	0.3	0.3	0.0	Q851	131
Syria	5.2	92.8	2.0	0.0	0.0	0.0	0.0	0.0	Q858	132
United Arab Emirates	12.6	76.9	1.1	6.6	2.0	0.0	0.8	0.0	Q878	133
Yemen	0.2	99.1	0.1	0.6	0.0	0.0	0.0	0.0	Q805	134
Armenia	98.5	0.0	1.3	0.0	0.0	0.0	0.1	0.0	Q399	135
Azerbaijan	3.0	96.9	0.0	0.0	0.0	0.0	0.0	0.0	Q227	136
Cyprus	73.2	25.3	1.2	0.0	0.2	0.0	0.0	0.0	Q229	137
Iran	0.2	99.5	0.1	0.03	0.0	0.0	0.2	0.0	Q794	138
Turkey	0.4	98.0	1.2	0.0	0.05	0.03	0.2	0.03	Q43	139
Austria	80.4	5.4	13.5	0.0	0.2	0.0	0.1	0.2	Q40	140
