Country	Primaryschoolagechildrenmale	Primaryschoolagechildrenfemale	ID	id_row
Antigua and Barbuda	173.0	62.0	Q781	0
Armenia	6050.0	5376.0	Q399	1
Australia	3862.0	3169.0	Q408	2
Austria	477.0	186.0	Q40	3
Azerbaijan	12763.0	12040.0	Q227	4
Bahamas, The	4451.0	4082.0	Q778	5
Bahrain	33.0	1155.0	Q398	6
Barbados	80.0	248.0	Q244	7
Belarus	1198.0	4346.0	Q184	8
Belgium	1066.0	1098.0	Q31	9
Bhutan	4124.0	3332.0	Q917	10
Bolivia	47935.0	47429.0	Q750	11
Bulgaria	17828.0	16813.0	Q219	12
Burkina Faso	335760.0	353506.0	Q965	13
Burundi	69832.0	44430.0	Q967	14
Cabo Verde	1735.0	2238.0	Q1011	15
Cambodia	94844.0	91265.0	Q424	16
Cameroon	48680.0	210143.0	Q1009	17
Chad	221475.0	453380.0	Q657	18
Chile	15069.0	18830.0	Q298	19
Macao SAR, China	446.0	456.0	Q14773	20
Colombia	52032.0	32218.0	Q739	21
Comoros	11522.0	11145.0	Q970	22
Costa Rica	6948.0	6898.0	Q800	23
Cote d'Ivoire	44066.0	197509.0	Q1008	24
Cuba	7408.0	8272.0	Q241	25
Cyprus	434.0	320.0	Q229	26
Djibouti	18804.0	15144.0	Q977	27
Dominican Republic	34506.0	31319.0	Q786	28
El Salvador	50255.0	45491.0	Q792	29
Eritrea	117424.0	124564.0	Q986	30
Estonia	1196.0	946.0	Q191	31
Eswatini	17918.0	17972.0	Q1050	32
Finland	2287.0	1900.0	Q33	33
France	6482.0	523.0	Q142	34
Gambia, The	39679.0	25341.0	Q1005	35
Georgia	3577.0	2369.0	Q230	36
Germany	12033.0	2469.0	Q183	37
Ghana	84794.0	69192.0	Q117	38
Greece	4374.0	3773.0	Q41	39
Guatemala	129292.0	117083.0	Q774	40
Guinea	142323.0	283090.0	Q1006	41
Honduras	114409.0	99997.0	Q783	42
Hungary	4803.0	5183.0	Q28	43
Iceland	60.0	83.0	Q189	44
Indonesia	482011.0	1073003.0	Q252	45
Italy	34673.0	37168.0	Q38	46
Jamaica	22182.0	20612.0	Q766	47
Jordan	129267.0	135554.0	Q810	48
Korea, Rep.	33524.0	32711.0	Q884	49
Kuwait	6144.0	1146.0	Q817	50
Lao PDR	30203.0	35174.0	Q819	51
Latvia	1187.0	667.0	Q211	52
Lesotho	4299.0	3109.0	Q1013	53
Liberia	82261.0	77218.0	Q1014	54
Maldives	1217.0	710.0	Q826	55
Mali	631173.0	711827.0	Q912	56
Marshall Islands	1215.0	1036.0	Q709	57
Mauritania	69108.0	60060.0	Q1025	58
Moldova	7353.0	6601.0	Q217	59
Montenegro	590.0	507.0	Q236	60
Morocco	43383.0	46615.0	Q1028	61
Mozambique	134743.0	219096.0	Q1029	62
Netherlands	8082.0	2934.0	Q55	63
New Zealand	2600.0	1055.0	Q664	64
Niger	539592.0	701725.0	Q1032	65
North Macedonia	659.0	403.0	Q221	66
Pakistan	2336035.0	3669943.0	Q843	67
Panama	29277.0	29381.0	Q804	68
Papua New Guinea	27156.0	58959.0	Q691	69
Philippines	209179.0	215049.0	Q928	70
Poland	31164.0	28629.0	Q36	71
Portugal	184.0	3478.0	Q45	72
Puerto Rico	31743.0	25882.0	Q1183	73
Qatar	2202.0	309.0	Q846	74
Romania	64130.0	62326.0	Q218	75
Russian Federation	30623.0	6234.0	Q159	76
Rwanda	42956.0	38344.0	Q1037	77
Sao Tome and Principe	1063.0	1037.0	Q1039	78
Saudi Arabia	63788.0	69809.0	Q851	79
Senegal	349071.0	236447.0	Q1041	80
Serbia	2190.0	1625.0	Q403	81
Slovak Republic	6493.0	6061.0	Q214	82
Solomon Islands	2369.0	1982.0	Q685	83
South Africa	369093.0	198498.0	Q258	84
Spain	43541.0	31428.0	Q29	85
St. Lucia	204.0	18.0	Q760	86
Sudan	1216359.0	1226657.0	Q1049	87
Suriname	4961.0	3640.0	Q730	88
Tajikistan	4717.0	8863.0	Q863	89
Tanzania	1053124.0	842001.0	Q924	90
Timor-Leste	5089.0	2639.0	Q574	91
Togo	17695.0	48733.0	Q945	92
Turkey	130376.0	143085.0	Q43	93
Tuvalu	65.0	113.0	Q672	94
United Kingdom	7128.0	13380.0	Q145	95
United States	65888.0	30233.0	Q30	96
Venezuela, RB	166336.0	158656.0	Q717	97
West Bank and Gaza	6982.0	6032.0	Q407199	98
Yemen, Rep.	218703.0	431199.0	Q805	99
Zambia	281430.0	214262.0	Q953	100
