Country	Consumption2010	Consumption2019	ID	id_row
Uganda	8.0	8.0	Q1036	157
Ukraine	19.0	20.0	Q212	158
United Arab Emirates	10.0	13.0	Q878	159
United Kingdom	22.0	19.0	Q145	160
United States	17.0	14.0	Q30	161
Uruguay	13.0	15.0	Q77	162
Uzbekistan	13.0	16.0	Q265	163
Vietnam	6.0	6.0	Q881	164
West Bank and Gaza	28.0	26.0	Q407199	165
Zambia	9.0	12.0	Q953	166
Zimbabwe	15.0	26.0	Q954	167
