Country	Revenue2010	Revenue2018	ID	id_row
Afghanistan	5.0	7.0	Q889	0
Albania	3.0	1.0	Q222	1
Angola	4.0	4.0	Q916	2
Argentina	16.0	7.0	Q414	3
Armenia	4.0	6.0	Q399	4
Australia	2.0	3.0	Q408	5
Azerbaijan	1.0	3.0	Q227	6
Bahamas, The	49.0	21.0	Q778	7
Bangladesh	24.0	25.0	Q902	8
Barbados	8.0	9.0	Q244	9
Belarus	11.0	13.0	Q184	10
Belize	21.0	14.0	Q242	11
Bhutan	1.0	4.0	Q917	12
Bosnia and Herzegovina	0.0	0.0	Q225	13
Botswana	19.0	29.0	Q963	14
Brazil	2.0	2.0	Q155	15
Bulgaria	0.0	0.0	Q219	16
Burkina Faso	11.0	12.0	Q965	17
Cabo Verde	12.0	13.0	Q1011	18
Cambodia	15.0	11.0	Q424	19
Cameroon	12.0	12.0	Q1009	20
Canada	1.0	2.0	Q16	21
Central African Republic	13.0	22.0	Q929	22
Chile	1.0	1.0	Q298	23
China	4.0	2.0	Q148	24
Colombia	5.0	2.0	Q739	25
Congo, Rep.	2.0	5.0	Q971	26
Costa Rica	4.0	5.0	Q800	27
Cote d'Ivoire	42.0	25.0	Q1008	28
Croatia	1.0	0.0	Q224	29
Cyprus	0.0	0.0	Q229	30
Dominican Republic	8.0	6.0	Q786	31
Egypt, Arab Rep.	5.0	4.0	Q79	32
El Salvador	5.0	3.0	Q792	33
Equatorial Guinea	1.0	1.0	Q983	34
Ethiopia	29.0	22.0	Q115	35
Fiji	20.0	19.0	Q712	36
France	0.0	0.0	Q142	37
Gabon	16.0	16.0	Q1000	38
Georgia	1.0	1.0	Q230	39
Ghana	17.0	13.0	Q117	40
Greece	0.0	0.0	Q41	41
Guatemala	7.0	5.0	Q774	42
Honduras	4.0	3.0	Q783	43
Iceland	1.0	0.0	Q189	44
India	13.0	11.0	Q668	45
Indonesia	3.0	2.0	Q252	46
Israel	1.0	1.0	Q801	47
Jamaica	9.0	11.0	Q766	48
Japan	2.0	1.0	Q17	49
Jordan	6.0	4.0	Q810	50
Kazakhstan	17.0	19.0	Q232	51
Kiribati	17.0	2.0	Q710	52
Korea, Rep.	4.0	2.0	Q884	53
Kuwait	1.0	2.0	Q817	54
Latvia	0.0	0.0	Q211	55
Lebanon	7.0	5.0	Q822	56
Lesotho	9.0	11.0	Q1013	57
Madagascar	11.0	12.0	Q1019	58
Malawi	6.0	8.0	Q1020	59
Malaysia	2.0	2.0	Q833	60
Mali	10.0	11.0	Q912	61
Marshall Islands	8.0	6.0	Q709	62
Mauritius	2.0	1.0	Q1027	63
Mexico	1.0	2.0	Q96	64
Micronesia, Fed. Sts.	5.0	3.0	Q702	65
Moldova	4.0	3.0	Q217	66
Mongolia	6.0	7.0	Q711	67
Morocco	6.0	3.0	Q1028	68
Mozambique	5.0	7.0	Q1029	69
Myanmar	4.0	3.0	Q836	70
Namibia	26.0	29.0	Q1030	71
Nepal	16.0	16.0	Q837	72
New Zealand	3.0	3.0	Q664	73
Nicaragua	4.0	3.0	Q811	74
North Macedonia	4.0	3.0	Q221	75
Norway	0.0	0.0	Q20	76
Palau	9.0	12.0	Q695	77
Paraguay	8.0	7.0	Q733	78
Peru	2.0	1.0	Q419	79
Philippines	21.0	21.0	Q928	80
Romania	0.0	0.0	Q218	81
Russian Federation	26.0	11.0	Q159	82
Samoa	7.0	8.0	Q683	83
San Marino	1.0	0.0	Q238	84
Saudi Arabia	2.0	2.0	Q851	85
Seychelles	18.0	4.0	Q1042	86
Slovak Republic	0.0	0.0	Q214	87
Solomon Islands	30.0	32.0	Q685	88
South Africa	3.0	4.0	Q258	89
Sri Lanka	16.0	18.0	Q854	90
St. Kitts and Nevis	28.0	17.0	Q763	91
St. Lucia	45.0	29.0	Q760	92
St. Vincent and the Grenadines	16.0	18.0	Q757	93
Sudan	14.0	16.0	Q1049	94
Switzerland	1.0	1.0	Q39	95
Tanzania	5.0	7.0	Q924	96
Thailand	5.0	3.0	Q869	97
Timor-Leste	0.0	2.0	Q574	98
Togo	18.0	16.0	Q945	99
Tonga	6.0	6.0	Q678	100
Trinidad and Tobago	4.0	6.0	Q754	101
Turkey	1.0	1.0	Q43	102
Ukraine	2.0	2.0	Q212	103
United Arab Emirates	0.0	0.0	Q878	104
United States	1.0	2.0	Q30	105
Uruguay	4.0	3.0	Q77	106
Uzbekistan	7.0	4.0	Q265	107
Vanuatu	16.0	10.0	Q686	108
West Bank and Gaza	14.0	26.0	Q407199	109
Zambia	8.0	6.0	Q953	110
Zimbabwe	31.0	8.0	Q954	111
