Country	Exports2010	Exports2019	ID	id_row
Suriname	15.0	32.0	Q730	156
Sweden	20.0	14.0	Q34	157
Switzerland	11.0	11.0	Q39	158
Tajikistan	44.0	80.0	Q863	159
Tanzania	23.0	31.0	Q924	160
Thailand	17.0	9.0	Q869	161
Timor-Leste	3.0	4.0	Q574	162
Togo	45.0	38.0	Q945	163
Tonga	23.0	19.0	Q678	164
Trinidad and Tobago	26.0	27.0	Q754	165
Tunisia	29.0	31.0	Q948	166
Turkey	26.0	39.0	Q43	167
Uganda	4.0	11.0	Q1036	168
Ukraine	45.0	36.0	Q212	169
United Kingdom	10.0	10.0	Q145	170
United States	13.0	11.0	Q30	171
Uruguay	19.0	11.0	Q77	172
Vanuatu	12.0	15.0	Q686	173
Venezuela, RB	35.0	47.0	Q717	174
West Bank and Gaza	3.0	2.0	Q407199	175
Yemen, Rep.	13.0	29.0	Q805	176
Zambia	8.0	4.0	Q953	177
Zimbabwe	30.0	45.0	Q954	178
