Country	Consumption2010	Consumption2019	ID	id_row
Turkey	63.1	57.4	Q43	157
Uganda	76.7	70.9	Q1036	158
Ukraine	63.8	75.3	Q212	159
United Arab Emirates	42.2	38.9	Q878	160
United Kingdom	64.2	64.9	Q145	161
United States	67.9	68.0	Q30	162
Uruguay	67.0	66.4	Q77	163
Uzbekistan	57.0	54.4	Q265	164
Vietnam	66.6	68.2	Q881	165
Virgin Islands (U.S.)	56.0	65.6	Q11703	166
West Bank and Gaza	93.7	89.7	Q407199	167
Zambia	54.6	43.2	Q953	168
Zimbabwe	89.8	77.0	Q954	169
