Country	Tons	Change	ID	id_row
Afghanistan	18168.9	43.5	Q889	0
Albania	8898.6	-19.9	Q222	1
Algeria	176471.2	65.8	Q262	2
American Samoa	58.8	188.3	Q16641	3
Angola	41657.2	-18.0	Q916	4
Antigua and Barbuda	552.7	48.5	Q781	5
Argentina	380295.3	42.7	Q414	6
Armenia	12319.4	-50.2	Q399	7
Australia	761686.3	57.9	Q408	8
Austria	90460.2	13.3	Q40	9
Azerbaijan	56537.1	-27.6	Q227	10
Bahamas, The	4865.2	35.4	Q778	11
Bahrain	32849.1	92.7	Q398	12
Bangladesh	183300.6	44.7	Q902	13
Barbados	1540.6	28.4	Q244	14
Belarus	109647.2	-40.9	Q184	15
Belgium	133373.7	-3.3	Q31	16
Belize	1569.9	148.1	Q242	17
Benin	33533.1	-28.9	Q962	18
Bermuda	632.9	-3.1	Q23635	19
Bhutan	3297.0	157.5	Q917	20
Bolivia	621726.7	222.7	Q750	21
Bosnia and Herzegovina	27108.4	-13.4	Q225	22
Botswana	82110.3	514.0	Q963	23
Brazil	2989418.0	86.1	Q155	24
Brunei Darussalam	14829.0	-19.3	Q921	25
Bulgaria	67942.7	-37.1	Q219	26
Burkina Faso	43910.4	261.4	Q965	27
Burundi	6254.4	123.5	Q967	28
Cambodia	127399.6	552.6	Q424	29
Cameroon	100922.1	3.5	Q1009	30
Canada	1027063.9	68.7	Q16	31
Central African Republic	515134.1	252.3	Q929	32
Chad	109796.0	498.7	Q657	33
Chile	120687.9	120.5	Q298	34
China	12454710.6	220.0	Q148	35
Hong Kong SAR, China	58633.5	57.4	Q8646	36
Colombia	173411.8	-0.6	Q739	37
Comoros	564.2	91.7	Q970	38
Congo, Dem. Rep.	802271.3	-41.7	Q974	39
Congo, Rep.	35743.9	-43.8	Q971	40
Costa Rica	12274.1	42.8	Q800	41
Cote d'Ivoire	33502.2	-78.0	Q1008	42
Croatia	30421.0	-12.4	Q224	43
Cuba	52418.5	-8.1	Q241	44
Cyprus	7431.2	44.8	Q229	45
Czech Republic	138957.4	-29.2	Q213	46
Denmark	53703.2	-25.9	Q35	47
Djibouti	2766.3	51.9	Q977	48
Dominica	222.8	70.5	Q784	49
Dominican Republic	33395.1	96.4	Q786	50
Ecuador	52746.6	70.9	Q736	51
Egypt, Arab Rep.	295499.7	112.4	Q79	52
El Salvador	12577.8	88.1	Q792	53
Equatorial Guinea	6374.2	2519.0	Q983	54
Eritrea	4977.9	49.3	Q986	55
Estonia	23292.8	-58.2	Q191	56
Ethiopia	185292.2	175.3	Q115	57
Fiji	2258.2	-3.0	Q712	58
Finland	69072.9	-8.6	Q33	59
France	499146.6	-10.0	Q142	60
Gabon	34570.6	181.6	Q1000	61
Gambia, The	3529.2	196.7	Q1005	62
Georgia	14627.7	-61.7	Q230	63
Germany	951716.7	-24.2	Q183	64
Ghana	107784.3	265.4	Q117	65
Greece	100571.2	4.0	Q41	66
Grenada	726.2	359.9	Q769	67
Guam	85.9	42.7	Q16635	68
Guatemala	31515.5	111.4	Q774	69
Guinea	101349.0	55.5	Q1006	70
Guinea-Bissau	7604.7	366.9	Q1007	71
Guyana	6140.7	-63.3	Q734	72
Haiti	8835.5	64.9	Q790	73
Honduras	20467.2	49.2	Q783	74
Hungary	62988.4	-35.4	Q28	75
Iceland	5514.9	-74.7	Q189	76
India	3002894.9	116.4	Q668	77
Indonesia	780550.8	-33.0	Q252	78
Iraq	155529.5	55.7	Q796	79
Ireland	62433.0	-4.8	Q27	80
Israel	84044.4	112.2	Q801	81
Italy	482634.0	-5.1	Q38	82
Jamaica	15474.3	66.0	Q766	83
Japan	1478858.9	13.4	Q17	84
Jordan	27198.6	134.5	Q810	85
Kazakhstan	366502.2	-1.6	Q232	86
Kenya	54302.1	39.4	Q114	87
Korea, Dem. Peopleâ€™s Rep.	109895.0	-32.6	Q423	88
Korea, Rep.	668989.7	122.6	Q884	89
Kyrgyz Republic	13794.7	-58.6	Q813	90
Lao PDR	161718.7	436.8	Q819	91
Latvia	13943.9	-58.6	Q211	92
Lesotho	3472.7	84.5	Q1013	93
Liberia	2833.9	61.7	Q1014	94
Libya	82129.1	34.5	Q1016	95
Lithuania	29442.2	-45.8	Q37	96
Luxembourg	12611.0	-3.7	Q32	97
North Macedonia	12992.2	-9.3	Q221	98
Madagascar	117932.6	143.9	Q1019	99
Malawi	21632.1	153.4	Q1020	100
Malaysia	279098.4	40.5	Q833	101
Mali	77437.9	151.5	Q912	102
Mauritania	13343.2	123.2	Q1025	103
Mexico	663425.0	34.3	Q96	104
Moldova	11350.6	-70.2	Q217	105
Mongolia	24860.4	-57.2	Q711	106
Morocco	80436.7	114.3	Q1028	107
Mozambique	380308.3	828.9	Q1029	108
Myanmar	528416.2	-39.6	Q836	109
Namibia	38049.3	421.2	Q1030	110
Nepal	40762.7	62.3	Q837	111
Netherlands	195873.8	-12.7	Q55	112
New Zealand	78131.0	18.9	Q664	113
Nicaragua	16323.0	59.0	Q811	114
Niger	11460.9	65.4	Q1032	115
Nigeria	301010.1	84.4	Q1033	116
Northern Mariana Islands	12.5	144.1	Q16644	117
Norway	63536.7	-5.8	Q20	118
Oman	62201.6	75.9	Q842	119
Pakistan	369734.6	114.3	Q843	120
Panama	16248.8	138.4	Q804	121
Papua New Guinea	11087.5	-62.4	Q691	122
Paraguay	50844.0	-20.3	Q733	123
Peru	74807.0	25.6	Q419	124
Philippines	167297.5	73.6	Q928	125
Poland	414606.9	-12.5	Q36	126
Portugal	72524.2	24.6	Q45	127
Puerto Rico	3293.3	12.0	Q1183	128
Qatar	103155.1	369.3	Q846	129
Romania	121762.2	-50.8	Q218	130
Russian Federation	2803398.5	-22.0	Q159	131
Rwanda	6689.9	105.7	Q1037	132
Samoa	356.1	24.0	Q683	133
Sao Tome and Principe	195.5	100.6	Q1039	134
Senegal	54185.4	391.9	Q1041	135
Seychelles	910.3	149.2	Q1042	136
Sierra Leone	11810.9	22.7	Q1044	137
Slovak Republic	46301.3	-35.9	Q214	138
Slovenia	21074.7	5.5	Q215	139
Solomon Islands	4591.5	-22.2	Q685	140
Somalia	21916.3	22.1	Q1045	141
Spain	348257.3	18.7	Q29	142
Sri Lanka	30451.8	65.7	Q854	143
St. Lucia	598.8	115.3	Q760	144
St. Vincent and the Grenadines	319.2	127.0	Q757	145
Sudan	491982.3	430.9	Q1049	146
Suriname	2657.9	-74.7	Q730	147
Eswatini	3478.0	53.8	Q1050	148
Sweden	65767.8	-14.8	Q34	149
Switzerland	54108.1	-4.1	Q39	150
Syrian Arab Republic	77118.7	58.7	Q858	151
Tajikistan	15364.6	-29.1	Q863	152
Tanzania	235353.1	147.8	Q924	153
