Country	Bothsexes	Male	Female	ID	id_row
Afghanistan	19965.0	10702.0	9263.0	Q889	0
Albania	5138.0	2903.0	2235.0	Q222	1
Algeria	25166.0	12619.0	12547.0	Q262	2
Angola	8455.0	3952.0	4503.0	Q916	3
Antigua and Barbuda	134.0	72.0	62.0	Q781	4
Argentina	65657.0	34104.0	31554.0	Q414	5
Armenia	7953.0	4399.0	3554.0	Q399	6
Australia	45749.0	25603.0	20146.0	Q408	7
Austria	20899.0	11202.0	9697.0	Q40	8
Azerbaijan	10136.0	5900.0	4236.0	Q227	9
Bahamas	532.0	286.0	246.0	Q778	10
Bahrain	456.0	249.0	207.0	Q398	11
Bangladesh	99620.0	54768.0	44852.0	Q902	12
Barbados	732.0	394.0	338.0	Q244	13
Belarus	18808.0	10684.0	8124.0	Q184	14
Belgium	28807.0	16036.0	12771.0	Q31	15
Belize	287.0	168.0	120.0	Q242	16
Benin	3918.0	1715.0	2203.0	Q962	17
Bhutan	458.0	258.0	200.0	Q917	18
Bolivia (Plurinational State of)	7948.0	3462.0	4486.0	Q750	19
Bosnia and Herzegovina	7262.0	4307.0	2955.0	Q225	20
Botswana	1099.0	577.0	522.0	Q963	21
Brazil	233851.0	125107.0	108743.0	Q155	22
Brunei Darussalam	402.0	215.0	187.0	Q921	23
Bulgaria	19367.0	11413.0	7954.0	Q219	24
Burkina Faso	7307.0	2919.0	4388.0	Q965	25
Burundi	6585.0	2922.0	3664.0	Q967	26
Cabo Verde	310.0	140.0	170.0	Q1011	27
Cambodia	13067.0	6710.0	6357.0	Q424	28
Cameroon	11576.0	5576.0	5999.0	Q1009	29
Canada	78306.0	41065.0	37241.0	Q16	30
Central African Republic	2397.0	1139.0	1258.0	Q929	31
Chad	5325.0	2422.0	2903.0	Q657	32
Chile	27958.0	14579.0	13379.0	Q298	33
China	2369538.0	1566574.0	802964.0	Q148	34
Colombia	56239.0	28003.0	28237.0	Q739	35
Comoros	467.0	204.0	263.0	Q970	36
Congo	1814.0	953.0	862.0	Q971	37
Costa Rica	5774.0	3145.0	2630.0	Q800	38
Côte d'Ivoire	10442.0	5407.0	5035.0	Q1008	39
Croatia	14151.0	8150.0	6001.0	Q224	40
Cuba	24510.0	14237.0	10273.0	Q241	41
Cyprus	1929.0	1161.0	768.0	Q229	42
Czechia	27725.0	15381.0	12343.0	Q213	43
Democratic People's Republic of Korea	42483.0	21705.0	20778.0	Q423	44
Democratic Republic of the Congo	38769.0	18927.0	19841.0	Q974	45
Denmark	16506.0	8704.0	7801.0	Q35	46
Djibouti	549.0	239.0	310.0	Q977	47
Dominican Republic	10479.0	5785.0	4693.0	Q786	48
Ecuador	13973.0	6730.0	7243.0	Q736	49
Egypt	77673.0	42804.0	34868.0	Q79	50
El Salvador	6605.0	2845.0	3760.0	Q792	51
Equatorial Guinea	475.0	241.0	234.0	Q983	52
Eritrea	2715.0	1052.0	1663.0	Q986	53
Estonia	3959.0	2122.0	1837.0	Q191	54
Eswatini	742.0	389.0	353.0	Q1050	55
Ethiopia	50913.0	18916.0	31998.0	Q115	56
Fiji	613.0	276.0	338.0	Q712	57
Finland	12374.0	6599.0	5775.0	Q33	58
France	173396.0	99394.0	74002.0	Q142	59
Gabon	757.0	402.0	355.0	Q1000	60
Gambia	587.0	337.0	250.0	Q1005	61
Georgia	7040.0	3830.0	3210.0	Q230	62
Germany	235379.0	129084.0	106295.0	Q183	63
Ghana	11923.0	6005.0	5917.0	Q117	64
Greece	31408.0	19150.0	12258.0	Q41	65
Grenada	155.0	84.0	71.0	Q769	66
Guatemala	7993.0	3603.0	4390.0	Q774	67
Guinea	4921.0	2432.0	2489.0	Q1006	68
Guinea-Bissau	719.0	333.0	387.0	Q1007	69
Guyana	548.0	230.0	319.0	Q734	70
Haiti	6824.0	3293.0	3530.0	Q790	71
Honduras	5502.0	2535.0	2968.0	Q783	72
Hungary	33009.0	18049.0	14960.0	Q28	73
Iceland	654.0	334.0	320.0	Q189	74
India	815148.0	422514.0	392633.0	Q668	75
Indonesia	216307.0	115704.0	100603.0	Q252	76
Iran (Islamic Republic of)	59741.0	34345.0	25396.0	Q794	77
Iraq	21151.0	10761.0	10390.0	Q796	78
Ireland	9169.0	4754.0	4414.0	Q27	79
Israel	12135.0	6316.0	5819.0	Q801	80
Italy	173529.0	96685.0	76844.0	Q38	81
Jamaica	3910.0	2326.0	1584.0	Q766	82
Japan	399687.0	231983.0	167704.0	Q17	83
Jordan	4446.0	2468.0	1978.0	Q810	84
Kazakhstan	25981.0	13506.0	12476.0	Q232	85
Kenya	27375.0	13029.0	14346.0	Q114	86
Kiribati	75.0	35.0	40.0	Q710	87
Kuwait	1682.0	925.0	757.0	Q817	88
Kyrgyzstan	3938.0	2059.0	1879.0	Q813	89
Lao People's Democratic Republic	5469.0	3223.0	2246.0	Q819	90
Latvia	5939.0	3174.0	2765.0	Q211	91
Lebanon	6101.0	3337.0	2764.0	Q822	92
Lesotho	1277.0	662.0	614.0	Q1013	93
Liberia	1874.0	861.0	1013.0	Q1014	94
Libya	4039.0	2289.0	1751.0	Q1016	95
Lithuania	8186.0	4531.0	3655.0	Q37	96
Luxembourg	1137.0	625.0	512.0	Q32	97
Madagascar	14977.0	7925.0	7052.0	Q1019	98
Malawi	12316.0	6304.0	6013.0	Q1020	99
Malaysia	24490.0	12857.0	11634.0	Q833	100
Maldives	220.0	133.0	87.0	Q826	101
Mali	7765.0	2881.0	4883.0	Q912	102
Malta	949.0	528.0	421.0	Q233	103
Mauritania	1581.0	717.0	864.0	Q1025	104
Mauritius	1227.0	581.0	646.0	Q1027	105
Mexico	80054.0	39130.0	40924.0	Q96	106
Micronesia (Federated States of)	75.0	39.0	36.0	Q702	107
Mongolia	3993.0	2313.0	1680.0	Q711	108
Montenegro	1421.0	830.0	591.0	Q236	109
Morocco	25995.0	14486.0	11509.0	Q1028	110
Mozambique	20781.0	9718.0	11063.0	Q1029	111
Myanmar	53965.0	29205.0	24759.0	Q836	112
Namibia	992.0	533.0	459.0	Q1030	113
Nepal	17049.0	8051.0	8998.0	Q837	114
Netherlands	47314.0	25746.0	21569.0	Q55	115
New Zealand	9081.0	4849.0	4233.0	Q664	116
Nicaragua	4122.0	2025.0	2097.0	Q811	117
Niger	5569.0	2646.0	2924.0	Q1032	118
Nigeria	81551.0	35993.0	45558.0	Q1033	119
Norway	11368.0	6130.0	5238.0	Q20	120
Oman	1270.0	822.0	448.0	Q842	121
Pakistan	117145.0	56597.0	60548.0	Q843	122
Panama	3516.0	1890.0	1625.0	Q804	123
Papua New Guinea	6793.0	3125.0	3668.0	Q691	124
Paraguay	5779.0	3144.0	2635.0	Q733	125
Peru	28549.0	13560.0	14989.0	Q419	126
Philippines	65916.0	31743.0	34173.0	Q928	127
Poland	106886.0	59350.0	47536.0	Q36	128
Portugal	28172.0	16941.0	11232.0	Q45	129
Qatar	640.0	440.0	199.0	Q846	130
Republic of Korea	84573.0	52527.0	32046.0	Q884	131
Republic of Moldova	7119.0	4137.0	2982.0	Q217	132
North Macedonia	3989.0	2416.0	1572.0	Q221	133
Romania	52259.0	30959.0	21301.0	Q218	134
Russian Federation	359090.0	193631.0	165459.0	Q159	135
Rwanda	8529.0	4234.0	4295.0	Q1037	136
Saint Lucia	256.0	139.0	117.0	Q760	137
Saint Vincent and the Grenadines	166.0	98.0	69.0	Q757	138
Samoa	144.0	75.0	69.0	Q683	139
Sao Tome and Principe	111.0	56.0	54.0	Q1039	140
Saudi Arabia	10845.0	6116.0	4729.0	Q851	141
Senegal	5880.0	2535.0	3345.0	Q1041	142
Serbia	23521.0	13612.0	9909.0	Q403	143
Seychelles	143.0	86.0	57.0	Q1042	144
Sierra Leone	2512.0	1101.0	1412.0	Q1044	145
Singapore	8435.0	4671.0	3764.0	Q334	146
Slovakia	14672.0	8418.0	6254.0	Q214	147
Slovenia	6266.0	3560.0	2706.0	Q215	148
Solomon Islands	368.0	173.0	195.0	Q685	149
Somalia	6028.0	2502.0	3526.0	Q1045	150
South Africa	50805.0	25257.0	25548.0	Q258	151
South Sudan	8321.0	3992.0	4329.0	Q958	152
Spain	110013.0	67096.0	42917.0	Q29	153
Sri Lanka	20406.0	10716.0	9691.0	Q854	154
Sudan	17653.0	9173.0	8480.0	Q1049	155
Suriname	627.0	328.0	299.0	Q730	156
Sweden	23324.0	12255.0	11069.0	Q34	157
Switzerland	18188.0	10081.0	8107.0	Q39	158
Syrian Arab Republic	14195.0	7489.0	6706.0	Q858	159
Tajikistan	4555.0	2424.0	2131.0	Q863	160
Thailand	94760.0	55397.0	39363.0	Q869	161
Timor-Leste	838.0	448.0	389.0	Q574	162
Togo	3336.0	1431.0	1905.0	Q945	163
Tonga	122.0	66.0	56.0	Q678	164
Trinidad and Tobago	1874.0	987.0	887.0	Q754	165
Tunisia	8323.0	5219.0	3104.0	Q948	166
Turkey	102561.0	65383.0	37178.0	Q43	167
Turkmenistan	4528.0	2452.0	2076.0	Q874	168
Uganda	25573.0	13618.0	11955.0	Q1036	169
Ukraine	97076.0	54159.0	42917.0	Q212	170
United Arab Emirates	1803.0	1083.0	720.0	Q878	171
United Kingdom of Great Britain and Northern Ireland	168188.0	89353.0	78835.0	Q145	172
United Republic of Tanzania	27207.0	13086.0	14121.0	Q924	173
United States of America	627709.0	331774.0	295935.0	Q30	174
Uruguay	8615.0	4706.0	3908.0	Q77	175
Uzbekistan	13846.0	6734.0	7113.0	Q265	176
Vanuatu	200.0	109.0	92.0	Q686	177
Venezuela (Bolivarian Republic of)	28570.0	14565.0	14005.0	Q717	178
Viet Nam	102283.0	57150.0	45133.0	Q881	179
Yemen	10454.0	5225.0	5229.0	Q805	180
Zambia	8024.0	3661.0	4363.0	Q953	181
Zimbabwe	8872.0	4136.0	4736.0	Q954	182
