Country	Total_2000	Total_2018	Youth_2000	Youth_2018	ID	id_row
Afghanistan	42.0	43.4	32.5	33.2	Q889	0
Albania	51.4	49.0	39.7	22.1	Q222	1
Algeria	30.6	36.4	17.9	18.2	Q262	2
Angola	74.6	72.1	52.3	47.3	Q916	3
Argentina	52.6	55.7	31.1	29.6	Q414	4
Armenia	47.6	45.9	25.4	21.8	Q399	5
Australia	59.4	62.2	61.7	59.5	Q408	6
Austria	55.8	57.8	52.8	51.1	Q40	7
Azerbaijan	55.7	63.6	35.5	38.1	Q227	8
Bahamas, The	69.5	67.2	45.4	40.7	Q778	9
Bahrain	64.8	72.7	39.4	41.8	Q398	10
Bangladesh	55.9	56.4	43.5	36.9	Q902	11
Barbados	61.9	59.4	46.3	32.8	Q244	12
Belarus	52.0	61.5	35.3	41.6	Q184	13
Belgium	48.8	50.5	30.3	25.0	Q31	14
Belize	54.4	60.7	39.9	42.0	Q242	15
Benin	71.6	69.1	59.6	40.3	Q962	16
Bhutan	67.8	64.9	47.7	28.6	Q917	17
Bolivia	68.7	69.4	49.2	46.8	Q750	18
Bosnia and Herzegovina	33.4	38.0	13.8	19.7	Q225	19
Botswana	49.1	58.4	26.0	28.6	Q963	20
Brazil	57.8	56.2	48.8	40.0	Q155	21
Brunei Darussalam	64.2	59.2	39.7	26.7	Q921	22
Bulgaria	41.8	52.6	20.5	21.3	Q219	23
Burkina Faso	75.7	62.5	69.9	47.4	Q965	24
Burundi	82.0	78.0	66.4	52.4	Q967	25
Cabo Verde	52.7	52.9	39.5	25.6	Q1011	26
Cambodia	78.0	81.7	64.7	71.2	Q424	27
Cameroon	76.1	73.6	61.6	52.1	Q1009	28
Canada	60.8	61.5	56.2	56.4	Q16	29
Central African Republic	69.5	69.3	50.4	52.3	Q929	30
Chad	71.6	69.4	57.5	53.5	Q657	31
Channel Islands	54.4	54.1	42.7	41.6	Q42314	32
Chile	50.4	58.0	30.2	27.8	Q298	33
China	74.8	65.6	64.1	40.8	Q148	34
Hong Kong SAR, China	58.3	58.6	41.7	37.8	Q8646	35
Macao SAR, China	60.9	69.3	38.6	44.4	Q14773	36
Colombia	53.9	62.4	36.3	42.9	Q739	37
Comoros	40.1	41.3	15.8	12.6	Q970	38
Congo, Dem. Rep.	69.5	61.0	42.6	32.8	Q974	39
Congo, Rep.	54.6	62.8	26.6	33.2	Q971	40
Costa Rica	56.5	56.2	45.0	33.7	Q800	41
Cote d'Ivoire	62.4	55.2	46.6	33.0	Q1008	42
Croatia	45.0	47.0	24.7	26.0	Q224	43
Cuba	49.1	52.8	31.4	35.4	Q241	44
Cyprus	57.8	57.9	39.2	32.1	Q229	45
Czech Republic	54.9	59.4	37.0	28.7	Q213	46
Denmark	62.8	59.2	67.2	57.2	Q35	47
Djibouti	55.5	54.0	47.1	31.9	Q977	48
Dominican Republic	55.7	60.6	39.9	38.4	Q786	49
Ecuador	64.3	65.6	47.8	41.8	Q736	50
Egypt, Arab Rep.	42.0	40.9	23.9	19.5	Q79	51
El Salvador	57.2	56.6	42.3	39.4	Q792	52
Equatorial Guinea	55.1	57.8	29.2	27.1	Q983	53
Eritrea	74.1	74.5	67.6	63.0	Q986	54
Estonia	51.1	60.4	30.2	42.3	Q191	55
Eswatini	38.4	40.6	14.6	13.7	Q1050	56
Ethiopia	77.5	77.8	71.1	68.7	Q115	57
Fiji	55.1	55.3	36.8	32.9	Q712	58
Finland	54.2	54.9	35.2	44.2	Q33	59
France	49.7	50.3	28.7	30.5	Q142	60
French Polynesia	52.0	47.8	26.9	24.4	Q30971	61
Gabon	38.9	42.2	13.5	11.9	Q1000	62
Gambia, The	52.9	53.9	35.8	36.0	Q1005	63
Georgia	56.6	58.9	28.5	27.5	Q230	64
Germany	53.5	58.8	46.8	47.1	Q183	65
Ghana	67.0	65.1	45.1	37.8	Q117	66
Greece	47.4	42.0	29.0	14.6	Q41	67
Guam	58.9	61.4	39.7	49.3	Q16635	68
Guatemala	60.6	60.8	53.8	50.8	Q774	69
Guinea	61.1	58.9	44.4	40.1	Q1006	70
Guinea-Bissau	70.2	70.2	55.1	50.4	Q1007	71
Guyana	50.5	49.5	37.5	39.1	Q734	72
Haiti	58.1	57.9	27.3	23.5	Q790	73
Honduras	63.5	64.9	54.9	51.9	Q783	74
Hungary	45.8	54.5	32.4	29.1	Q28	75
Iceland	76.8	73.3	73.4	75.1	Q189	76
India	54.3	46.8	36.8	21.3	Q668	77
Indonesia	63.2	64.5	43.0	39.7	Q252	78
Iran, Islamic Rep.	39.2	39.5	25.7	20.2	Q794	79
Iraq	38.6	37.3	29.5	20.4	Q796	80
Ireland	59.8	58.8	61.5	40.4	Q27	81
Israel	54.4	61.5	48.6	44.6	Q801	82
Italy	42.5	44.4	26.0	17.7	Q38	83
Jamaica	56.5	59.8	29.0	25.4	Q766	84
Japan	59.6	60.4	42.3	45.7	Q17	85
Jordan	36.3	33.5	19.8	14.9	Q810	86
Kazakhstan	61.9	65.7	42.4	38.9	Q232	87
Kenya	69.0	72.5	45.7	40.3	Q114	88
Korea, Dem. Peopleâ€™s Rep.	79.8	78.2	71.3	70.5	Q423	89
Korea, Rep.	58.4	60.5	31.2	27.1	Q884	90
Kuwait	67.0	71.9	25.5	22.3	Q817	91
Kyrgyz Republic	59.5	56.4	42.0	34.1	Q813	92
Lao PDR	78.5	77.9	67.8	59.0	Q819	93
Latvia	48.1	57.2	30.2	34.7	Q211	94
Lebanon	42.4	44.2	24.5	24.5	Q822	95
Lesotho	47.6	51.6	32.7	28.4	Q1013	96
Liberia	72.7	74.1	54.7	54.8	Q1014	97
Libya	36.2	40.5	9.6	8.5	Q1016	98
Lithuania	50.5	58.0	26.6	33.4	Q37	99
Luxembourg	52.1	55.9	31.8	28.5	Q32	100
Madagascar	81.6	84.6	68.7	72.3	Q1019	101
Malawi	73.3	72.3	50.4	57.0	Q1020	102
Malaysia	59.8	62.0	38.8	36.6	Q833	103
Maldives	53.2	64.8	37.2	49.1	Q826	104
Mali	66.0	65.8	53.6	50.7	Q912	105
Malta	46.7	54.6	52.8	49.3	Q233	106
Mauritania	45.5	41.5	36.8	21.4	Q1025	107
Mauritius	53.5	54.6	36.2	31.5	Q1027	108
Mexico	58.4	58.7	49.5	41.5	Q96	109
Moldova	46.7	42.1	20.4	19.3	Q217	110
Mongolia	56.4	56.1	36.0	23.8	Q711	111
Montenegro	33.9	46.2	11.9	23.7	Q236	112
Morocco	43.2	41.3	30.8	20.8	Q1028	113
