Country	Consumption2010	Consumption2019	ID	id_row
Afghanistan	114.5	91.9	Q889	0
Albania	89.3	91.8	Q222	1
Algeria	51.5	62.6	Q262	2
Angola	52.8	66.8	Q916	3
Argentina	79.4	79.6	Q414	4
Armenia	98.3	96.9	Q399	5
Aruba	87.6	77.5	Q21203	6
Australia	74.2	74.5	Q408	7
Austria	74.0	70.8	Q40	8
Azerbaijan	50.2	67.5	Q227	9
Bahamas, The	74.2	81.2	Q778	10
Bahrain	54.1	55.9	Q398	11
Bangladesh	79.2	75.2	Q902	12
Barbados	93.2	89.7	Q244	13
Belarus	71.7	70.9	Q184	14
Belgium	75.2	74.6	Q31	15
Belize	86.5	85.9	Q242	16
Benin	89.7	78.8	Q962	17
Bhutan	65.8	77.6	Q917	18
Bolivia	76.1	86.6	Q750	19
Bosnia and Herzegovina	107.9	96.3	Q225	20
Botswana	68.9	69.7	Q963	21
Brazil	79.2	85.2	Q155	22
Brunei Darussalam	36.9	45.5	Q921	23
Bulgaria	80.2	77.1	Q219	24
Burkina Faso	86.1	78.7	Q965	25
Burundi	102.9	105.2	Q967	26
Cabo Verde	81.5	79.2	Q1011	27
Cambodia	87.6	74.2	Q424	28
Cameroon	81.6	81.1	Q1009	29
Canada	78.7	79.0	Q16	30
Central African Republic	89.9	101.3	Q929	31
Chad	72.2	79.7	Q657	32
Chile	70.4	77.6	Q298	33
China	48.9	55.1	Q148	34
Hong Kong SAR, China	70.2	79.3	Q8646	35
Macao SAR, China	31.6	35.7	Q14773	36
Colombia	79.7	84.0	Q739	37
Comoros	102.1	101.6	Q970	38
Congo, Dem. Rep.	79.7	77.8	Q974	39
Congo, Rep.	49.1	38.6	Q971	40
Costa Rica	82.2	80.7	Q800	41
Cote d'Ivoire	79.3	77.5	Q1008	42
Croatia	80.6	77.8	Q224	43
Cuba	85.1	86.0	Q241	44
Cyprus	84.3	81.3	Q229	45
Czech Republic	69.8	67.7	Q213	46
Denmark	75.0	70.6	Q35	47
Dominican Republic	84.3	80.8	Q786	48
Ecuador	76.5	75.0	Q736	49
Egypt, Arab Rep.	85.7	93.8	Q79	50
El Salvador	103.0	99.0	Q792	51
Equatorial Guinea	35.1	83.9	Q983	52
Estonia	72.1	68.6	Q191	53
Eswatini	95.5	89.3	Q1050	54
Ethiopia	82.8	77.7	Q115	55
Finland	76.3	75.7	Q33	56
France	79.3	76.8	Q142	57
Gabon	44.1	47.8	Q1000	58
Gambia, The	103.4	104.3	Q1005	59
Georgia	96.5	82.1	Q230	60
Germany	74.7	72.6	Q183	61
Ghana	100.7	77.9	Q117	62
Greece	91.6	87.5	Q41	63
Greenland	90.0	80.3	Q223	64
Guatemala	96.6	96.0	Q774	65
Guinea	92.5	82.0	Q1006	66
Guinea-Bissau	109.5	101.2	Q1007	67
Guyana	102.5	76.3	Q734	68
Haiti	124.0	113.0	Q790	69
Honduras	96.0	93.8	Q783	70
Hungary	74.1	67.7	Q28	71
Iceland	76.2	75.1	Q189	72
India	65.7	72.0	Q668	73
Indonesia	65.2	66.7	Q252	74
Iran, Islamic Rep.	53.7	61.1	Q794	75
Iraq	63.4	84.7	Q796	76
Ireland	66.4	42.4	Q27	77
Israel	79.3	77.8	Q801	78
Italy	81.3	79.0	Q38	79
Jamaica	98.0	89.8	Q766	80
Japan	77.2	75.4	Q17	81
Jordan	90.0	100.7	Q810	82
Kazakhstan	56.2	61.6	Q232	83
Kenya	91.3	95.5	Q114	84
Kiribati	151.3	150.7	Q710	85
Korea, Rep.	64.6	65.8	Q884	86
Kosovo	102.6	98.6	Q1246	87
Kuwait	46.0	61.8	Q817	88
Kyrgyz Republic	102.7	98.9	Q813	89
Latvia	81.5	77.8	Q211	90
Lebanon	100.1	101.9	Q822	91
Lesotho	133.0	112.9	Q1013	92
Liberia	154.0	147.2	Q1014	93
Lithuania	83.9	77.7	Q37	94
Luxembourg	49.2	46.6	Q32	95
Madagascar	87.1	84.9	Q1019	96
Malawi	89.3	93.1	Q1020	97
Malaysia	60.7	71.5	Q833	98
Mali	88.3	88.1	Q912	99
Malta	77.3	59.8	Q233	100
Marshall Islands	130.9	129.9	Q709	101
Mauritania	69.7	69.6	Q1025	102
Mauritius	87.0	90.5	Q1027	103
Mexico	77.1	77.0	Q96	104
Moldova	108.4	98.4	Q217	105
Mongolia	67.9	67.5	Q711	106
Montenegro	103.9	90.2	Q236	107
Morocco	76.7	77.0	Q1028	108
Mozambique	92.0	92.2	Q1029	109
Myanmar	67.3	70.4	Q836	110
Namibia	88.8	99.1	Q1030	111
Nepal	88.5	81.0	Q837	112
Netherlands	71.7	68.1	Q55	113
New Zealand	77.6	75.9	Q664	114
Nicaragua	94.6	87.7	Q811	115
Niger	87.1	85.7	Q1032	116
Nigeria	76.0	82.2	Q1033	117
North Macedonia	93.8	79.8	Q221	118
Norway	63.3	69.3	Q20	119
Oman	51.8	65.0	Q842	120
Pakistan	90.0	94.6	Q843	121
Palau	107.4	101.8	Q695	122
Panama	70.0	63.0	Q804	123
Paraguay	73.3	77.4	Q733	124
Peru	72.3	77.9	Q419	125
Philippines	79.9	85.7	Q928	126
Poland	80.7	75.2	Q36	127
Portugal	86.5	81.0	Q45	128
Puerto Rico	68.7	71.5	Q1183	129
Qatar	30.2	41.9	Q846	130
Romania	79.3	80.9	Q218	131
Russian Federation	70.2	68.7	Q159	132
Rwanda	95.3	89.5	Q1037	133
Saudi Arabia	52.5	62.8	Q851	134
Senegal	93.2	82.1	Q1041	135
Serbia	94.6	85.2	Q403	136
Seychelles	77.6	85.3	Q1042	137
Sierra Leone	86.6	108.2	Q1044	138
Singapore	46.0	46.2	Q334	139
Sint Maarten (Dutch part)	85.4	91.8	Q26273	140
Slovak Republic	76.4	75.7	Q214	141
Slovenia	76.6	70.1	Q215	142
South Africa	79.2	81.5	Q258	143
Spain	78.7	76.3	Q29	144
Sri Lanka	76.9	78.7	Q854	145
Sudan	77.6	78.1	Q1049	146
Sweden	71.9	71.3	Q34	147
Switzerland	65.5	65.0	Q39	148
Tajikistan	122.3	100.2	Q863	149
Tanzania	76.4	67.9	Q924	150
Thailand	68.0	66.2	Q869	151
Timor-Leste	174.6	123.5	Q574	152
Togo	93.9	83.9	Q945	153
Tunisia	79.2	93.0	Q948	154
Turkey	78.0	73.1	Q43	155
Uganda	85.1	78.7	Q1036	156
Ukraine	83.2	95.2	Q212	157
United Arab Emirates	52.3	52.2	Q878	158
United Kingdom	85.9	83.8	Q145	159
United States	84.7	82.1	Q30	160
Uruguay	79.6	81.4	Q77	161
Uzbekistan	70.4	70.8	Q265	162
Vietnam	72.6	74.6	Q881	163
West Bank and Gaza	121.8	115.9	Q407199	164
Zambia	64.0	56.0	Q953	165
Zimbabwe	105.1	102.7	Q954	166
