Country	Timerequired	ID	id_row
Afghanistan	270.0	Q889	0
Albania	252.0	Q222	1
Algeria	265.0	Q262	2
Angola	287.0	Q916	3
Antigua and Barbuda	177.0	Q781	4
Argentina	312.0	Q414	5
Armenia	264.0	Q399	6
Australia	105.0	Q408	7
Austria	131.0	Q40	8
Azerbaijan	159.0	Q227	9
Bahamas, The	155.0	Q778	10
Bahrain	23.0	Q398	11
Bangladesh	435.0	Q902	12
Barbados	241.0	Q244	13
Belarus	170.0	Q184	14
Belgium	136.0	Q31	15
Belize	147.0	Q242	16
Benin	270.0	Q962	17
Bhutan	52.0	Q917	18
Bolivia	1025.0	Q750	19
Bosnia and Herzegovina	411.0	Q225	20
Botswana	120.0	Q963	21
Brazil	1501.0	Q155	22
Brunei Darussalam	53.0	Q921	23
Bulgaria	441.0	Q219	24
Burkina Faso	270.0	Q965	25
Burundi	232.0	Q967	26
Cabo Verde	180.0	Q1011	27
Cambodia	173.0	Q424	28
Cameroon	624.0	Q1009	29
Canada	131.0	Q16	30
Central African Republic	483.0	Q929	31
Chad	834.0	Q657	32
Chile	296.0	Q298	33
China	138.0	Q148	34
Hong Kong SAR, China	35.0	Q8646	35
Colombia	256.0	Q739	36
Comoros	100.0	Q970	37
Congo, Dem. Rep.	346.0	Q974	38
Congo, Rep.	602.0	Q971	39
Costa Rica	151.0	Q800	40
Cote d'Ivoire	187.0	Q1008	41
Croatia	206.0	Q224	42
Cyprus	120.0	Q229	43
Czech Republic	230.0	Q213	44
Denmark	132.0	Q35	45
Djibouti	76.0	Q977	46
Dominica	117.0	Q784	47
Dominican Republic	317.0	Q786	48
Ecuador	664.0	Q736	49
Egypt, Arab Rep.	370.0	Q79	50
El Salvador	168.0	Q792	51
Equatorial Guinea	492.0	Q983	52
Eritrea	216.0	Q986	53
Estonia	50.0	Q191	54
Ethiopia	300.0	Q115	55
Fiji	247.0	Q712	56
Finland	90.0	Q33	57
France	139.0	Q142	58
Gabon	632.0	Q1000	59
Gambia, The	326.0	Q1005	60
Georgia	216.0	Q230	61
Germany	218.0	Q183	62
Ghana	226.0	Q117	63
Greece	193.0	Q41	64
Grenada	140.0	Q769	65
Guatemala	248.0	Q774	66
Guinea	400.0	Q1006	67
Guinea-Bissau	218.0	Q1007	68
Guyana	256.0	Q734	69
Haiti	184.0	Q790	70
Honduras	203.0	Q783	71
Hungary	277.0	Q28	72
Iceland	140.0	Q189	73
India	252.0	Q668	74
Indonesia	191.0	Q252	75
Iran, Islamic Rep.	216.0	Q794	76
Iraq	312.0	Q796	77
Ireland	82.0	Q27	78
Israel	234.0	Q801	79
Italy	238.0	Q38	80
Jamaica	268.0	Q766	81
Japan	129.0	Q17	82
Jordan	97.0	Q810	83
Kazakhstan	186.0	Q232	84
Kenya	180.0	Q114	85
Kiribati	168.0	Q710	86
Korea, Rep.	174.0	Q884	87
Kosovo	154.0	Q1246	88
Kuwait	98.0	Q817	89
Kyrgyz Republic	220.0	Q813	90
Lao PDR	362.0	Q819	91
Latvia	169.0	Q211	92
Lebanon	181.0	Q822	93
Lesotho	327.0	Q1013	94
Liberia	140.0	Q1014	95
Libya	889.0	Q1016	96
Liechtenstein	49.0	Q347	97
Lithuania	95.0	Q37	98
Luxembourg	55.0	Q32	99
North Macedonia	119.0	Q221	100
Madagascar	183.0	Q1019	101
Malawi	169.0	Q1020	102
Malaysia	174.0	Q833	103
Maldives	391.0	Q826	104
Mali	276.0	Q912	105
Malta	139.0	Q233	106
Marshall Islands	56.0	Q709	107
Mauritania	270.0	Q1025	108
Mauritius	140.0	Q1027	109
Mexico	241.0	Q96	110
Micronesia, Fed. Sts.	128.0	Q702	111
Moldova	183.0	Q217	112
Mongolia	134.0	Q711	113
