Country	Index2018	Index2019	ID	id_row
Algeria	93.3	95.3	Q262	0
Antigua and Barbuda	107.8	110.6	Q781	1
Armenia	100.5	103.0	Q399	2
Australia	89.9	85.9	Q408	3
Austria	102.8	101.6	Q40	4
Bahamas, The	100.4	101.8	Q778	5
Bahrain	109.3	111.8	Q398	6
Belgium	101.5	99.9	Q31	7
Belize	99.8	100.0	Q242	8
Bolivia	143.3	149.7	Q750	9
Brazil	71.0	69.6	Q155	10
Bulgaria	101.3	101.8	Q219	11
Burundi	118.7	114.1	Q967	12
Cameroon	97.9	96.7	Q1009	13
Canada	82.3	81.5	Q16	14
Central African Republic	127.9	127.3	Q929	15
Chile	97.1	92.4	Q298	16
China	121.7	120.7	Q148	17
Hong Kong SAR, China	121.1	127.2	Q8646	18
Colombia	77.2	72.6	Q739	19
Congo, Dem. Rep.	111.2	141.3	Q974	20
Costa Rica	105.7	106.4	Q800	21
Cote d'Ivoire	97.2	93.2	Q1008	22
Croatia	95.4	94.0	Q224	23
Cyprus	90.1	87.9	Q229	24
Czech Republic	99.1	99.4	Q213	25
Denmark	97.2	95.4	Q35	26
Dominica	101.7	102.9	Q784	27
Dominican Republic	90.1	89.0	Q786	28
Equatorial Guinea	104.4	102.0	Q983	29
Fiji	112.7	113.3	Q712	30
Finland	98.6	97.0	Q33	31
France	95.4	93.7	Q142	32
Gabon	103.0	102.5	Q1000	33
Gambia, The	89.1	93.1	Q1005	34
Georgia	98.2	93.4	Q230	35
Germany	97.0	95.4	Q183	36
Ghana	73.7	72.0	Q117	37
Greece	90.8	88.8	Q41	38
Grenada	95.3	96.0	Q769	39
Guyana	105.2	107.9	Q734	40
Hungary	90.1	88.9	Q28	41
Iceland	139.9	130.5	Q189	42
Iran, Islamic Rep.	91.2	126.2	Q794	43
Ireland	90.8	88.2	Q27	44
Israel	106.0	108.6	Q801	45
Italy	96.8	94.4	Q38	46
Japan	74.4	76.5	Q17	47
Korea, Rep.	155.4	146.9	Q884	48
Latvia	102.8	102.8	Q211	49
Lesotho	80.6	78.2	Q1013	50
Luxembourg	100.3	99.5	Q32	51
North Macedonia	99.8	98.3	Q221	52
Malawi	76.8	86.1	Q1020	53
Malaysia	88.7	87.4	Q833	54
Malta	94.4	92.7	Q233	55
Mexico	81.0	83.7	Q96	56
Moldova	122.4	124.9	Q217	57
Morocco	99.4	99.9	Q1028	58
Netherlands	99.4	99.3	Q55	59
New Zealand	102.9	101.3	Q664	60
Nicaragua	95.6	95.5	Q811	61
Nigeria	109.1	122.7	Q1033	62
Norway	86.1	83.7	Q20	63
Pakistan	107.1	97.1	Q843	64
Papua New Guinea	121.2	124.7	Q691	65
Paraguay	113.5	110.1	Q733	66
Philippines	100.5	105.3	Q928	67
Poland	93.4	92.1	Q36	68
Portugal	97.7	96.1	Q45	69
Romania	97.7	97.3	Q218	70
Russian Federation	84.5	86.6	Q159	71
Samoa	104.4	105.1	Q683	72
Saudi Arabia	113.4	112.2	Q851	73
Sierra Leone	101.7	104.8	Q1044	74
Singapore	106.2	106.3	Q334	75
Slovak Republic	99.9	100.1	Q214	76
Solomon Islands	126.5	127.1	Q685	77
South Africa	80.8	77.9	Q258	78
Spain	97.5	95.6	Q29	79
St. Kitts and Nevis	96.9	96.6	Q763	80
St. Lucia	102.2	102.9	Q760	81
St. Vincent and the Grenadines	103.9	105.8	Q757	82
Sweden	89.2	85.6	Q34	83
Switzerland	103.1	104.1	Q39	84
Togo	95.8	93.4	Q945	85
Trinidad and Tobago	126.3	128.8	Q754	86
Tunisia	79.1	78.3	Q948	87
Uganda	90.2	92.5	Q1036	88
Ukraine	79.5	91.6	Q212	89
United Kingdom	98.8	98.3	Q145	90
United States	113.0	116.1	Q30	91
Uruguay	116.7	113.1	Q77	92
Zambia	89.1	78.7	Q953	93
