Country	Bothsexes	Male	Female	ID	id_row
Afghanistan	6715.0	3560.0	3154.0	Q889	0
Albania	887.0	573.0	314.0	Q222	1
Algeria	5965.0	3471.0	2493.0	Q262	2
Angola	3602.0	1558.0	2045.0	Q916	3
Antigua and Barbuda	28.0	15.0	13.0	Q781	4
Argentina	34425.0	16792.0	17633.0	Q414	5
Armenia	1156.0	625.0	530.0	Q399	6
Australia	11738.0	6234.0	5504.0	Q408	7
Austria	4108.0	2230.0	1878.0	Q40	8
Azerbaijan	1911.0	991.0	920.0	Q227	9
Bahamas	40.0	26.0	15.0	Q778	10
Bahrain	96.0	55.0	42.0	Q398	11
Bangladesh	82293.0	47491.0	34803.0	Q902	12
Barbados	114.0	65.0	48.0	Q244	13
Belarus	2172.0	1578.0	593.0	Q184	14
Belgium	8648.0	4743.0	3905.0	Q31	15
Belize	65.0	47.0	18.0	Q242	16
Benin	2381.0	1184.0	1197.0	Q962	17
Bhutan	419.0	220.0	199.0	Q917	18
Bolivia (Plurinational State of)	3304.0	1800.0	1504.0	Q750	19
Bosnia and Herzegovina	1448.0	868.0	580.0	Q225	20
Botswana	612.0	373.0	239.0	Q963	21
Brazil	84749.0	45156.0	39593.0	Q155	22
Brunei Darussalam	99.0	52.0	46.0	Q921	23
Bulgaria	4612.0	2838.0	1774.0	Q219	24
Burkina Faso	2416.0	1115.0	1301.0	Q965	25
Burundi	2005.0	1046.0	959.0	Q967	26
Cabo Verde	114.0	54.0	60.0	Q1011	27
Cambodia	3817.0	2103.0	1714.0	Q424	28
Cameroon	5323.0	2870.0	2454.0	Q1009	29
Canada	18610.0	9605.0	9005.0	Q16	30
Central African Republic	1109.0	503.0	606.0	Q929	31
Chad	3118.0	1669.0	1449.0	Q657	32
Chile	7064.0	3615.0	3449.0	Q298	33
China	938227.0	509554.0	428674.0	Q148	34
Colombia	18272.0	9634.0	8638.0	Q739	35
Comoros	128.0	71.0	57.0	Q970	36
Congo	810.0	314.0	495.0	Q971	37
Costa Rica	1610.0	831.0	779.0	Q800	38
Côte d'Ivoire	6501.0	3723.0	2778.0	Q1008	39
Croatia	2016.0	1152.0	863.0	Q224	40
Cuba	5563.0	2922.0	2641.0	Q241	41
Cyprus	730.0	401.0	330.0	Q229	42
Czechia	4680.0	2768.0	1912.0	Q213	43
Democratic People's Republic of Korea	31558.0	15056.0	16502.0	Q423	44
Democratic Republic of the Congo	13680.0	5337.0	8343.0	Q974	45
Denmark	4760.0	2302.0	2458.0	Q35	46
Djibouti	163.0	97.0	65.0	Q977	47
Dominican Republic	1699.0	962.0	738.0	Q786	48
Ecuador	4360.0	2444.0	1916.0	Q736	49
Egypt	25909.0	15081.0	10828.0	Q79	50
El Salvador	1236.0	587.0	649.0	Q792	51
Equatorial Guinea	220.0	100.0	121.0	Q983	52
Eritrea	1020.0	611.0	410.0	Q986	53
Estonia	345.0	229.0	116.0	Q191	54
Eswatini	402.0	233.0	169.0	Q1050	55
Ethiopia	15460.0	8304.0	7156.0	Q115	56
Fiji	336.0	212.0	124.0	Q712	57
Finland	1742.0	1112.0	630.0	Q33	58
France	31072.0	16639.0	14433.0	Q142	59
Gabon	311.0	141.0	170.0	Q1000	60
Gambia	352.0	183.0	169.0	Q1005	61
Georgia	2190.0	1263.0	927.0	Q230	62
Germany	58839.0	31552.0	27287.0	Q183	63
Ghana	4887.0	2374.0	2514.0	Q117	64
Greece	10499.0	5272.0	5227.0	Q41	65
Grenada	20.0	9.0	11.0	Q769	66
Guatemala	2756.0	1439.0	1317.0	Q774	67
Guinea	3004.0	1515.0	1488.0	Q1006	68
Guinea-Bissau	325.0	168.0	157.0	Q1007	69
Guyana	191.0	118.0	73.0	Q734	70
Haiti	3143.0	1855.0	1288.0	Q790	71
Honduras	1678.0	653.0	1025.0	Q783	72
Hungary	6538.0	3619.0	2920.0	Q28	73
Iceland	145.0	66.0	79.0	Q189	74
India	1017179.0	526709.0	490470.0	Q668	75
Indonesia	103704.0	65242.0	38462.0	Q252	76
Iran (Islamic Republic of)	14552.0	8681.0	5871.0	Q794	77
Iraq	3569.0	1889.0	1680.0	Q796	78
Ireland	2735.0	1405.0	1330.0	Q27	79
Israel	2804.0	1461.0	1343.0	Q801	80
Italy	41311.0	22130.0	19181.0	Q38	81
Jamaica	639.0	463.0	176.0	Q766	82
Japan	115041.0	65861.0	49180.0	Q17	83
Jordan	1042.0	672.0	370.0	Q810	84
Kazakhstan	6614.0	3922.0	2692.0	Q232	85
Kenya	3432.0	1658.0	1774.0	Q114	86
Kiribati	49.0	32.0	17.0	Q710	87
Kuwait	312.0	182.0	130.0	Q817	88
Kyrgyzstan	1509.0	865.0	644.0	Q813	89
Lao People's Democratic Republic	2463.0	1225.0	1238.0	Q819	90
Latvia	421.0	296.0	125.0	Q211	91
Lebanon	1574.0	732.0	842.0	Q822	92
Lesotho	1103.0	613.0	489.0	Q1013	93
Liberia	528.0	241.0	286.0	Q1014	94
Libya	1132.0	661.0	471.0	Q1016	95
Lithuania	699.0	479.0	220.0	Q37	96
Luxembourg	267.0	136.0	131.0	Q32	97
Madagascar	5953.0	3036.0	2917.0	Q1019	98
Malawi	1876.0	990.0	887.0	Q1020	99
Malaysia	6300.0	4230.0	2069.0	Q833	100
Maldives	113.0	54.0	58.0	Q826	101
Mali	5405.0	3007.0	2398.0	Q912	102
Malta	197.0	123.0	73.0	Q233	103
Mauritania	652.0	333.0	319.0	Q1025	104
Mauritius	887.0	497.0	390.0	Q1027	105
