Country	Disclosureindex	ID	id_row
Afghanistan	8.0	Q889	0
Albania	9.0	Q222	1
Algeria	4.0	Q262	2
Angola	4.0	Q916	3
Antigua and Barbuda	4.0	Q781	4
Argentina	7.0	Q414	5
Armenia	7.0	Q399	6
Australia	8.0	Q408	7
Austria	5.0	Q40	8
Azerbaijan	10.0	Q227	9
Bahamas, The	3.0	Q778	10
Bahrain	8.0	Q398	11
Bangladesh	6.0	Q902	12
Barbados	2.0	Q244	13
Belarus	6.0	Q184	14
Belgium	8.0	Q31	15
Belize	3.0	Q242	16
Benin	7.0	Q962	17
Bhutan	4.0	Q917	18
Bolivia	1.0	Q750	19
Bosnia and Herzegovina	3.0	Q225	20
Botswana	7.0	Q963	21
Brazil	5.0	Q155	22
Brunei Darussalam	4.0	Q921	23
Bulgaria	10.0	Q219	24
Burkina Faso	7.0	Q965	25
Burundi	8.0	Q967	26
Cabo Verde	1.0	Q1011	27
Cambodia	6.0	Q424	28
Cameroon	7.0	Q1009	29
Canada	8.0	Q16	30
Central African Republic	7.0	Q929	31
Chad	7.0	Q657	32
Chile	8.0	Q298	33
China	10.0	Q148	34
Hong Kong SAR, China	10.0	Q8646	35
Colombia	9.0	Q739	36
Comoros	7.0	Q970	37
Congo, Dem. Rep.	7.0	Q974	38
Congo, Rep.	7.0	Q971	39
Costa Rica	5.0	Q800	40
Cote d'Ivoire	7.0	Q1008	41
Croatia	5.0	Q224	42
Cyprus	9.0	Q229	43
Czech Republic	2.0	Q213	44
Denmark	7.0	Q35	45
Djibouti	8.0	Q977	46
Dominica	4.0	Q784	47
Dominican Republic	5.0	Q786	48
Ecuador	2.0	Q736	49
Egypt, Arab Rep.	8.0	Q79	50
El Salvador	3.0	Q792	51
Equatorial Guinea	7.0	Q983	52
Eritrea	3.0	Q986	53
Estonia	8.0	Q191	54
Ethiopia	3.0	Q115	55
Fiji	2.0	Q712	56
Finland	6.0	Q33	57
France	8.0	Q142	58
Gabon	7.0	Q1000	59
Gambia, The	2.0	Q1005	60
Georgia	9.0	Q230	61
Germany	5.0	Q183	62
Ghana	7.0	Q117	63
Greece	9.0	Q41	64
Grenada	4.0	Q769	65
Guatemala	3.0	Q774	66
Guinea	7.0	Q1006	67
Guinea-Bissau	7.0	Q1007	68
Guyana	5.0	Q734	69
Haiti	2.0	Q790	70
Honduras	3.0	Q783	71
Hungary	2.0	Q28	72
Iceland	7.0	Q189	73
