Country	Residents	Nonresidents	ID	id_row
Albania	15.0	3.0	Q222	0
Algeria	152.0	521.0	Q262	1
Andorra	1.0	10.0	Q228	2
Antigua and Barbuda	5.0	5.0	Q781	3
Argentina	425.0	3242.0	Q414	4
Armenia	101.0	4.0	Q399	5
Australia	2757.0	27200.0	Q408	6
Austria	2039.0	168.0	Q40	7
Azerbaijan	155.0	16.0	Q227	8
Bahamas, The	4.0	48.0	Q778	9
Bahrain	11.0	219.0	Q398	10
Bangladesh	69.0	299.0	Q902	11
Belarus	453.0	94.0	Q184	12
Belgium	892.0	218.0	Q31	13
Bhutan	4.0	3.0	Q917	14
Bolivia	59.0	277.0	Q750	15
Bosnia and Herzegovina	84.0	12.0	Q225	16
Botswana	3.0	3.0	Q963	17
Brazil	4980.0	19877.0	Q155	18
Brunei Darussalam	24.0	97.0	Q921	19
Bulgaria	180.0	18.0	Q219	20
Cambodia	3.0	159.0	Q424	21
Canada	4349.0	31812.0	Q16	22
Cabo Verde	3.0	1.0	Q1011	23
Chile	406.0	2694.0	Q298	24
China	1393815.0	148187.0	Q148	25
Hong Kong SAR, China	314.0	15672.0	Q8646	26
Macao SAR, China	1.0	54.0	Q14773	27
Colombia	415.0	1808.0	Q739	28
Costa Rica	7.0	491.0	Q800	29
Croatia	121.0	15.0	Q224	30
Cuba	29.0	126.0	Q241	31
Cyprus	4.0	4.0	Q229	32
Czech Republic	678.0	54.0	Q213	33
Denmark	1262.0	239.0	Q35	34
Dominican Republic	17.0	211.0	Q786	35
Ecuador	34.0	371.0	Q736	36
Egypt, Arab Rep.	997.0	1258.0	Q79	37
El Salvador	3.0	136.0	Q792	38
Estonia	24.0	6.0	Q191	39
Ethiopia	13.0	49.0	Q115	40
Finland	1387.0	100.0	Q33	41
France	14303.0	1919.0	Q142	42
Georgia	103.0	157.0	Q230	43
Germany	46617.0	21281.0	Q183	44
Ghana	13.0	39.0	Q117	45
Greece	430.0	149.0	Q41	46
Guatemala	6.0	228.0	Q774	47
Guyana	2.0	18.0	Q734	48
Honduras	8.0	148.0	Q783	49
Hungary	407.0	36.0	Q28	50
Iceland	56.0	10.0	Q189	51
India	16289.0	33766.0	Q668	52
Indonesia	1407.0	8347.0	Q252	53
Iran, Islamic Rep.	11908.0	915.0	Q794	54
Iraq	653.0	77.0	Q796	55
Ireland	76.0	32.0	Q27	56
Israel	1506.0	5857.0	Q801	57
Italy	8921.0	900.0	Q38	58
Jamaica	26.0	53.0	Q766	59
Japan	253630.0	59937.0	Q17	60
Jordan	24.0	109.0	Q810	61
Kazakhstan	789.0	193.0	Q232	62
Kenya	244.0	42.0	Q114	63
Korea, Rep.	162561.0	47431.0	Q884	64
Kuwait	1.0	256.0	Q817	65
Kyrgyz Republic	137.0	9.0	Q813	66
Lao PDR	1.0	58.0	Q819	67
Latvia	86.0	24.0	Q211	68
Lebanon	110.0	194.0	Q822	69
Lithuania	81.0	24.0	Q37	70
Luxembourg	152.0	243.0	Q32	71
Madagascar	9.0	37.0	Q1019	72
Malawi	3.0	1.0	Q1020	73
Malaysia	1116.0	6179.0	Q833	74
Malta	3.0	1.0	Q233	75
Mauritius	16.0	13.0	Q1027	76
Mexico	1555.0	14869.0	Q96	77
Moldova	92.0	21.0	Q217	78
Monaco	4.0	11.0	Q235	79
Mongolia	82.0	79.0	Q711	80
Morocco	187.0	2350.0	Q1028	81
Mozambique	34.0	13.0	Q1029	82
Namibia	21.0	15.0	Q1030	83
Nepal	20.0	43.0	Q837	84
Netherlands	2111.0	394.0	Q55	85
New Zealand	1017.0	5221.0	Q664	86
Nigeria	120.0	218.0	Q1033	87
Norway	1082.0	592.0	Q20	88
Oman	4.0	387.0	Q842	89
Pakistan	306.0	586.0	Q843	90
Panama	135.0	362.0	Q804	91
Papua New Guinea	1.0	46.0	Q691	92
Peru	89.0	1133.0	Q419	93
Philippines	529.0	3771.0	Q928	94
Poland	4207.0	115.0	Q36	95
Portugal	661.0	29.0	Q45	96
Qatar	19.0	574.0	Q846	97
Romania	1100.0	47.0	Q218	98
Russian Federation	24926.0	13031.0	Q159	99
Rwanda	6.0	1.0	Q1037	100
Samoa	1.0	3.0	Q683	101
San Marino	14.0	681.0	Q238	102
Saudi Arabia	1078.0	2321.0	Q851	103
Serbia	163.0	11.0	Q403	104
Singapore	1575.0	10270.0	Q334	105
Slovak Republic	217.0	14.0	Q214	106
Slovenia	255.0	23.0	Q215	107
South Africa	657.0	6258.0	Q258	108
Spain	1525.0	149.0	Q29	109
Sri Lanka	343.0	260.0	Q854	110
Sudan	349.0	31.0	Q1049	111
Sweden	1838.0	442.0	Q34	112
Switzerland	1283.0	332.0	Q39	113
Syrian Arab Republic	103.0	45.0	Q858	114
Tanzania	25.0	1.0	Q924	115
Thailand	904.0	7245.0	Q869	116
Trinidad and Tobago	4.0	135.0	Q754	117
Tunisia	180.0	271.0	Q948	118
Turkey	7156.0	310.0	Q43	119
Ukraine	2107.0	1861.0	Q212	120
United Arab Emirates	56.0	1727.0	Q878	121
United Kingdom	12865.0	8076.0	Q145	122
United States	285095.0	312046.0	Q30	123
Uruguay	23.0	500.0	Q77	124
Uzbekistan	470.0	180.0	Q265	125
Venezuela, RB	96.0	338.0	Q717	126
Vietnam	646.0	5425.0	Q881	127
Yemen, Rep.	15.0	13.0	Q805	128
Zambia	12.0	10.0	Q953	129
Zimbabwe	8.0	5.0	Q954	130
