Country	Tax	ID	id_row
Afghanistan	0.0	Q889	0
Albania	18.8	Q222	1
Algeria	31.1	Q262	2
Angola	9.0	Q916	3
Antigua and Barbuda	12.1	Q781	4
Argentina	29.9	Q414	5
Armenia	0.0	Q399	6
Australia	21.0	Q408	7
Austria	33.7	Q40	8
Azerbaijan	25.4	Q227	9
Bahamas, The	6.4	Q778	10
Bahrain	13.5	Q398	11
Bangladesh	0.0	Q902	12
Barbados	12.7	Q244	13
Belarus	39.0	Q184	14
Belgium	44.5	Q31	15
Belize	5.0	Q242	16
Benin	26.4	Q962	17
Bhutan	0.0	Q917	18
Bolivia	18.8	Q750	19
Bosnia and Herzegovina	13.6	Q225	20
Botswana	0.0	Q963	21
Brazil	39.4	Q155	22
Brunei Darussalam	7.9	Q921	23
Bulgaria	21.5	Q219	24
Burkina Faso	21.4	Q965	25
Burundi	10.2	Q967	26
Cabo Verde	18.7	Q1011	27
Cambodia	2.3	Q424	28
Cameroon	18.3	Q1009	29
Canada	12.7	Q16	30
Central African Republic	19.8	Q929	31
Chad	28.4	Q657	32
Chile	5.1	Q298	33
China	46.2	Q148	34
Hong Kong SAR, China	5.3	Q8646	35
Colombia	23.6	Q739	36
Comoros	0.0	Q970	37
Congo, Dem. Rep.	12.6	Q974	38
Congo, Rep.	31.3	Q971	39
Costa Rica	32.7	Q800	40
Cote d'Ivoire	23.3	Q1008	41
Croatia	19.4	Q224	42
Cyprus	13.0	Q229	43
Czech Republic	38.4	Q213	44
Denmark	4.0	Q35	45
Djibouti	17.7	Q977	46
Dominica	7.9	Q784	47
Dominican Republic	18.6	Q786	48
Ecuador	13.7	Q736	49
Egypt, Arab Rep.	25.5	Q79	50
El Salvador	18.3	Q792	51
Equatorial Guinea	25.4	Q983	52
Eritrea	0.0	Q986	53
Estonia	38.0	Q191	54
Ethiopia	12.4	Q115	55
Fiji	12.4	Q712	56
Finland	23.0	Q33	57
France	50.0	Q142	58
Gabon	25.5	Q1000	59
Gambia, The	12.6	Q1005	60
Georgia	0.0	Q230	61
Germany	21.5	Q183	62
Ghana	14.7	Q117	63
Greece	28.3	Q41	64
Grenada	5.6	Q769	65
Guatemala	14.3	Q774	66
Guinea	28.6	Q1006	67
Guinea-Bissau	24.8	Q1007	68
Guyana	9.2	Q734	69
Haiti	12.4	Q790	70
Honduras	8.8	Q783	71
Hungary	26.4	Q28	72
Iceland	20.6	Q189	73
India	20.2	Q668	74
Indonesia	11.6	Q252	75
Iran, Islamic Rep.	25.9	Q794	76
Iraq	13.5	Q796	77
Ireland	12.4	Q27	78
Israel	5.8	Q801	79
Italy	42.9	Q38	80
Jamaica	13.4	Q766	81
Japan	18.6	Q17	82
Jordan	16.1	Q810	83
