Country	Electricity2000	Electricity2015	ID	id_row
Afghanistan	75.0	86.1	Q889	0
Albania	96.1	100.0	Q222	1
Algeria	0.2	0.3	Q262	2
American Samoa	0.0	0.9	Q16641	3
Andorra	100.0	86.1	Q228	4
Angola	63.1	53.2	Q916	5
Antigua and Barbuda	0.0	0.0	Q781	6
Argentina	33.2	28.1	Q414	7
Armenia	21.2	28.3	Q399	8
Aruba	0.0	14.9	Q21203	9
Australia	8.4	13.6	Q408	10
Austria	72.5	76.5	Q40	11
Azerbaijan	8.2	7.0	Q227	12
Bahamas, The	0.0	0.0	Q778	13
Bahrain	0.0	0.0	Q398	14
Bangladesh	4.7	1.2	Q902	15
Barbados	0.0	0.0	Q244	16
Belarus	0.1	0.8	Q184	17
Belgium	1.3	20.8	Q31	18
Belize	70.1	45.2	Q242	19
Benin	2.4	5.6	Q962	20
Bermuda	0.0	0.0	Q23635	21
Bhutan	100.0	100.0	Q917	22
Bolivia	51.5	31.4	Q750	23
Bosnia and Herzegovina	48.8	35.5	Q225	24
Botswana	0.0	0.0	Q963	25
Brazil	89.5	74.0	Q155	26
Brunei Darussalam	0.0	0.0	Q921	27
Bulgaria	6.6	18.0	Q219	28
Burkina Faso	25.2	9.4	Q965	29
Burundi	98.0	82.7	Q967	30
Cabo Verde	5.4	20.2	Q1011	31
Cambodia	0.2	46.4	Q424	32
Cameroon	98.9	76.1	Q1009	33
Canada	60.6	63.0	Q16	34
Cayman Islands	0.0	0.0	Q5785	35
Central African Republic	78.5	99.4	Q929	36
Chad	0.0	0.0	Q657	37
Channel Islands	0.0	0.0	Q42314	38
Chile	48.5	43.6	Q298	39
China	16.6	23.9	Q148	40
Hong Kong SAR, China	0.0	0.3	Q8646	41
Macao SAR, China	0.0	0.0	Q14773	42
Colombia	75.5	68.2	Q739	43
Comoros	0.0	0.0	Q970	44
Congo, Dem. Rep.	99.9	99.8	Q974	45
Congo, Rep.	99.7	53.3	Q971	46
Costa Rica	99.1	99.0	Q800	47
Cote d'Ivoire	36.8	16.7	Q1008	48
Croatia	57.3	66.8	Q224	49
Cuba	6.9	3.9	Q241	50
Curacao	0.7	3.7	Q25279	51
Cyprus	0.0	8.8	Q229	52
Czech Republic	3.1	11.4	Q213	53
Denmark	15.5	65.5	Q35	54
Djibouti	0.0	0.0	Q977	55
Dominica	41.6	16.2	Q784	56
Dominican Republic	9.1	11.6	Q786	57
Ecuador	71.7	52.8	Q736	58
Egypt, Arab Rep.	17.7	8.3	Q79	59
El Salvador	58.1	57.8	Q792	60
Equatorial Guinea	13.9	57.8	Q983	61
Eritrea	0.5	0.5	Q986	62
Estonia	0.2	14.4	Q191	63
Eswatini	40.9	46.6	Q1050	64
Ethiopia	98.6	100.0	Q115	65
Faroe Islands	36.2	60.1	Q4628	66
Fiji	60.2	45.0	Q712	67
Finland	33.4	44.5	Q33	68
France	13.0	15.9	Q142	69
French Polynesia	33.3	32.0	Q30971	70
Gabon	61.6	43.7	Q1000	71
Gambia, The	0.0	0.0	Q1005	72
Georgia	78.9	78.0	Q230	73
Germany	6.2	29.2	Q183	74
Ghana	91.5	50.9	Q117	75
Greece	7.8	28.7	Q41	76
Greenland	57.4	81.3	Q223	77
Grenada	0.0	0.0	Q769	78
Guam	0.0	0.0	Q16635	79
Guatemala	51.7	60.4	Q774	80
Guinea	56.0	78.8	Q1006	81
Guinea-Bissau	0.0	0.0	Q1007	82
Guyana	0.0	0.0	Q734	83
Haiti	51.7	8.0	Q790	84
Honduras	61.9	42.3	Q783	85
Hungary	0.7	10.6	Q28	86
Iceland	99.9	100.0	Q189	87
India	13.6	15.3	Q668	88
Indonesia	16.0	10.7	Q252	89
Iran, Islamic Rep.	3.0	5.1	Q794	90
Iraq	1.9	3.7	Q796	91
Ireland	5.0	28.0	Q27	92
Isle of Man	0.0	0.8	Q9676	93
Israel	0.1	1.9	Q801	94
Italy	18.8	38.7	Q38	95
Jamaica	4.8	10.3	Q766	96
Japan	9.1	16.0	Q17	97
Jordan	0.6	1.0	Q810	98
Kazakhstan	14.7	8.9	Q232	99
Kenya	47.0	87.5	Q114	100
Kiribati	0.0	7.3	Q710	101
Korea, Dem. Peopleâ€™s Rep.	52.6	72.8	Q423	102
Korea, Rep.	1.4	1.9	Q884	103
Kosovo	1.8	2.3	Q1246	104
Kuwait	0.0	0.0	Q817	105
Kyrgyz Republic	85.9	85.2	Q813	106
Lao PDR	90.9	86.4	Q819	107
Latvia	68.3	50.2	Q211	108
Lebanon	4.6	2.6	Q822	109
Lesotho	100.0	100.0	Q1013	110
Liberia	0.0	0.0	Q1014	111
Libya	0.0	0.0	Q1016	112
Liechtenstein	0.0	96.9	Q347	113
Lithuania	3.1	39.4	Q37	114
Luxembourg	41.0	32.4	Q32	115
North Macedonia	17.2	35.9	Q221	116
Madagascar	61.1	54.6	Q1019	117
Malawi	84.3	91.3	Q1020	118
Malaysia	10.1	10.0	Q833	119
Maldives	0.0	1.3	Q826	120
Mali	30.4	43.5	Q912	121
Malta	0.0	7.7	Q233	122
Marshall Islands	0.0	0.2	Q709	123
Mauritania	0.0	13.4	Q1025	124
Mauritius	29.6	22.7	Q1027	125
Mexico	19.8	15.4	Q96	126
Micronesia, Fed. Sts.	0.2	1.6	Q702	127
Moldova	6.7	5.4	Q217	128
Monaco	0.0	0.0	Q235	129
Mongolia	0.0	3.1	Q711	130
Montenegro	0.0	49.7	Q236	131
Morocco	6.1	14.3	Q1028	132
Mozambique	99.5	86.4	Q1029	133
Myanmar	37.0	58.9	Q836	134
Namibia	99.2	97.8	Q1030	135
Nepal	98.4	100.0	Q837	136
Netherlands	3.3	12.4	Q55	137
New Caledonia	27.3	14.1	Q33788	138
New Zealand	71.5	80.1	Q664	139
Nicaragua	21.4	50.1	Q811	140
Niger	0.0	0.8	Q1032	141
Nigeria	38.2	18.2	Q1033	142
Northern Mariana Islands	0.0	0.0	Q16644	143
Norway	99.7	97.7	Q20	144
Oman	0.0	0.0	Q842	145
Pakistan	25.2	31.4	Q843	146
Palau	0.0	0.0	Q695	147
Panama	70.4	65.3	Q804	148
Papua New Guinea	47.1	34.5	Q691	149
Paraguay	100.0	100.0	Q733	150
Peru	82.0	52.7	Q419	151
Philippines	42.9	25.4	Q928	152
Poland	1.6	13.8	Q36	153
Portugal	29.7	47.5	Q45	154
Puerto Rico	0.7	1.8	Q1183	155
Qatar	0.0	0.0	Q846	156
Romania	28.5	39.7	Q218	157
Russian Federation	18.7	15.9	Q159	158
Rwanda	96.5	56.9	Q1037	159
Samoa	49.6	30.4	Q683	160
San Marino	0.0	0.0	Q238	161
Sao Tome and Principe	26.1	10.5	Q1039	162
Saudi Arabia	0.0	0.0	Q851	163
Senegal	3.3	10.4	Q1041	164
Serbia	35.1	26.9	Q403	165
Seychelles	0.0	2.4	Q1042	166
Sierra Leone	16.6	61.0	Q1044	167
Singapore	0.8	1.8	Q334	168
Sint Maarten (Dutch part)	0.0	0.0	Q26273	169
Slovak Republic	15.0	22.7	Q214	170
Slovenia	28.7	29.4	Q215	171
Solomon Islands	0.0	2.3	Q685	172
Somalia	0.0	0.0	Q1045	173
South Africa	0.7	2.3	Q258	174
South Sudan	0.0	0.6	Q958	175
Spain	15.6	34.9	Q29	176
Sri Lanka	45.8	48.5	Q854	177
St. Kitts and Nevis	0.0	4.6	Q763	178
St. Lucia	0.0	0.0	Q760	179
St. Martin (French part)	0.0	0.0	Q126125	180
St. Vincent and the Grenadines	26.6	15.7	Q757	181
Sudan	46.0	64.5	Q1049	182
Suriname	88.4	60.1	Q730	183
Sweden	57.2	63.3	Q34	184
Switzerland	57.0	62.2	Q39	185
Syrian Arab Republic	12.8	2.3	Q858	186
Tajikistan	98.4	98.5	Q863	187
Tanzania	86.4	34.2	Q924	188
Thailand	6.8	8.5	Q869	189
Timor-Leste	0.0	0.0	Q574	190
Togo	57.1	75.3	Q945	191
Tonga	0.0	5.9	Q678	192
Trinidad and Tobago	0.4	0.0	Q754	193
Tunisia	0.8	2.8	Q948	194
Turkey	24.9	32.0	Q43	195
Turkmenistan	0.0	0.0	Q874	196
Turks and Caicos Islands	0.0	0.0	Q18221	197
Tuvalu	0.0	28.2	Q672	198
Uganda	99.6	93.0	Q1036	199
Ukraine	6.6	4.4	Q212	200
United Arab Emirates	0.0	0.2	Q878	201
United Kingdom	2.7	24.8	Q145	202
United States	8.2	13.2	Q30	203
Uruguay	93.4	88.6	Q77	204
Uzbekistan	12.5	20.7	Q265	205
Vanuatu	0.0	21.3	Q686	206
Venezuela, RB	73.7	63.7	Q717	207
Vietnam	54.8	36.7	Q881	208
Virgin Islands (U.S.)	0.0	3.9	Q11703	209
West Bank and Gaza	0.0	0.0	Q407199	210
Yemen, Rep.	0.0	0.0	Q805	211
Zambia	99.4	97.0	Q953	212
Zimbabwe	45.7	52.7	Q954	213
