Country	Tons	Change	ID	id_row
Syrian Arab Republic	5794.0	983.4	Q858	146
Tajikistan	4515.0	-86.9	Q863	147
Tanzania	185379.0	319.3	Q924	148
Thailand	45142.0	227.6	Q869	149
Timor-Leste	-556.0	-500.0	Q574	150
Togo	12378.0	57.3	Q945	151
Tonga	-116.0	-100.0	Q678	152
Trinidad and Tobago	12088.0	6425.0	Q754	153
Tunisia	3680.0	435.4	Q948	154
Turkey	-6438.0	187.4	Q43	155
Turkmenistan	-3906.0	88.9	Q874	156
Tuvalu	0.0	-620.0	Q672	157
Uganda	40137.0	168.1	Q1036	158
Ukraine	-196.0	-77.0	Q212	159
United Arab Emirates	-10935.0	68.4	Q878	160
United Kingdom	39448.0	-2.7	Q145	161
United States	448686.0	120.2	Q30	162
Uruguay	-1393.0	-56.7	Q77	163
Uzbekistan	258.0	-9.6	Q265	164
Vanuatu	-20.0	650.0	Q686	165
Venezuela, RB	11262.0	-42.4	Q717	166
Vietnam	-2038.0	348.0	Q881	167
Virgin Islands (U.S.)	0.0	1250.0	Q11703	168
Yemen, Rep.	6024.0	433.3	Q805	169
Zambia	301826.0	112.2	Q953	170
Zimbabwe	48486.0	5764.5	Q954	171
