Country	Modeledestimates	ID	id_row
Afghanistan	638.0	Q889	0
Albania	15.0	Q222	1
Algeria	112.0	Q262	2
Angola	241.0	Q916	3
Antigua and Barbuda	42.0	Q781	4
Argentina	39.0	Q414	5
Armenia	26.0	Q399	6
Australia	6.0	Q408	7
Austria	5.0	Q40	8
Azerbaijan	26.0	Q227	9
Bahamas, The	70.0	Q778	10
Bahrain	14.0	Q398	11
Bangladesh	173.0	Q902	12
Barbados	27.0	Q244	13
Belarus	2.0	Q184	14
Belgium	5.0	Q31	15
Belize	36.0	Q242	16
Benin	397.0	Q962	17
Bhutan	183.0	Q917	18
Bolivia	155.0	Q750	19
Bosnia and Herzegovina	10.0	Q225	20
Botswana	144.0	Q963	21
Brazil	60.0	Q155	22
Brunei Darussalam	31.0	Q921	23
Bulgaria	10.0	Q219	24
Burkina Faso	320.0	Q965	25
Burundi	548.0	Q967	26
Cabo Verde	58.0	Q1011	27
Cambodia	160.0	Q424	28
Cameroon	529.0	Q1009	29
Canada	10.0	Q16	30
Central African Republic	829.0	Q929	31
Chad	1.14	Q657	32
Chile	13.0	Q298	33
China	29.0	Q148	34
Colombia	83.0	Q739	35
Comoros	273.0	Q970	36
Congo, Dem. Rep.	473.0	Q974	37
Congo, Rep.	378.0	Q971	38
Costa Rica	27.0	Q800	39
Cote d'Ivoire	617.0	Q1008	40
Croatia	8.0	Q224	41
Cuba	36.0	Q241	42
Cyprus	6.0	Q229	43
Czech Republic	3.0	Q213	44
Denmark	4.0	Q35	45
Djibouti	248.0	Q977	46
Dominican Republic	95.0	Q786	47
Ecuador	59.0	Q736	48
Egypt, Arab Rep.	37.0	Q79	49
El Salvador	46.0	Q792	50
Equatorial Guinea	301.0	Q983	51
Eritrea	480.0	Q986	52
Estonia	9.0	Q191	53
Eswatini	437.0	Q1050	54
Ethiopia	401.0	Q115	55
Fiji	34.0	Q712	56
Finland	3.0	Q33	57
France	8.0	Q142	58
Gabon	252.0	Q1000	59
Gambia, The	597.0	Q1005	60
Georgia	25.0	Q230	61
Germany	7.0	Q183	62
Ghana	308.0	Q117	63
Greece	3.0	Q41	64
Grenada	25.0	Q769	65
Guatemala	95.0	Q774	66
Guinea	576.0	Q1006	67
Guinea-Bissau	667.0	Q1007	68
Guyana	169.0	Q734	69
Haiti	480.0	Q790	70
Honduras	65.0	Q783	71
Hungary	12.0	Q28	72
Iceland	4.0	Q189	73
India	145.0	Q668	74
Indonesia	177.0	Q252	75
Iran, Islamic Rep.	16.0	Q794	76
Iraq	79.0	Q796	77
Ireland	5.0	Q27	78
Israel	3.0	Q801	79
Italy	2.0	Q38	80
Jamaica	80.0	Q766	81
Japan	5.0	Q17	82
Jordan	46.0	Q810	83
Kazakhstan	10.0	Q232	84
Kenya	342.0	Q114	85
Kiribati	92.0	Q710	86
Korea, Dem. People’s Rep.	89.0	Q423	87
Korea, Rep.	11.0	Q884	88
Kuwait	12.0	Q817	89
Kyrgyz Republic	60.0	Q813	90
Lao PDR	185.0	Q819	91
Latvia	19.0	Q211	92
Lebanon	29.0	Q822	93
Lesotho	544.0	Q1013	94
Liberia	661.0	Q1014	95
Libya	72.0	Q1016	96
Lithuania	8.0	Q37	97
Luxembourg	5.0	Q32	98
Madagascar	335.0	Q1019	99
Malawi	349.0	Q1020	100
Malaysia	29.0	Q833	101
Maldives	53.0	Q826	102
Mali	562.0	Q912	103
Malta	6.0	Q233	104
Mauritania	766.0	Q1025	105
Mauritius	61.0	Q1027	106
Mexico	33.0	Q96	107
Micronesia, Fed. Sts.	88.0	Q702	108
Moldova	19.0	Q217	109
Mongolia	45.0	Q711	110
Montenegro	6.0	Q236	111
Morocco	70.0	Q1028	112
Mozambique	289.0	Q1029	113
Myanmar	250.0	Q836	114
Namibia	195.0	Q1030	115
Nepal	186.0	Q837	116
Netherlands	5.0	Q55	117
New Zealand	9.0	Q664	118
Nicaragua	98.0	Q811	119
Niger	509.0	Q1032	120
Nigeria	917.0	Q1033	121
North Macedonia	7.0	Q221	122
Norway	2.0	Q20	123
Oman	19.0	Q842	124
Pakistan	140.0	Q843	125
Panama	52.0	Q804	126
Papua New Guinea	145.0	Q691	127
Paraguay	129.0	Q733	128
Peru	88.0	Q419	129
Philippines	121.0	Q928	130
Poland	2.0	Q36	131
Portugal	8.0	Q45	132
Puerto Rico	21.0	Q1183	133
Qatar	9.0	Q846	134
Romania	19.0	Q218	135
Russian Federation	17.0	Q159	136
Rwanda	248.0	Q1037	137
Samoa	43.0	Q683	138
Sao Tome and Principe	130.0	Q1039	139
Saudi Arabia	17.0	Q851	140
Senegal	315.0	Q1041	141
Serbia	12.0	Q403	142
Seychelles	53.0	Q1042	143
Sierra Leone	1.12	Q1044	144
Singapore	8.0	Q334	145
Slovak Republic	5.0	Q214	146
Slovenia	7.0	Q215	147
Solomon Islands	104.0	Q685	148
Somalia	829.0	Q1045	149
South Africa	119.0	Q258	150
South Sudan	1.15	Q958	151
Spain	4.0	Q29	152
Sri Lanka	36.0	Q854	153
St. Lucia	117.0	Q760	154
St. Vincent and the Grenadines	68.0	Q757	155
Sudan	295.0	Q1049	156
Suriname	120.0	Q730	157
Sweden	4.0	Q34	158
Switzerland	5.0	Q39	159
Syrian Arab Republic	31.0	Q858	160
Tajikistan	17.0	Q863	161
Tanzania	524.0	Q924	162
Thailand	37.0	Q869	163
Timor-Leste	142.0	Q574	164
Togo	396.0	Q945	165
Tonga	52.0	Q678	166
Trinidad and Tobago	67.0	Q754	167
Tunisia	43.0	Q948	168
Turkey	17.0	Q43	169
Turkmenistan	7.0	Q874	170
Uganda	375.0	Q1036	171
Ukraine	19.0	Q212	172
United Arab Emirates	3.0	Q878	173
