Country	Payments	ID	id_row
Afghanistan	19.0	Q889	0
Albania	35.0	Q222	1
Algeria	27.0	Q262	2
Angola	31.0	Q916	3
Antigua and Barbuda	57.0	Q781	4
Argentina	9.0	Q414	5
Armenia	15.0	Q399	6
Australia	11.0	Q408	7
Austria	12.0	Q40	8
Azerbaijan	9.0	Q227	9
Bahamas, The	20.0	Q778	10
Bahrain	3.0	Q398	11
Bangladesh	33.0	Q902	12
Barbados	28.0	Q244	13
Belarus	7.0	Q184	14
Belgium	11.0	Q31	15
Belize	29.0	Q242	16
Benin	54.0	Q962	17
Bhutan	18.0	Q917	18
Bolivia	42.0	Q750	19
Bosnia and Herzegovina	33.0	Q225	20
Botswana	34.0	Q963	21
Brazil	10.0	Q155	22
Brunei Darussalam	5.0	Q921	23
Bulgaria	14.0	Q219	24
Burkina Faso	45.0	Q965	25
Burundi	24.0	Q967	26
Cabo Verde	30.0	Q1011	27
Cambodia	40.0	Q424	28
Cameroon	44.0	Q1009	29
Canada	8.0	Q16	30
Central African Republic	56.0	Q929	31
Chad	54.0	Q657	32
Chile	7.0	Q298	33
China	7.0	Q148	34
Hong Kong SAR, China	3.0	Q8646	35
Colombia	10.0	Q739	36
Comoros	33.0	Q970	37
Congo, Dem. Rep.	52.0	Q974	38
Congo, Rep.	50.0	Q971	39
Costa Rica	10.0	Q800	40
Cote d'Ivoire	25.0	Q1008	41
Croatia	12.0	Q224	42
Cyprus	16.0	Q229	43
Czech Republic	8.0	Q213	44
Denmark	10.0	Q35	45
Djibouti	35.0	Q977	46
Dominica	37.0	Q784	47
Dominican Republic	7.0	Q786	48
Ecuador	8.0	Q736	49
Egypt, Arab Rep.	27.0	Q79	50
El Salvador	7.0	Q792	51
Equatorial Guinea	46.0	Q983	52
Eritrea	30.0	Q986	53
Estonia	8.0	Q191	54
Ethiopia	29.0	Q115	55
Fiji	38.0	Q712	56
Finland	8.0	Q33	57
France	9.0	Q142	58
Gabon	50.0	Q1000	59
Gambia, The	49.0	Q1005	60
Georgia	5.0	Q230	61
Germany	9.0	Q183	62
Ghana	36.0	Q117	63
Greece	8.0	Q41	64
Grenada	42.0	Q769	65
Guatemala	8.0	Q774	66
Guinea	33.0	Q1006	67
Guinea-Bissau	46.0	Q1007	68
Guyana	35.0	Q734	69
Haiti	47.0	Q790	70
Honduras	59.0	Q783	71
Hungary	11.0	Q28	72
Iceland	21.0	Q189	73
India	11.0	Q668	74
Indonesia	26.0	Q252	75
Iran, Islamic Rep.	20.0	Q794	76
Iraq	15.0	Q796	77
Ireland	9.0	Q27	78
Israel	6.0	Q801	79
Italy	14.0	Q38	80
Jamaica	11.0	Q766	81
Japan	19.0	Q17	82
Jordan	9.0	Q810	83
Kazakhstan	10.0	Q232	84
Kenya	24.0	Q114	85
Kiribati	11.0	Q710	86
Korea, Rep.	12.0	Q884	87
Kosovo	10.0	Q1246	88
Kuwait	12.0	Q817	89
Kyrgyz Republic	26.0	Q813	90
Lao PDR	35.0	Q819	91
Latvia	7.0	Q211	92
Lebanon	20.0	Q822	93
Lesotho	32.0	Q1013	94
Liberia	33.0	Q1014	95
Libya	19.0	Q1016	96
Liechtenstein	34.0	Q347	97
Lithuania	10.0	Q37	98
Luxembourg	23.0	Q32	99
North Macedonia	7.0	Q221	100
Madagascar	23.0	Q1019	101
Malawi	35.0	Q1020	102
Malaysia	9.0	Q833	103
Maldives	17.0	Q826	104
Mali	35.0	Q912	105
Malta	8.0	Q233	106
Marshall Islands	9.0	Q709	107
Mauritania	33.0	Q1025	108
Mauritius	8.0	Q1027	109
Mexico	6.0	Q96	110
Micronesia, Fed. Sts.	21.0	Q702	111
Moldova	10.0	Q217	112
Mongolia	19.0	Q711	113
Montenegro	18.0	Q236	114
Morocco	6.0	Q1028	115
Mozambique	37.0	Q1029	116
Myanmar	31.0	Q836	117
Namibia	27.0	Q1030	118
Nepal	46.0	Q837	119
Netherlands	9.0	Q55	120
New Zealand	7.0	Q664	121
Nicaragua	43.0	Q811	122
Niger	41.0	Q1032	123
Nigeria	48.0	Q1033	124
Norway	5.0	Q20	125
Oman	15.0	Q842	126
Pakistan	34.0	Q843	127
Palau	11.0	Q695	128
Panama	36.0	Q804	129
Papua New Guinea	45.0	Q691	130
Paraguay	19.0	Q733	131
Peru	8.0	Q419	132
Philippines	13.0	Q928	133
Poland	7.0	Q36	134
Portugal	8.0	Q45	135
Puerto Rico	16.0	Q1183	136
Qatar	4.0	Q846	137
Romania	14.0	Q218	138
Russian Federation	9.0	Q159	139
Rwanda	9.0	Q1037	140
Samoa	37.0	Q683	141
San Marino	18.0	Q238	142
Sao Tome and Principe	46.0	Q1039	143
Saudi Arabia	4.0	Q851	144
Senegal	53.0	Q1041	145
Serbia	33.0	Q403	146
Seychelles	29.0	Q1042	147
Sierra Leone	34.0	Q1044	148
Singapore	5.0	Q334	149
Slovak Republic	8.0	Q214	150
Slovenia	10.0	Q215	151
Solomon Islands	34.0	Q685	152
South Africa	7.0	Q258	153
South Sudan	37.0	Q958	154
Spain	9.0	Q29	155
Sri Lanka	36.0	Q854	156
St. Kitts and Nevis	39.0	Q763	157
St. Lucia	35.0	Q760	158
St. Vincent and the Grenadines	36.0	Q757	159
Sudan	42.0	Q1049	160
Suriname	30.0	Q730	161
Eswatini	33.0	Q1050	162
Sweden	6.0	Q34	163
Switzerland	19.0	Q39	164
Syrian Arab Republic	20.0	Q858	165
Tajikistan	7.0	Q863	166
Tanzania	59.0	Q924	167
Thailand	21.0	Q869	168
Timor-Leste	18.0	Q574	169
Togo	49.0	Q945	170
Tonga	30.0	Q678	171
Trinidad and Tobago	39.0	Q754	172
Tunisia	8.0	Q948	173
Turkey	10.0	Q43	174
