Country	UnitedStates	EUinstitutions	UnitedKingdom	Germany	Japan	France	Norway	Australia	Sweden	Netherlands	ID	id_row
Afghanistan	914.4	460.8	331.7	438.0	188.0	2020.8	97.7	75.0	145.8	54.9	Q889	0
Albania	21.1	213.4	1.5	58.7	-0.2	5.7	0.8	0.1	11.2	0.2	Q222	1
Algeria	2.5	50.5	8.8	10.5	0.4	77.5	0.6	0.0	1.8	0.3	Q262	2
Angola	50.6	35.4	0.6	4.2	17.2	6.3	6.4	0.0	1.0	-0.2	Q916	3
Bangladesh	324.1	168.6	253.3	118.8	1179.3	63.6	14.6	54.7	51.0	47.6	Q902	4
Bosnia and Herzegovina	49.6	87.3	3.4	24.1	43.2	2.3	5.3	0.0	18.6	0.6	Q225	5
Brazil	24.3	62.3	33.3	127.3	-13.1	50.5	84.3	0.2	1.4	0.3	Q155	6
Burundi	50.0	49.0	5.4	33.3	9.9	6.8	4.5	0.4	6.5	37.1	Q967	7
Central African Republic	56.2	127.6	34.6	49.5	6.4	39.9	8.5	3.1	24.1	6.0	Q929	8
China	31.3	180.9	74.2	507.5	-931.9	-32.6	11.6	4.3	3.4	1.4	Q148	9
Colombia	339.2	84.3	46.9	517.0	9.4	438.9	50.5	0.1	32.7	9.8	Q739	10
Congo, Dem. Rep.	465.0	208.0	271.7	142.7	43.3	2020.8	32.8	4.0	79.2	2020.4	Q974	11
Cote d'Ivoire	184.3	100.6	0.8	15.6	24.6	297.1	0.4	0.1	1.0	0.0	Q1008	12
Cuba	10.4	12.5	6.2	3.6	47.5	134.2	1.5	0.0	2.3	-0.7	Q241	13
Egypt, Arab Rep.	-68.2	276.8	30.0	269.3	104.3	73.6	4.3	0.2	3.0	4.0	Q79	14
El Salvador	130.2	41.1	0.4	0.3	-0.7	13.6	0.5	0.1	1.7	0.2	Q792	15
Ethiopia	821.3	271.0	402.1	175.1	69.4	2020.9	64.0	2020.6	78.7	78.8	Q115	16
Gambia, The	2.6	50.3	21.5	3.0	3.5	6.0	0.3	0.3	0.8	0.1	Q1005	17
Georgia	98.3	275.5	1.7	82.5	2.9	103.9	4.4	0.0	14.8	0.8	Q230	18
Ghana	218.0	78.6	50.3	70.8	70.1	35.8	4.1	1.7	0.9	18.7	Q117	19
Guatemala	199.7	21.4	3.0	32.8	11.0	3.7	5.1	0.1	30.4	0.2	Q774	20
Honduras	161.4	93.7	0.5	17.0	16.4	37.9	0.3	0.1	2.3	0.3	Q783	21
India	117.8	397.2	126.3	244.3	1375.4	302.7	2020.3	2020.6	2020.4	2020.4	Q668	22
Indonesia	215.1	2020.5	39.9	1097.1	-947.8	286.1	2020.3	262.7	2020.2	-14.6	Q252	23
Iran, Islamic Rep.	5.5	16.6	1.9	83.5	4.5	11.2	1.7	0.5	2.5	0.8	Q794	24
Iraq	555.5	273.8	98.6	502.5	474.2	2020.8	2020.3	2020.6	45.5	48.4	Q796	25
Jordan	1135.0	162.0	184.3	331.0	-52.1	103.4	32.5	20.7	11.2	39.6	Q810	26
Kenya	829.2	91.8	154.9	82.7	138.0	59.8	14.6	2.7	54.7	15.9	Q114	27
Kyrgyz Republic	47.0	42.6	5.4	34.4	21.4	0.7	0.1	0.0	0.1	0.0	Q813	28
Lebanon	180.7	196.2	128.7	242.9	6.6	4.9	64.4	22.3	10.3	82.3	Q822	29
North Macedonia	26.7	98.9	4.0	-1.5	-3.4	0.7	3.8	0.0	4.5	0.2	Q221	30
Mali	214.4	235.0	2020.4	126.3	2020.5	81.1	2020.1	2020.6	46.0	48.9	Q912	31
Morocco	49.0	302.3	7.0	52.4	1.7	143.6	0.2	0.0	0.2	2.5	Q1028	32
Mozambique	519.6	56.0	94.6	70.7	142.9	2020.4	42.0	2020.6	75.1	42.0	Q1029	33
Myanmar	143.7	81.3	133.7	51.6	536.9	2020.3	2020.1	49.6	45.0	2020.8	Q836	34
Nepal	173.4	54.3	127.4	51.6	107.1	0.1	32.9	13.8	1.1	0.1	Q837	35
Nicaragua	44.6	40.8	0.5	12.4	12.5	1.3	3.8	0.1	2.3	8.3	Q811	36
Niger	159.0	239.2	1.2	103.1	12.4	51.2	17.8	0.0	6.7	7.1	Q1032	37
Nigeria	841.8	295.6	395.9	240.1	13.3	85.3	21.6	1.5	24.4	12.1	Q1033	38
Pakistan	464.4	130.9	441.6	72.3	-137.4	32.0	2020.6	44.1	2020.1	-1.1	Q843	39
Paraguay	18.3	46.8	1.1	4.7	10.6	1.1	0.4	0.1	1.3	0.0	Q733	40
Peru	84.1	70.4	8.3	70.1	-2.9	82.5	8.1	0.2	1.3	-0.3	Q419	41
Philippines	104.9	37.6	13.5	14.9	68.5	106.0	0.9	53.6	6.8	0.6	Q928	42
