Country	Age	ID	id_row
Monaco	55.4	Q235	0
Japan	48.6	Q17	1
Saint Pierre and Miquelon	48.5	Q34617	2
Germany	47.8	Q183	3
Italy	46.5	Q38	4
Andorra	46.2	Q228	5
Hong Kong	45.6	Q8646	6
Saint Barthelemy	45.6	Q25362	7
Greece	45.3	Q41	8
San Marino	45.2	Q238	9
Slovenia	44.9	Q215	10
Isle of Man	44.6	Q9676	11
Portugal	44.6	Q45	12
Austria	44.5	Q40	13
Lithuania	44.5	Q37	14
Latvia	44.4	Q211	15
Guernsey	44.3	Q25230	16
Croatia	43.9	Q224	17
Spain	43.9	Q29	18
Bulgaria	43.7	Q219	19
Estonia	43.7	Q191	20
Liechtenstein	43.7	Q347	21
Bermuda	43.6	Q23635	22
Hungary	43.6	Q28	23
Puerto Rico	43.6	Q1183	24
Serbia	43.4	Q403	25
Bosnia and Herzegovina	43.3	Q225	26
Czechia	43.3	Q213	27
Korea, South	43.2	Q884	28
Saint Helena, Ascension, and Tristan da Cunha	43.2	Q192184	29
Finland	42.8	Q33	30
Netherlands	42.8	Q55	31
Switzerland	42.7	Q39	32
Romania	42.5	Q218	33
Malta	42.3	Q233	34
Taiwan	42.3	Q865	35
Cuba	42.1	Q241	36
Denmark	42.0	Q35	37
Poland	41.9	Q36	38
Canada	41.8	Q16	39
Slovakia	41.8	Q214	40
Virgin Islands	41.8	Q11703	41
France	41.7	Q142	42
Belgium	41.6	Q31	43
Ukraine	41.2	Q212	44
Sint Maarten	41.1	Q26273	45
Sweden	41.1	Q34	46
Belarus	40.9	Q184	47
Macau	40.8	Q14773	48
United Kingdom	40.6	Q145	49
Cayman Islands	40.5	Q5785	50
Russia	40.3	Q159	51
Aruba	39.9	Q21203	52
Montenegro	39.6	Q236	53
Barbados	39.5	Q244	54
Luxembourg	39.5	Q32	55
Norway	39.5	Q20	56
Macedonia	39.0	Q221	57
Thailand	39.0	Q869	58
Georgia	38.6	Q230	59
United States	38.5	Q30	60
China	38.4	Q148	61
United Arab Emirates	38.4	Q878	62
Cook Islands	38.3	Q26988	63
Cyprus	37.9	Q229	64
Ireland	37.8	Q27	65
Trinidad and Tobago	37.8	Q754	66
Moldova	37.7	Q217	67
Australia	37.5	Q408	68
Jersey	37.5	Q785	69
British Virgin Islands	37.2	Q25305	70
Faroe Islands	37.2	Q4628	71
New Zealand	37.2	Q664	72
Iceland	37.1	Q189	73
Saint Lucia	36.9	Q760	74
Seychelles	36.8	Q1042	75
Curacao	36.7	Q25279	76
Armenia	36.6	Q399	77
Saint Kitts and Nevis	36.5	Q763	78
Mauritius	36.3	Q1027	79
Anguilla	35.7	Q25228	80
Singapore	35.6	Q334	81
Chile	35.5	Q298	82
Gibraltar	35.5	Q1410	83
Uruguay	35.5	Q77	84
Saint Vincent and the Grenadines	35.3	Q757	85
Dominica	34.9	Q784	86
Montserrat	34.8	Q13353	87
Korea, North	34.6	Q423	88
Turks and Caicos Islands	34.6	Q18221	89
Albania	34.3	Q222	90
Greenland	34.3	Q223	91
Wallis and Futuna	34.0	Q35555	92
Palau	33.9	Q695	93
Lebanon	33.7	Q822	94
Qatar	33.7	Q846	95
Sri Lanka	33.7	Q854	96
French Polynesia	33.3	Q30971	97
Grenada	33.3	Q769	98
Saint Martin	33.3	Q126125	99
Brazil	33.2	Q155	100
Bahrain	32.9	Q398	101
New Caledonia	32.9	Q33788	102
Bahamas, The	32.8	Q778	103
Northern Mariana Islands	32.8	Q16644	104
Antigua and Barbuda	32.7	Q781	105
Tunisia	32.7	Q948	106
Azerbaijan	32.6	Q227	107
Costa Rica	32.6	Q800	108
Argentina	32.4	Q414	109
Turkey	32.2	Q43	110
Vietnam	31.9	Q881	111
Iran	31.7	Q794	112
Kazakhstan	31.6	Q232	113
Colombia	31.2	Q739	114
Brunei	31.1	Q921	115
Indonesia	31.1	Q252	116
Suriname	31.0	Q730	117
Saudi Arabia	30.8	Q851	118
Kosovo	30.5	Q1246	119
Israel	30.4	Q801	120
Panama	30.1	Q804	121
Uzbekistan	30.1	Q265	122
Venezuela	30.0	Q717	123
Fiji	29.9	Q712	124
Mongolia	29.8	Q711	125
Kuwait	29.7	Q817	126
Paraguay	29.7	Q733	127
Maldives	29.5	Q826	128
Guam	29.4	Q16635	129
Jamaica	29.4	Q766	130
Mexico	29.3	Q96	131
Burma	29.2	Q836	132
Malaysia	29.2	Q833	133
Turkmenistan	29.2	Q874	134
Bhutan	29.1	Q917	135
Morocco	29.1	Q1028	136
Peru	29.1	Q419	137
Algeria	28.9	Q262	138
Ecuador	28.8	Q736	139
India	28.7	Q668	140
South Africa	28.0	Q258	141
Bangladesh	27.9	Q902	142
Dominican Republic	27.9	Q786	143
El Salvador	27.7	Q792	144
Guyana	27.5	Q734	145
Kyrgyzstan	27.3	Q813	146
Nicaragua	27.3	Q811	147
American Samoa	27.2	Q16641	148
