Country	ChildrenwithARI	ID	id_row
Afghanistan	62.0	Q889	0
Albania	82.0	Q222	1
Algeria	66.0	Q262	2
Angola	49.0	Q916	3
Armenia	94.0	Q399	4
Bangladesh	42.0	Q902	5
Belize	67.0	Q242	6
Benin	46.0	Q962	7
Burkina Faso	52.0	Q965	8
Burundi	62.0	Q967	9
Cambodia	69.0	Q424	10
Cameroon	28.0	Q1009	11
Chad	26.0	Q657	12
Congo, Dem. Rep.	42.0	Q974	13
Congo, Rep.	28.0	Q971	14
Cote d'Ivoire	44.0	Q1008	15
Cuba	93.0	Q241	16
Dominican Republic	73.0	Q786	17
Egypt, Arab Rep.	68.0	Q79	18
El Salvador	80.0	Q792	19
Eswatini	60.0	Q1050	20
Ethiopia	31.0	Q115	21
Gambia, The	68.0	Q1005	22
Ghana	56.0	Q117	23
Guatemala	52.0	Q774	24
Guinea	83.0	Q1006	25
Guinea-Bissau	34.0	Q1007	26
Guyana	84.0	Q734	27
Haiti	37.0	Q790	28
India	78.0	Q668	29
Indonesia	92.0	Q252	30
Iraq	44.0	Q796	31
Jordan	72.0	Q810	32
Kenya	66.0	Q114	33
Korea, Dem. Peopleâ€™s Rep.	86.0	Q423	34
Kosovo	73.0	Q1246	35
Kyrgyz Republic	60.0	Q813	36
Lao PDR	40.0	Q819	37
Lesotho	63.0	Q1013	38
Liberia	51.0	Q1014	39
Madagascar	41.0	Q1019	40
Malawi	78.0	Q1020	41
Mali	71.0	Q912	42
Mauritania	34.0	Q1025	43
Mexico	73.0	Q96	44
Mongolia	70.0	Q711	45
Mozambique	57.0	Q1029	46
Myanmar	58.0	Q836	47
Namibia	68.0	Q1030	48
Nepal	85.0	Q837	49
Niger	59.0	Q1032	50
Nigeria	73.0	Q1033	51
Oman	56.0	Q842	52
Pakistan	84.0	Q843	53
Panama	82.0	Q804	54
Papua New Guinea	63.0	Q691	55
Paraguay	89.0	Q733	56
Peru	62.0	Q419	57
Philippines	67.0	Q928	58
Rwanda	54.0	Q1037	59
Samoa	78.0	Q683	60
Sao Tome and Principe	69.0	Q1039	61
Senegal	60.0	Q1041	62
Sierra Leone	74.0	Q1044	63
Solomon Islands	79.0	Q685	64
South Africa	88.0	Q258	65
Sri Lanka	52.0	Q854	66
Sudan	48.0	Q1049	67
Tajikistan	69.0	Q863	68
Tanzania	55.0	Q924	69
Thailand	80.0	Q869	70
Timor-Leste	71.0	Q574	71
Togo	49.0	Q945	72
Turkmenistan	59.0	Q874	73
Uganda	80.0	Q1036	74
Uruguay	91.0	Q77	75
Vanuatu	72.0	Q686	76
Vietnam	81.0	Q881	77
West Bank and Gaza	77.0	Q407199	78
Yemen, Rep.	34.0	Q805	79
Zambia	76.0	Q953	80
Zimbabwe	51.0	Q954	81
