Country	Total	ID	id_row
Albania	70.0	Q222	0
American Samoa	12.6	Q16641	1
Andorra	90.6	Q228	2
Armenia	86.5	Q399	3
Austria	98.9	Q40	4
Azerbaijan	73.6	Q227	5
Bahrain	99.0	Q398	6
Bangladesh	55.4	Q902	7
Belarus	94.5	Q184	8
Belgium	99.5	Q31	9
Bhutan	36.2	Q917	10
Bosnia and Herzegovina	88.8	Q225	11
Bulgaria	96.9	Q219	12
Cambodia	25.8	Q424	13
Canada	98.9	Q16	14
Channel Islands	92.0	Q42314	15
Chile	98.6	Q298	16
Hong Kong SAR, China	100.0	Q8646	17
Macao SAR, China	100.0	Q14773	18
Colombia	73.2	Q739	19
Congo, Rep.	45.4	Q971	20
Costa Rica	93.8	Q800	21
Cote d'Ivoire	36.5	Q1008	22
Croatia	90.0	Q224	23
Cyprus	99.6	Q229	24
Czech Republic	97.9	Q213	25
Denmark	96.7	Q35	26
Ecuador	75.1	Q736	27
Estonia	93.3	Q191	28
Ethiopia	11.4	Q115	29
Finland	99.6	Q33	30
France	97.9	Q142	31
Georgia	80.0	Q230	32
Germany	99.8	Q183	33
Ghana	36.4	Q117	34
Greece	100.0	Q41	35
Greenland	96.7	Q223	36
Grenada	87.1	Q769	37
Guam	99.5	Q16635	38
Guatemala	56.0	Q774	39
Hungary	89.6	Q28	40
Iceland	100.0	Q189	41
Iran, Islamic Rep.	91.8	Q794	42
Iraq	58.8	Q796	43
Ireland	97.3	Q27	44
Isle of Man	97.2	Q9676	45
Israel	99.4	Q801	46
Italy	95.0	Q38	47
Japan	98.5	Q17	48
Jordan	93.8	Q810	49
Kazakhstan	89.5	Q232	50
Korea, Dem. People’s Rep.	66.6	Q423	51
Korea, Rep.	98.2	Q884	52
Kuwait	100.0	Q817	53
Kyrgyz Republic	68.2	Q813	54
Lao PDR	16.1	Q819	55
Latvia	95.2	Q211	56
Lebanon	47.7	Q822	57
Liechtenstein	100.0	Q347	58
Lithuania	92.0	Q37	59
Luxembourg	99.7	Q32	60
Madagascar	81.0	Q1019	61
Maldives	93.3	Q826	62
Marshall Islands	100.0	Q709	63
Micronesia, Fed. Sts.	42.9	Q702	64
Monaco	72.9	Q235	65
Mongolia	100.0	Q711	66
Montenegro	23.7	Q236	67
Morocco	93.6	Q1028	68
Mozambique	70.3	Q1029	69
Netherlands	27.2	Q55	70
New Caledonia	100.0	Q33788	71
New Zealand	96.7	Q664	72
Nicaragua	100.0	Q811	73
Niger	51.6	Q1032	74
North Macedonia	20.1	Q221	75
Northern Mariana Islands	90.2	Q16644	76
Norway	98.3	Q20	77
Oman	90.3	Q842	78
Pakistan	35.3	Q843	79
Paraguay	63.9	Q733	80
Peru	50.4	Q419	81
Philippines	46.7	Q928	82
Poland	99.2	Q36	83
Portugal	95.3	Q45	84
Puerto Rico	94.1	Q1183	85
Qatar	96.2	Q846	86
Romania	81.9	Q218	87
Russian Federation	76.0	Q159	88
Samoa	58.8	Q683	89
San Marino	100.0	Q238	90
Serbia	74.7	Q403	91
Sierra Leone	9.9	Q1044	92
Singapore	100.0	Q334	93
Slovak Republic	99.8	Q214	94
Slovenia	98.1	Q215	95
Spain	98.4	Q29	96
Sweden	99.9	Q34	97
Switzerland	95.5	Q39	98
Tajikistan	47.9	Q863	99
Tunisia	92.7	Q948	100
Turkmenistan	93.9	Q874	101
Uganda	7.1	Q1036	102
Ukraine	92.0	Q212	103
United Kingdom	100.0	Q145	104
United States	99.0	Q30	105
Uzbekistan	58.9	Q265	106
Vanuatu	44.1	Q686	107
