Country	Savings	ID	id_row
Afghanistan	2.6	Q889	0
Albania	3.3	Q222	1
Algeria	4.5	Q262	2
American Samoa	11.8	Q16641	3
Andorra	2.4	Q228	4
Angola	3.6	Q916	5
Antigua and Barbuda	2.3	Q781	6
Argentina	5.0	Q414	7
Armenia	2.3	Q399	8
Aruba	6.5	Q21203	9
Australia	5.0	Q408	10
Austria	5.2	Q40	11
Azerbaijan	2.6	Q227	12
Bahamas, The	3.8	Q778	13
Bahrain	2.9	Q398	14
Bangladesh	1.2	Q902	15
Barbados	5.0	Q244	16
Belarus	4.7	Q184	17
Belgium	6.1	Q31	18
Belize	6.4	Q242	19
Benin	4.0	Q962	20
Bermuda	2.1	Q23635	21
Bhutan	6.8	Q917	22
Bolivia	6.1	Q750	23
Botswana	9.5	Q963	24
Brazil	6.1	Q155	25
Brunei Darussalam	4.0	Q921	26
Bulgaria	3.9	Q219	27
Burkina Faso	4.3	Q965	28
Burundi	5.2	Q967	29
Cabo Verde	5.2	Q1011	30
Cambodia	2.0	Q424	31
Cameroon	2.7	Q1009	32
Canada	4.9	Q16	33
Central African Republic	1.2	Q929	34
Chad	1.8	Q657	35
Chile	4.6	Q298	36
China	1.8	Q148	37
Hong Kong SAR, China	2.8	Q8646	38
Macao SAR, China	2.7	Q14773	39
Colombia	4.1	Q739	40
Comoros	2.5	Q970	41
Congo, Dem. Rep.	2.1	Q974	42
Congo, Rep.	2.5	Q971	43
Costa Rica	7.2	Q800	44
Cote d'Ivoire	4.3	Q1008	45
Croatia	4.5	Q224	46
Cuba	13.0	Q241	47
Curacao	5.0	Q25279	48
Cyprus	6.2	Q229	49
Czech Republic	5.6	Q213	50
Denmark	6.9	Q35	51
Djibouti	7.4	Q977	52
Dominica	5.0	Q784	53
Dominican Republic	2.5	Q786	54
Ecuador	3.9	Q736	55
Egypt, Arab Rep.	4.4	Q79	56
El Salvador	3.6	Q792	57
Equatorial Guinea	1.0	Q983	58
Eritrea	1.7	Q986	59
Estonia	4.9	Q191	60
Eswatini	6.8	Q1050	61
Ethiopia	3.1	Q115	62
Fiji	4.0	Q712	63
Finland	6.3	Q33	64
France	4.9	Q142	65
French Polynesia	0.5	Q30971	66
Gabon	3.1	Q1000	67
Gambia, The	2.7	Q1005	68
Georgia	1.8	Q230	69
Germany	4.4	Q183	70
Ghana	4.2	Q117	71
Greece	3.1	Q41	72
Grenada	3.8	Q769	73
Guam	8.3	Q16635	74
Guatemala	2.8	Q774	75
Guinea	2.3	Q1006	76
Guinea-Bissau	1.2	Q1007	77
Guyana	2.9	Q734	78
Haiti	1.5	Q790	79
Honduras	6.3	Q783	80
Hungary	4.5	Q28	81
Iceland	7.4	Q189	82
India	3.1	Q668	83
Indonesia	3.3	Q252	84
Iran, Islamic Rep.	3.6	Q794	85
Iraq	4.6	Q796	86
Ireland	4.2	Q27	87
Israel	5.3	Q801	88
Italy	3.7	Q38	89
Jamaica	5.6	Q766	90
Japan	2.7	Q17	91
Jordan	3.2	Q810	92
Kazakhstan	3.0	Q232	93
Kenya	4.9	Q114	94
Kiribati	6.1	Q710	95
Korea, Rep.	4.6	Q884	96
Kuwait	3.2	Q817	97
Kyrgyz Republic	5.4	Q813	98
Lao PDR	2.6	Q819	99
Latvia	4.3	Q211	100
Lebanon	2.1	Q822	101
Lesotho	5.5	Q1013	102
Liberia	3.7	Q1014	103
Libya	2.1	Q1016	104
Liechtenstein	3.1	Q347	105
Lithuania	3.9	Q37	106
Luxembourg	5.5	Q32	107
Madagascar	2.1	Q1019	108
Malawi	4.6	Q1020	109
Malaysia	4.4	Q833	110
Maldives	4.4	Q826	111
Mali	3.8	Q912	112
Malta	4.7	Q233	113
Marshall Islands	6.5	Q709	114
Mauritania	2.9	Q1025	115
Mauritius	4.8	Q1027	116
Mexico	4.9	Q96	117
Micronesia, Fed. Sts.	23.6	Q702	118
Moldova	4.6	Q217	119
Monaco	1.0	Q235	120
Mongolia	4.3	Q711	121
Morocco	5.2	Q1028	122
Mozambique	5.4	Q1029	123
Myanmar	1.8	Q836	124
Namibia	2.9	Q1030	125
Nepal	3.2	Q837	126
Netherlands	5.0	Q55	127
New Caledonia	0.5	Q33788	128
New Zealand	7.4	Q664	129
Nicaragua	4.1	Q811	130
Niger	3.5	Q1032	131
Nigeria	0.9	Q1033	132
North Macedonia	3.3	Q221	133
Norway	6.7	Q20	134
Oman	6.5	Q842	135
Pakistan	2.0	Q843	136
Panama	2.8	Q804	137
Papua New Guinea	6.9	Q691	138
Paraguay	3.4	Q733	139
Peru	3.3	Q419	140
Philippines	1.8	Q928	141
Poland	4.6	Q36	142
Portugal	4.8	Q45	143
Puerto Rico	8.6	Q1183	144
Qatar	2.2	Q846	145
Romania	2.8	Q218	146
Russian Federation	3.6	Q159	147
Rwanda	3.2	Q1037	148
Samoa	4.2	Q683	149
San Marino	3.6	Q238	150
Sao Tome and Principe	3.5	Q1039	151
Saudi Arabia	7.2	Q851	152
Senegal	5.0	Q1041	153
Serbia	3.8	Q403	154
Seychelles	4.5	Q1042	155
Sierra Leone	2.7	Q1044	156
Singapore	2.8	Q334	157
Slovak Republic	3.8	Q214	158
Slovenia	4.3	Q215	159
Solomon Islands	9.9	Q685	160
Somalia	1.0	Q1045	161
South Africa	6.0	Q258	162
South Sudan	1.8	Q958	163
Spain	4.0	Q29	164
Sri Lanka	1.6	Q854	165
St. Kitts and Nevis	3.3	Q763	166
St. Lucia	3.7	Q760	167
St. Vincent and the Grenadines	5.2	Q757	168
Sudan	2.2	Q1049	169
Suriname	3.4	Q730	170
Sweden	7.2	Q34	171
Switzerland	4.5	Q39	172
Syrian Arab Republic	2.6	Q858	173
Tajikistan	3.8	Q863	174
Tanzania	3.7	Q924	175
Thailand	4.2	Q869	176
Timor-Leste	3.2	Q574	177
Togo	4.9	Q945	178
Tonga	2.9	Q678	179
Trinidad and Tobago	2.9	Q754	180
Tunisia	5.9	Q948	181
Turkey	3.8	Q43	182
Turkmenistan	2.3	Q874	183
Turks and Caicos Islands	2.4	Q18221	184
Uganda	2.0	Q1036	185
Ukraine	5.1	Q212	186
United Kingdom	5.5	Q145	187
United States	4.4	Q30	188
Uruguay	5.0	Q77	189
Uzbekistan	9.4	Q265	190
Vanuatu	4.7	Q686	191
Venezuela, RB	6.5	Q717	192
Vietnam	4.6	Q881	193
Virgin Islands (U.S.)	9.4	Q11703	194
Yemen, Rep.	3.6	Q805	195
Zambia	3.5	Q953	196
Zimbabwe	1.9	Q954	197
