Country	Institution	ID	id_row
Afghanistan	3.1	Q889	0
Albania	-0.2	Q222	1
Algeria	0.0	Q262	2
Angola	-1.1	Q916	3
Argentina	557.4	Q414	4
Armenia	1.7	Q399	5
Azerbaijan	-87.9	Q227	6
Bangladesh	66.1	Q902	7
Belarus	-221.6	Q184	8
Belize	6.0	Q242	9
Benin	-73.1	Q962	10
Bhutan	0.8	Q917	11
Bolivia	135.5	Q750	12
Bosnia and Herzegovina	28.9	Q225	13
Botswana	-11.1	Q963	14
Brazil	258.4	Q155	15
Bulgaria	-49.9	Q219	16
Burkina Faso	49.2	Q965	17
Burundi	4.2	Q967	18
Cabo Verde	-4.1	Q1011	19
Cambodia	7.0	Q424	20
Cameroon	123.1	Q1009	21
Central African Republic	-1.4	Q929	22
Chad	-14.3	Q657	23
China	-158.1	Q148	24
Colombia	369.2	Q739	25
Comoros	-0.1	Q970	26
Congo, Dem. Rep.	-32.0	Q974	27
Congo, Rep.	-63.7	Q971	28
Costa Rica	1057.3	Q800	29
Cote d'Ivoire	95.2	Q1008	30
Djibouti	32.5	Q977	31
Dominica	-5.9	Q784	32
Dominican Republic	46.6	Q786	33
Ecuador	319.8	Q736	34
Egypt, Arab Rep.	-821.9	Q79	35
El Salvador	-99.8	Q792	36
Eritrea	-1.8	Q986	37
Ethiopia	58.8	Q115	38
Fiji	0.0	Q712	39
Gabon	-12.3	Q1000	40
Gambia, The	21.9	Q1005	41
Georgia	122.8	Q230	42
Ghana	-12.9	Q117	43
Grenada	-6.5	Q769	44
Guatemala	-31.1	Q774	45
Guinea	-0.7	Q1006	46
Guinea-Bissau	22.8	Q1007	47
Guyana	-1.8	Q734	48
Haiti	-2.1	Q790	49
Honduras	29.4	Q783	50
India	373.3	Q668	51
Indonesia	43.8	Q252	52
Iran, Islamic Rep.	0.0	Q794	53
Jamaica	-38.9	Q766	54
Jordan	-111.5	Q810	55
Kazakhstan	-8.9	Q232	56
Kenya	626.7	Q114	57
Kosovo	3.8	Q1246	58
Kyrgyz Republic	25.8	Q813	59
Lao PDR	-8.3	Q819	60
Lebanon	-17.1	Q822	61
Lesotho	-4.7	Q1013	62
Liberia	-0.9	Q1014	63
North Macedonia	-28.5	Q221	64
Madagascar	25.9	Q1019	65
Malawi	16.9	Q1020	66
Maldives	77.0	Q826	67
Mali	209.7	Q912	68
Mauritania	-36.9	Q1025	69
Mauritius	-9.9	Q1027	70
Mexico	0.0	Q96	71
Moldova	57.6	Q217	72
Mongolia	14.1	Q711	73
Montenegro	-3.4	Q236	74
Morocco	-126.1	Q1028	75
Mozambique	40.0	Q1029	76
Myanmar	-0.1	Q836	77
Nepal	-0.8	Q837	78
Nicaragua	297.4	Q811	79
Niger	21.4	Q1032	80
Nigeria	26.9	Q1033	81
Pakistan	317.3	Q843	82
Papua New Guinea	1.7	Q691	83
Paraguay	81.3	Q733	84
Peru	-406.5	Q419	85
Philippines	-6.2	Q928	86
Romania	-358.4	Q218	87
Russian Federation	-6.2	Q159	88
Rwanda	8.7	Q1037	89
Samoa	-0.3	Q683	90
Sao Tome and Principe	-2.0	Q1039	91
Senegal	1.0	Q1041	92
Serbia	118.0	Q403	93
Sierra Leone	2.7	Q1044	94
Solomon Islands	0.2	Q685	95
Somalia	0.0	Q1045	96
South Africa	0.0	Q258	97
Sri Lanka	-6.6	Q854	98
St. Lucia	-9.9	Q760	99
St. Vincent and the Grenadines	-0.2	Q757	100
Sudan	5.8	Q1049	101
Eswatini	-3.2	Q1050	102
Syrian Arab Republic	1.3	Q858	103
Tajikistan	3.5	Q863	104
Tanzania	-19.6	Q924	105
Thailand	0.0	Q869	106
Timor-Leste	0.0	Q574	107
Togo	71.2	Q945	108
Tonga	-0.2	Q678	109
Tunisia	-73.5	Q948	110
Turkey	547.6	Q43	111
Turkmenistan	0.0	Q874	112
Uganda	-48.0	Q1036	113
Ukraine	-860.4	Q212	114
Uzbekistan	10.5	Q265	115
Vanuatu	0.0	Q686	116
Venezuela, RB	383.5	Q717	117
Vietnam	-3.2	Q881	118
Yemen, Rep.	19.4	Q805	119
Zambia	25.9	Q953	120
Zimbabwe	-40.8	Q954	121
