Country	TemperatureC	Date	ID	id_row
Algeria	5130.0	5 July 2018	Q262	0
Botswana	4400.0	7 January 2016	Q963	1
Burkina Faso	4720.0	1.984,00	Q965	2
Chad	4760.0	22 June 2010	Q657	3
Comoros	3600.0	15 November 2017	Q970	4
Ghana	4380.0	26 March 2017	Q117	5
Guinea	4500.0	29 March 2017	Q1006	6
Morocco	5170.0	19 August 1940	Q1028	7
Niger	4950.0	7 September 1978	Q1032	8
Nigeria	4640.0	3 April 2010	Q1033	9
Réunion	3690.0	6 March 2004	Q17070	10
South Africa	5000.0	3 November 1918	Q258	11
Sudan	4970.0	25 June 2010	Q1049	12
Tunisia	5500.0	7 July 1931	Q948	13
Western Sahara	5070.0	13 July 1961	Q6250	14
Zambia	4240.0	13 October 2010	Q953	15
Afghanistan	4990.0	August 2009	Q889	16
Bangladesh	4510.0	30 may. 1972	Q902	17
Bhutan	4000.0	27 August 1997	Q917	18
Cambodia	4260.0	15 April 2016	Q424	19
China	5050.0	10 July 2017	Q148	20
Hong Kong	3900.0	22 August 2017	Q8646	21
Macau	3900.0	22 August 2017	Q14773	22
India	5100.0	19 may. 2016	Q668	23
Indonesia	4060.0	16 August 1997	Q252	24
Iran	5400.0	29 June 2017	Q794	25
Iraq	5380.0	22 July 2016	Q796	26
Israel	5400.0	21 June 1942	Q801	27
Japan	4110.0	23 July 2018	Q17	28
Jordan	5000.0	6 September 2002	Q810	29
Kuwait	5390.0	21 July 2016	Q817	30
Laos	4230.0	12 April 2016	Q819	31
Malaysia	4010.0	9 April 1998	Q833	32
Maldives	3490.0	16 April 2016	Q826	33
Mongolia	4400.0	24 July 1999	Q711	34
Myanmar	4720.0	14 may. 2010	Q836	35
Nepal	4640.0	16 June 1995	Q837	36
Oman	5080.0	30 may. 2017	Q842	37
Pakistan	5370.0	28 may. 2017	Q843	38
Philippines	4220.0	11 may. 1969	Q928	39
Qatar	5040.0	14 July 2010	Q846	40
Siberia	4320.0	5 June 1898	Q5428	41
Saudi Arabia	5200.0	23 June 2010	Q851	42
Singapore	3700.0	17 April 1983	Q334	43
South Korea	4100.0	1 August 2018	Q884	44
Taiwan	4030.0	9 July 2018	Q865	45
Thailand	4460.0	28 April 2016	Q869	46
Turkey	4900.0	27 August 1961	Q43	47
Turkmenistan	5010.0	28 July 1983	Q874	48
United Arab Emirates	5210.0	July 2002	Q878	49
Vietnam	4340.0	20 April 2019	Q881	50
Albania	4220.0	6 July 1988	Q222	51
Armenia	4370.0	1 August 2011	Q399	52
Austria	4050.0	8 August 2013	Q40	53
Belarus	3890.0	7 August 2010	Q184	54
Belgium	4180.0	25 July 2019	Q31	55
Bosnia and Herzegovina	4620.0	31 July 1901	Q225	56
Bulgaria	4520.0	5 August 1916	Q219	57
Croatia	4280.0	5 August 1981	Q224	58
Cyprus	4620.0	4 September 2020	Q229	59
Czech Republic	4040.0	20 August 2012	Q213	60
Denmark	3640.0	10 August 1975	Q35	61
Estonia	3560.0	11 August 1992	Q191	62
Finland	3720.0	29 July 2010	Q33	63
