Country	Revenue2010	Revenue2018	ID	id_row
Afghanistan	0.0	1.0	Q889	0
Albania	17.0	21.0	Q222	1
Angola	3.0	5.0	Q916	2
Argentina	28.0	34.0	Q414	3
Armenia	13.0	1.0	Q399	4
Austria	32.0	34.0	Q40	5
Azerbaijan	6.0	7.0	Q227	6
Barbados	0.0	0.0	Q244	7
Belarus	37.0	31.0	Q184	8
Belgium	36.0	35.0	Q31	9
Belize	0.0	0.0	Q242	10
Bhutan	0.0	0.0	Q917	11
Bosnia and Herzegovina	39.0	39.0	Q225	12
Brazil	32.0	32.0	Q155	13
Bulgaria	22.0	25.0	Q219	14
Cabo Verde	12.0	18.0	Q1011	15
Cameroon	1.0	1.0	Q1009	16
Canada	23.0	21.0	Q16	17
Chile	6.0	7.0	Q298	18
Macao SAR, China	0.0	0.0	Q14773	19
Colombia	12.0	16.0	Q739	20
Costa Rica	35.0	34.0	Q800	21
Croatia	33.0	30.0	Q224	22
Cyprus	22.0	23.0	Q229	23
Czech Republic	46.0	47.0	Q213	24
Denmark	3.0	2.0	Q35	25
Dominican Republic	3.0	1.0	Q786	26
El Salvador	12.0	10.0	Q792	27
Estonia	34.0	32.0	Q191	28
Finland	34.0	32.0	Q33	29
France	42.0	40.0	Q142	30
Gabon	1.0	2.0	Q1000	31
Germany	56.0	56.0	Q183	32
Ghana	1.0	1.0	Q117	33
Greece	33.0	31.0	Q41	34
Guatemala	3.0	3.0	Q774	35
Honduras	13.0	13.0	Q783	36
Hungary	30.0	30.0	Q28	37
Iceland	10.0	9.0	Q189	38
India	0.0	0.0	Q668	39
Ireland	18.0	17.0	Q27	40
Israel	18.0	17.0	Q801	41
Italy	34.0	33.0	Q38	42
Japan	1.0	1.0	Q17	43
Jordan	0.0	0.0	Q810	44
Kazakhstan	3.0	3.0	Q232	45
Korea, Rep.	16.0	26.0	Q884	46
Latvia	30.0	30.0	Q211	47
Lebanon	1.0	1.0	Q822	48
Lithuania	36.0	39.0	Q37	49
Luxembourg	30.0	29.0	Q32	50
Malta	18.0	16.0	Q233	51
Mauritius	7.0	4.0	Q1027	52
Mexico	11.0	11.0	Q96	53
Moldova	30.0	32.0	Q217	54
Mongolia	13.0	19.0	Q711	55
Mozambique	1.0	3.0	Q1029	56
Myanmar	0.0	1.0	Q836	57
Netherlands	35.0	36.0	Q55	58
New Zealand	4.0	2.0	Q664	59
North Macedonia	30.0	28.0	Q221	60
Norway	20.0	21.0	Q20	61
Paraguay	17.0	22.0	Q733	62
Peru	9.0	12.0	Q419	63
Poland	37.0	40.0	Q36	64
Portugal	32.0	30.0	Q45	65
Romania	31.0	38.0	Q218	66
Russian Federation	20.0	22.0	Q159	67
Samoa	2.0	2.0	Q683	68
San Marino	32.0	32.0	Q238	69
Slovak Republic	37.0	39.0	Q214	70
Slovenia	41.0	40.0	Q215	71
South Africa	2.0	2.0	Q258	72
Spain	7.0	5.0	Q29	73
Sri Lanka	1.0	1.0	Q854	74
Sweden	9.0	9.0	Q34	75
Switzerland	36.0	37.0	Q39	76
Thailand	6.0	5.0	Q869	77
Trinidad and Tobago	6.0	9.0	Q754	78
Turkey	28.0	25.0	Q43	79
Ukraine	36.0	20.0	Q212	80
United Arab Emirates	7.0	7.0	Q878	81
United Kingdom	22.0	22.0	Q145	82
United States	39.0	38.0	Q30	83
Uruguay	30.0	31.0	Q77	84
Uzbekistan	19.0	21.0	Q265	85
Zimbabwe	0.0	3.0	Q954	86
