Country	70yearsold	5069yearsold	1549yearsold	ID	id_row
Denmark	4347.0	127.0	2.0	Q35	48
Djibouti	76.0	12.0		Q977	49
Dominica	33.0	1.0		Q784	50
Dominican Republic	2839.0	158.0	4.0	Q786	51
Ecuador	476.0	206.0	5.0	Q736	52
Egypt	8556.0	1278.0	18.0	Q79	53
El Salvador	2391.0	87.0	2.0	Q792	54
England	52325.0	1264.0	30.0	Q21	55
Equatorial Guinea	88.0	9.0		Q983	56
Eritrea	320.0	65.0	3.0	Q986	57
Estonia	1081.0	36.0	2.0	Q191	58
Ethiopia	7016.0	712.0	21.0	Q115	59
Fiji	117.0	16.0		Q712	60
Finland	8349.0	194.0	3.0	Q33	61
France	69007.0	1534.0	27.0	Q142	62
Gabon	241.0	23.0		Q1000	63
Gambia	250.0	17.0		Q1005	64
Georgia	22.0	90.0	2.0	Q230	65
Germany	81737.0	201.0	35.0	Q183	66
Ghana	2534.0	221.0	10.0	Q117	67
Greece	1123.0	253.0	6.0	Q41	68
Greenland	17.0	2.0		Q223	69
Grenada	49.0	2.0		Q769	70
Guam	43.0	4.0		Q16635	71
Guatemala	2.0	128.0	5.0	Q774	72
Guinea	1488.0	104.0	3.0	Q1006	73
Guinea-Bissau	124.0	15.0		Q1007	74
Guyana	120.0	14.0		Q734	75
Haiti	1129.0	148.0	5.0	Q790	76
Honduras	2256.0	151.0	2.0	Q783	77
Hungary	6804.0	258.0	3.0	Q28	78
Iceland	230.0	6.0		Q189	79
India	163496.0	16242.0	315.0	Q668	80
Indonesia	43143.0	4643.0	83.0	Q252	81
Iran	20062.0	1348.0	25.0	Q794	82
Iraq	3311.0	280.0	8.0	Q796	83
Ireland	2612.0	84.0	2.0	Q27	84
Israel	4522.0	133.0	3.0	Q801	85
Italy	72.0	1363.0	24.0	Q38	86
Jamaica	1202.0	49.0	2.0	Q766	87
Japan	194627.0	3872.0	57.0	Q17	88
Jordan	1188.0	107.0	3.0	Q810	89
Kazakhstan	4252.0	222.0	7.0	Q232	90
Kenya	3735.0	399.0	13.0	Q114	91
Kiribati	16.0	3.0		Q710	92
Kuwait	299.0	24.0	1.0	Q817	93
Kyrgyzstan	770.0	52.0	2.0	Q813	94
Laos	785.0	100.0	2.0	Q819	95
Latvia	1689.0	48.0	3.0	Q211	96
Lebanon	1749.0	114.0	2.0	Q822	97
Lesotho	285.0	24.0	2.0	Q1013	98
Liberia	406.0	28.0	2.0	Q1014	99
Libya	1.0	119.0	4.0	Q1016	100
Lithuania	2.0	65.0	1.0	Q37	101
Luxembourg	428.0	12.0		Q32	102
Macedonia	797.0	50.0		Q221	103
Madagascar	1225.0	188.0	8.0	Q1019	104
Malawi	1757.0	136.0	4.0	Q1020	105
Malaysia	5292.0	587.0	7.0	Q833	106
Maldives	64.0	4.0		Q826	107
Mali	1514.0	135.0	5.0	Q912	108
Malta	320.0	11.0		Q233	109
Marshall Islands	5.0	1.0		Q709	110
Mauritania	523.0	35.0	1.0	Q1025	111
Mauritius	416.0	38.0		Q1027	112
Mexico	31048.0	1781.0	37.0	Q96	113
Micronesia (country)	16.0	2.0		Q702	114
Moldova	1263.0	73.0	5.0	Q217	115
Mongolia	262.0	27.0	2.0	Q711	116
Montenegro	339.0	15.0		Q236	117
Morocco	866.0	671.0	12.0	Q1028	118
Mozambique	2001.0	246.0	10.0	Q1029	119
Myanmar	13012.0	1409.0	24.0	Q836	120
Namibia	386.0	19.0	1.0	Q1030	121
Nepal	3816.0	356.0	6.0	Q837	122
Netherlands	14447.0	382.0	7.0	Q55	123
New Zealand	2894.0	79.0	2.0	Q664	124
Nicaragua	1112.0	59.0	2.0	Q811	125
Niger	1083.0	125.0	4.0	Q1032	126
Nigeria	1933.0	108.0	41.0	Q1033	127
North Korea	667.0	702.0	21.0	Q423	128
