Country	Total1990	Total2018	Total1990	Total2018	ID	id_row
Afghanistan	2629.0	9477.0	21.0	25.0	Q889	0
Albania	1197.0	1729.0	36.0	60.0	Q222	1
Algeria	13417.0	30670.0	52.0	73.0	Q262	2
American Samoa	38.0	48.0	81.0	87.0	Q16641	3
Andorra	52.0	68.0	95.0	88.0	Q228	4
Angola	4401.0	20185.0	37.0	66.0	Q916	5
Antigua and Barbuda	22.0	24.0	35.0	25.0	Q781	6
Argentina	28373.0	40877.0	87.0	92.0	Q414	7
Armenia	2385.0	1864.0	67.0	63.0	Q399	8
Aruba	31.0	46.0	50.0	43.0	Q21203	9
Australia	14579.0	21488.0	85.0	86.0	Q408	10
Austria	4834.0	5154.0	63.0	58.0	Q40	11
Azerbaijan	3848.0	5534.0	54.0	56.0	Q227	12
Bahamas, The	205.0	320.0	80.0	83.0	Q778	13
Bahrain	437.0	1401.0	88.0	89.0	Q398	14
Bangladesh	20439.0	59108.0	20.0	37.0	Q902	15
Barbados	98.0	89.0	37.0	31.0	Q244	16
Belarus	6723.0	7454.0	66.0	79.0	Q184	17
Belgium	9606.0	11199.0	96.0	98.0	Q31	18
Belize	89.0	175.0	47.0	46.0	Q242	19
Benin	1717.0	5434.0	34.0	47.0	Q962	20
Bermuda	59.0	64.0	100.0	100.0	Q23635	21
Bhutan	87.0	309.0	16.0	41.0	Q917	22
Bolivia	3815.0	7882.0	56.0	69.0	Q750	23
Bosnia and Herzegovina	1752.0	1604.0	39.0	48.0	Q225	24
Botswana	540.0	1565.0	42.0	69.0	Q963	25
Brazil	110146.0	181336.0	74.0	87.0	Q155	26
Brunei Darussalam	172.0	333.0	66.0	78.0	Q921	27
Bulgaria	5787.0	5269.0	66.0	75.0	Q219	28
Burkina Faso	1217.0	5799.0	14.0	29.0	Q965	29
Burundi	341.0	1456.0	6.0	13.0	Q967	30
Cabo Verde	149.0	357.0	44.0	66.0	Q1011	31
Cambodia	1395.0	3801.0	16.0	23.0	Q424	32
Cameroon	4672.0	14215.0	40.0	56.0	Q1009	33
Canada	21206.0	30169.0	77.0	81.0	Q16	34
Cayman Islands	25.0	64.0	100.0	100.0	Q5785	35
Central African Republic	1034.0	1930.0	37.0	41.0	Q929	36
Chad	1241.0	3569.0	21.0	23.0	Q657	37
Channel Islands	44.0	53.0	31.0	31.0	Q42314	38
Chile	11054.0	16400.0	83.0	88.0	Q298	39
China	300166.0	823828.0	26.0	59.0	Q148	40
Hong Kong SAR, China	5677.0	7451.0	100.0	100.0	Q8646	41
Macao SAR, China	343.0	632.0	100.0	100.0	Q14773	42
Colombia	23000.0	40105.0	69.0	81.0	Q739	43
Comoros	115.0	241.0	28.0	29.0	Q970	44
Congo, Dem. Rep.	10603.0	37377.0	31.0	44.0	Q974	45
Congo, Rep.	1280.0	3509.0	54.0	67.0	Q971	46
Costa Rica	1560.0	3967.0	50.0	79.0	Q800	47
Cote d'Ivoire	4692.0	12730.0	39.0	51.0	Q1008	48
Croatia	2438.0	2328.0	51.0	57.0	Q224	49
Cuba	7774.0	8735.0	73.0	77.0	Q241	50
Curacao	123.0	142.0	85.0	89.0	Q25279	51
Cyprus	512.0	795.0	67.0	67.0	Q229	52
Czech Republic	7773.0	7844.0	75.0	74.0	Q213	53
Denmark	4362.0	5091.0	85.0	88.0	Q35	54
Djibouti	448.0	746.0	76.0	78.0	Q977	55
Dominica	44.0	50.0	63.0	70.0	Q784	56
Dominican Republic	3940.0	8616.0	55.0	81.0	Q786	57
Ecuador	5636.0	10903.0	55.0	64.0	Q736	58
Egypt, Arab Rep.	24406.0	42031.0	43.0	43.0	Q79	59
El Salvador	2597.0	4624.0	49.0	72.0	Q792	60
Equatorial Guinea	146.0	944.0	35.0	72.0	Q983	61
Estonia	1118.0	911.0	71.0	69.0	Q191	62
Eswatini	166.0	270.0	20.0	24.0	Q1050	63
Ethiopia	6044.0	22678.0	13.0	21.0	Q115	64
Faroe Islands	14.0	20.0	31.0	42.0	Q4628	65
Fiji	303.0	497.0	42.0	56.0	Q712	66
Finland	3958.0	4709.0	79.0	85.0	Q33	67
France	43127.0	53870.0	74.0	80.0	Q142	68
French Polynesia	116.0	172.0	58.0	62.0	Q30971	69
Gabon	657.0	1894.0	69.0	89.0	Q1000	70
Gambia, The	366.0	1397.0	38.0	61.0	Q1005	71
Georgia	2643.0	2185.0	55.0	59.0	Q230	72
Germany	58080.0	64096.0	73.0	77.0	Q183	73
Ghana	5384.0	16687.0	36.0	56.0	Q117	74
Greece	7287.0	8485.0	71.0	79.0	Q41	75
Greenland	44.0	49.0	80.0	87.0	Q223	76
Grenada	32.0	40.0	33.0	36.0	Q769	77
Guam	118.0	157.0	91.0	95.0	Q16635	78
Guatemala	3800.0	8346.0	42.0	51.0	Q774	79
Guinea	1780.0	4487.0	28.0	36.0	Q1006	80
Guinea-Bissau	301.0	813.0	31.0	43.0	Q1007	81
Guyana	220.0	207.0	30.0	27.0	Q734	82
Haiti	2007.0	6149.0	29.0	55.0	Q790	83
Honduras	2005.0	5474.0	40.0	57.0	Q783	84
Hungary	6830.0	6975.0	66.0	71.0	Q28	85
Iceland	231.0	331.0	91.0	94.0	Q189	86
India	223096.0	460296.0	26.0	34.0	Q668	87
Indonesia	55483.0	148085.0	31.0	55.0	Q252	88
Iran, Islamic Rep.	31751.0	61267.0	56.0	75.0	Q794	89
Iraq	12142.0	27085.0	70.0	70.0	Q796	90
Ireland	2000.0	3075.0	57.0	63.0	Q27	91
Isle of Man	36.0	44.0	52.0	53.0	Q9676	92
Israel	4211.0	8209.0	90.0	92.0	Q801	93
Italy	37846.0	42560.0	67.0	70.0	Q38	94
Jamaica	1196.0	1634.0	49.0	56.0	Q766	95
Japan	95542.0	115921.0	77.0	92.0	Q17	96
Jordan	2613.0	9058.0	73.0	91.0	Q810	97
Kazakhstan	9198.0	10496.0	56.0	57.0	Q232	98
Kenya	3973.0	13892.0	17.0	27.0	Q114	99
Kiribati	25.0	63.0	35.0	54.0	Q710	100
Korea, Dem. Peopleâ€™s Rep.	11848.0	15815.0	58.0	62.0	Q423	101
Korea, Rep.	31656.0	42038.0	74.0	81.0	Q884	102
Kuwait	2053.0	4137.0	98.0	100.0	Q817	103
Kyrgyz Republic	1659.0	2298.0	38.0	36.0	Q813	104
Lao PDR	657.0	2472.0	15.0	35.0	Q819	105
Latvia	1844.0	1313.0	69.0	68.0	Q211	106
Lebanon	2330.0	6068.0	83.0	89.0	Q822	107
Lesotho	238.0	594.0	14.0	28.0	Q1013	108
Liberia	1151.0	2465.0	55.0	51.0	Q1014	109
Libya	3360.0	5350.0	76.0	80.0	Q1016	110
Liechtenstein	5.0	5.0	17.0	14.0	Q347	111
Lithuania	2499.0	1896.0	68.0	68.0	Q37	112
Luxembourg	309.0	553.0	81.0	91.0	Q32	113
North Macedonia	1154.0	1207.0	58.0	58.0	Q221	114
