Country	Growth	ID	id_row
Afghanistan	3.4	Q889	0
Albania	1.3	Q222	1
Algeria	2.8	Q262	2
American Samoa	-0.3	Q16641	3
Andorra	-0.1	Q228	4
Angola	4.3	Q916	5
Antigua and Barbuda	0.4	Q781	6
Argentina	1.1	Q414	7
Armenia	0.3	Q399	8
Aruba	0.7	Q21203	9
Australia	1.7	Q408	10
Austria	0.8	Q40	11
Azerbaijan	1.5	Q227	12
Bahamas, The	1.1	Q778	13
Bahrain	5.0	Q398	14
Bangladesh	3.2	Q902	15
Barbados	0.1	Q244	16
Belarus	0.4	Q184	17
Belgium	0.5	Q31	18
Belize	2.2	Q242	19
Benin	3.9	Q962	20
Bermuda	0.1	Q23635	21
Bhutan	3.0	Q917	22
Bolivia	1.9	Q750	23
Bosnia and Herzegovina	-0.1	Q225	24
Botswana	3.3	Q963	25
Brazil	1.1	Q155	26
Brunei Darussalam	1.5	Q921	27
Bulgaria	-0.3	Q219	28
Burkina Faso	5.0	Q965	29
Burundi	5.7	Q967	30
Cabo Verde	1.9	Q1011	31
Cambodia	3.3	Q424	32
Cameroon	3.7	Q1009	33
Canada	1.5	Q16	34
Cayman Islands	1.2	Q5785	35
Central African Republic	2.5	Q929	36
Chad	3.9	Q657	37
Channel Islands	1.1	Q42314	38
Chile	1.5	Q298	39
China	2.5	Q148	40
Hong Kong SAR, China	0.8	Q8646	41
Macao SAR, China	1.4	Q14773	42
Colombia	1.9	Q739	43
Comoros	2.9	Q970	44
Congo, Dem. Rep.	4.5	Q974	45
Congo, Rep.	3.3	Q971	46
Costa Rica	2.0	Q800	47
Cote d'Ivoire	3.4	Q1008	48
Croatia	-0.4	Q224	49
Cuba	0.1	Q241	50
Curacao	-0.3	Q25279	51
Cyprus	0.8	Q229	52
Czech Republic	0.5	Q213	53
Denmark	0.6	Q35	54
Djibouti	1.7	Q977	55
Dominica	0.7	Q784	56
Dominican Republic	2.1	Q786	57
Ecuador	2.0	Q736	58
Egypt, Arab Rep.	2.0	Q79	59
El Salvador	1.6	Q792	60
Equatorial Guinea	4.3	Q983	61
Estonia	0.6	Q191	62
Eswatini	1.7	Q1050	63
Ethiopia	4.8	Q115	64
Faroe Islands	0.7	Q4628	65
Fiji	1.6	Q712	66
Finland	0.2	Q33	67
France	0.5	Q142	68
French Polynesia	0.7	Q30971	69
Gabon	3.0	Q1000	70
Gambia, The	4.0	Q1005	71
Georgia	0.6	Q230	72
Germany	0.4	Q183	73
Ghana	3.4	Q117	74
Greece	0.2	Q41	75
Greenland	0.0	Q223	76
Grenada	0.8	Q769	77
Guam	1.0	Q16635	78
Guatemala	2.3	Q774	79
Guinea	3.8	Q1006	80
Guinea-Bissau	3.5	Q1007	81
Guyana	0.7	Q734	82
Haiti	3.0	Q790	83
Honduras	2.8	Q783	84
Hungary	0.3	Q28	85
Iceland	2.7	Q189	86
India	2.3	Q668	87
Indonesia	2.3	Q252	88
Iran, Islamic Rep.	2.1	Q794	89
Iraq	2.6	Q796	90
Ireland	1.6	Q27	91
Isle of Man	0.8	Q9676	92
Israel	2.0	Q801	93
Italy	0.2	Q38	94
Jamaica	1.0	Q766	95
Japan	-0.1	Q17	96
Jordan	2.0	Q810	97
Kazakhstan	1.5	Q232	98
Kenya	4.1	Q114	99
Kiribati	2.9	Q710	100
Korea, Dem. Peopleâ€™s Rep.	0.8	Q423	101
Korea, Rep.	0.4	Q884	102
Kuwait	2.0	Q817	103
Kyrgyz Republic	2.6	Q813	104
Lao PDR	3.4	Q819	105
Latvia	-0.7	Q211	106
Lebanon	0.7	Q822	107
Lesotho	2.3	Q1013	108
Liberia	3.3	Q1014	109
Libya	1.8	Q1016	110
Liechtenstein	0.5	Q347	111
Lithuania	-0.7	Q37	112
Luxembourg	2.2	Q32	113
