Country	Netofficialdevelopmentassistance	Netofficialdevelopmentassistance1	Netofficialdevelopmentassistance2	Netofficialdevelopmentassistance3	ID	id_row
Argentina	0.0	0.1	0.1	0.1	Q414	0
Armenia	1.1	5.0	1.9	5.1	Q399	1
Azerbaijan	0.2	0.9	0.4	0.8	Q227	2
Belarus	0.2	0.7	0.3	0.7	Q184	3
Bhutan	4.5	8.7	6.6	20.1	Q917	4
Bosnia and Herzegovina	1.7	8.3	2.9	5.0	Q225	5
Botswana	0.5	1.5	0.9	1.9	Q963	6
Brazil	0.0	0.2	0.1	0.1	Q155	7
Burkina Faso	7.1	26.1	18.9	40.2	Q965	8
Cambodia	3.4	13.3	3.2	20.9	Q424	9
Cameroon	3.1	13.2	12.4	25.6	Q1009	10
Colombia	0.5	2.5	2.2	1.9	Q739	11
Costa Rica	0.2	0.8	0.4	0.5	Q800	12
Cote d'Ivoire	1.7	7.7	6.4	11.1	Q1008	13
Dominican Republic	0.1	0.4	0.3	0.6	Q786	14
El Salvador	1.0	4.7	1.7	3.9	Q792	15
Ethiopia	5.9	16.8	24.3	54.1	Q115	16
Georgia	3.5	11.9	4.6	15.6	Q230	17
Ghana	1.7	6.6	3.8	9.0	Q117	18
Guatemala	0.5	3.9	1.7	4.3	Q774	19
Indonesia	0.1	0.3	0.4	0.6	Q252	20
Jamaica	0.7	2.7	1.1	2.4	Q766	21
Jordan	6.0	32.4	10.5	22.1	Q810	22
Kazakhstan	0.0	0.2	0.1	0.3	Q232	23
Kyrgyz Republic	5.2	13.9	6.7	19.6	Q813	24
Lebanon	2.6	12.4	3.9	8.8	Q822	25
Lesotho	5.2	19.9	5.9	15.1	Q1013	26
North Macedonia	1.4	4.2	1.7	4.8	Q221	27
Madagascar	5.1	25.4	13.1	50.9	Q1019	28
Malawi	18.8	169.1	40.7	86.2	Q1020	29
Malaysia	0.0	0.0	0.0	-0.1	Q833	30
Mali	8.9	42.7	22.1	70.7	Q912	31
Marshall Islands	19.1	104.1	26.9	42.1	Q709	32
Mauritius	0.4	2.8	0.5	2.0	Q1027	33
Mexico	0.0	0.2	0.1	0.2	Q96	34
Moldova	1.9	7.9	3.4	7.4	Q217	35
Mongolia	2.8	6.4	3.3	11.2	Q711	36
Morocco	0.7	2.1	1.4	2.8	Q1028	37
Mozambique	12.6	25.2	16.4	61.7	Q1029	38
Namibia	1.2	7.6	2.1	3.3	Q1030	39
Nicaragua	2.8	11.3	4.9	16.0	Q811	40
Paraguay	0.4	1.8	1.0	2.7	Q733	41
Peru	0.2	0.9	0.7	1.0	Q419	42
Philippines	0.1	0.6	0.4	1.1	Q928	43
Rwanda	12.0	54.0	32.3	62.2	Q1037	44
Senegal	4.4	13.5	9.9	21.6	Q1041	45
South Africa	0.3	1.4	0.7	0.7	Q258	46
Sri Lanka	-0.3	-1.0	-0.9	-1.8	Q854	47
Thailand	-0.1	-0.3	-0.1	-0.5	Q869	48
Timor-Leste	9.0	37.9	18.4	22.9	Q574	49
Togo	5.5	21.8	11.6	30.9	Q945	50
Turkey	0.2	0.5	0.4	0.5	Q43	51
Uganda	6.1	23.9	20.1	49.8	Q1036	52
Ukraine	0.9	5.0	1.5	2.8	Q212	53
Uzbekistan	1.1	2.9	2.2	6.4	Q265	54
Zambia	3.7	9.6	9.3	18.7	Q953	55
