Country	Received	Paid	ID	id_row
Estonia	566.0	234.0	Q191	51
Eswatini	126.0	24.0	Q1050	52
Ethiopia	436.0	9.0	Q115	53
Fiji	285.0	16.0	Q712	54
Finland	950.0	1011.0	Q33	55
France	27010.0	15178.0	Q142	56
French Polynesia	582.0	23.0	Q30971	57
Gambia, The	204.0	18.0	Q1005	58
Georgia	2034.0	151.0	Q230	59
Germany	17024.0	24322.0	Q183	60
Ghana	3521.0	956.0	Q117	61
Greece	490.0	2287.0	Q41	62
Grenada	48.0	55.0	Q769	63
Guatemala	9438.0	19.0	Q774	64
Guinea	28.0	23.0	Q1006	65
Guinea-Bissau	128.0	57.0	Q1007	66
Guyana	334.0	142.0	Q734	67
Haiti	3142.0	309.0	Q790	68
Honduras	4777.0	288.0	Q783	69
Hungary	4235.0	1150.0	Q28	70
Iceland	169.0	347.0	Q189	71
India	78790.0	6782.0	Q668	72
Indonesia	11215.0	5148.0	Q252	73
Iraq	742.0	500.0	Q796	74
Ireland	624.0	1659.0	Q27	75
Israel	940.0	5991.0	Q801	76
Italy	9950.0	9907.0	Q38	77
Jamaica	2502.0	309.0	Q766	78
Japan	4369.0	6151.0	Q17	79
Jordan	4470.0	637.0	Q810	80
Kazakhstan	618.0	2680.0	Q232	81
Kenya	2719.0	20.0	Q114	82
Kiribati	20.0	1.0	Q710	83
Korea, Rep.	7125.0	13531.0	Q884	84
Kosovo	1236.0	59.0	Q1246	85
Kuwait	28.0	14347.0	Q817	86
Kyrgyz Republic	2689.0	560.0	Q813	87
Lao PDR	239.0	124.0	Q819	88
Latvia	1237.0	495.0	Q211	89
Lebanon	6940.0	4840.0	Q822	90
Lesotho	629.0	0.0	Q1013	91
Liberia	460.0	339.0	Q1014	92
Lithuania	1387.0	617.0	Q37	93
Luxembourg	2063.0	14116.0	Q32	94
North Macedonia	344.0	25.0	Q221	95
Madagascar	426.0	74.0	Q1019	96
Malawi	182.0	12.0	Q1020	97
Malaysia	1686.0	10804.0	Q833	98
Maldives	4.0	532.0	Q826	99
Mali	1022.0	207.0	Q912	100
Malta	276.0	512.0	Q233	101
Marshall Islands	31.0	24.0	Q709	102
Mauritania	60.0	27.0	Q1025	103
Mauritius	245.0	643.0	Q1027	104
Mexico	35768.0	1000.0	Q96	105
Moldova	1838.0	165.0	Q217	106
Mongolia	441.0	217.0	Q711	107
Montenegro	589.0	111.0	Q236	108
Morocco	6919.0	138.0	Q1028	109
Mozambique	296.0	209.0	Q1029	110
Myanmar	2840.0	151.0	Q836	111
Namibia	54.0	58.0	Q1030	112
Nepal	8294.0	49.0	Q837	113
Netherlands	2492.0	13253.0	Q55	114
New Caledonia	621.0	60.0	Q33788	115
New Zealand	453.0	844.0	Q664	116
Nicaragua	1505.0	2.0	Q811	117
Niger	297.0	184.0	Q1032	118
Nigeria	24311.0	68.0	Q1033	119
Norway	644.0	4411.0	Q20	120
Oman	39.0	9958.0	Q842	121
Pakistan	21193.0	130.0	Q843	122
Palau	2.0	21.0	Q695	123
Panama	538.0	797.0	Q804	124
Papua New Guinea	4.0	92.0	Q691	125
Philippines	33809.0	259.0	Q928	126
Poland	7112.0	7116.0	Q36	127
Portugal	545.0	262.0	Q45	128
Qatar	467.0	11558.0	Q846	129
Romania	6984.0	435.0	Q218	130
Russian Federation	9287.0	22308.0	Q159	131
Rwanda	261.0	143.0	Q1037	132
Samoa	147.0	17.0	Q683	133
Sao Tome and Principe	18.0	0.0	Q1039	134
Saudi Arabia	335.0	33882.0	Q851	135
Senegal	2428.0	592.0	Q1041	136
Serbia	4446.0	297.0	Q403	137
Seychelles	23.0	70.0	Q1042	138
Sierra Leone	62.0	7.0	Q1044	139
Sint Maarten (Dutch part)	51.0	94.0	Q26273	140
Slovak Republic	2114.0	385.0	Q214	141
Slovenia	608.0	276.0	Q215	142
Solomon Islands	19.0	63.0	Q685	143
South Africa	929.0	1098.0	Q258	144
South Sudan	1267.0	103.0	Q958	145
Spain	3355.0	443.0	Q29	146
Sri Lanka	7043.0	962.0	Q854	147
St. Kitts and Nevis	26.0	29.0	Q763	148
St. Lucia	43.0	22.0	Q760	149
St. Vincent and the Grenadines	47.0	13.0	Q757	150
Sudan	425.0	209.0	Q1049	151
Suriname	1.0	39.0	Q730	152
Sweden	3069.0	2084.0	Q34	153
Switzerland	2566.0	26750.0	Q39	154
Tajikistan	2183.0	252.0	Q863	155
Tanzania	413.0	99.0	Q924	156
Thailand	7466.0	4924.0	Q869	157
Timor-Leste	96.0	286.0	Q574	158
Togo	451.0	98.0	Q945	159
Tonga	183.0	21.0	Q678	160
Trinidad and Tobago	139.0	359.0	Q754	161
Tunisia	1902.0	27.0	Q948	162
Turkey	1122.0	1533.0	Q43	163
Turks and Caicos Islands	7.0	129.0	Q18221	164
Uganda	1338.0	400.0	Q1036	165
Ukraine	14694.0	565.0	Q212	166
United Kingdom	4390.0	10410.0	Q145	167
United States	6668.0	68472.0	Q30	168
Uruguay	104.0	12.0	Q77	169
Uzbekistan	7610.0	244.0	Q265	170
Vanuatu	35.0	10.0	Q686	171
Venezuela, RB	279.0	54.0	Q717	172
West Bank and Gaza	2482.0	21.0	Q407199	173
Yemen, Rep.	3771.0	333.0	Q805	174
Zambia	107.0	132.0	Q953	175
Zimbabwe	1730.0	19.0	Q954	176
